Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.82,0.15,0.03,0.56,0.41,0.03
10,0.78,0.16,0.06,0.47,0.51,0.02
20,0.88,0.08,0.04,0.5,0.43,0.07
30,0.83,0.17,0,0.44,0.49,0.07
40,0.72,0.27,0.01,0.39,0.52,0.09
50,0.83,0.17,0,0.41,0.54,0.05
60,0.83,0.12,0.05,0.45,0.49,0.06
70,0.9,0.09,0.01,0.4,0.51,0.09
80,0.81,0.14,0.05,0.43,0.54,0.03
90,0.82,0.17,0.01,0.4,0.52,0.08
100,0.86,0.12,0.02,0.44,0.51,0.05
110,0.79,0.17,0.04,0.47,0.52,0.01
120,0.85,0.1,0.05,0.45,0.51,0.04
130,0.77,0.14,0.09,0.44,0.47,0.09
140,0.85,0.12,0.03,0.43,0.49,0.08
150,0.9,0.07,0.03,0.38,0.45,0.17
160,0.92,0.05,0.03,0.37,0.52,0.11
170,0.92,0.06,0.02,0.41,0.47,0.12
180,0.87,0.12,0.01,0.48,0.46,0.06
190,0.82,0.11,0.07,0.42,0.53,0.05
200,0.73,0.19,0.08,0.36,0.51,0.13
210,0.87,0.06,0.07,0.49,0.47,0.04
220,0.86,0.09,0.05,0.6,0.36,0.04
230,0.85,0.07,0.08,0.5,0.41,0.09
240,0.88,0.1,0.02,0.42,0.52,0.06
250,0.95,0.04,0.01,0.45,0.46,0.09
260,0.9,0.06,0.04,0.52,0.43,0.05
270,0.89,0.05,0.06,0.4,0.47,0.13
280,0.83,0.12,0.05,0.5,0.39,0.11
290,0.8,0.14,0.06,0.45,0.4,0.15
300,0.82,0.08,0.1,0.39,0.41,0.2
310,0.91,0.06,0.03,0.45,0.45,0.1
320,0.87,0.11,0.02,0.37,0.5,0.13
330,0.82,0.14,0.04,0.47,0.43,0.1
340,0.84,0.11,0.05,0.34,0.55,0.11
350,0.88,0.07,0.05,0.47,0.47,0.06
360,0.85,0.07,0.08,0.33,0.46,0.21
370,0.81,0.15,0.04,0.45,0.38,0.17
380,0.89,0.05,0.06,0.44,0.39,0.17
390,0.89,0.08,0.03,0.33,0.43,0.24
400,0.86,0.09,0.05,0.36,0.41,0.23
410,0.86,0.08,0.06,0.34,0.5,0.16
420,0.81,0.16,0.03,0.43,0.38,0.19
430,0.68,0.24,0.08,0.52,0.37,0.11
440,0.7,0.16,0.14,0.43,0.43,0.14
450,0.77,0.12,0.11,0.36,0.49,0.15
460,0.67,0.23,0.1,0.49,0.44,0.07
470,0.75,0.13,0.12,0.55,0.37,0.08
480,0.75,0.13,0.12,0.5,0.44,0.06
490,0.75,0.15,0.1,0.55,0.42,0.03
500,0.72,0.19,0.09,0.51,0.44,0.05
510,0.73,0.19,0.08,0.5,0.43,0.07
520,0.8,0.17,0.03,0.49,0.49,0.02
530,0.8,0.1,0.1,0.54,0.41,0.05
540,0.72,0.14,0.14,0.59,0.3,0.11
550,0.78,0.13,0.09,0.53,0.44,0.03
560,0.79,0.14,0.07,0.63,0.35,0.02
570,0.82,0.08,0.1,0.58,0.38,0.04
580,0.79,0.1,0.11,0.56,0.42,0.02
590,0.73,0.09,0.18,0.56,0.39,0.05
600,0.75,0.18,0.07,0.55,0.41,0.04
610,0.82,0.03,0.15,0.54,0.43,0.03
620,0.82,0.09,0.09,0.61,0.38,0.01
630,0.79,0.1,0.11,0.47,0.51,0.02
640,0.8,0.1,0.1,0.58,0.36,0.06
650,0.81,0.14,0.05,0.54,0.43,0.03
660,0.85,0.09,0.06,0.49,0.47,0.04
670,0.79,0.15,0.06,0.52,0.4,0.08
680,0.83,0.1,0.07,0.52,0.46,0.02
690,0.8,0.14,0.06,0.56,0.41,0.03
700,0.78,0.18,0.04,0.6,0.38,0.02
710,0.83,0.11,0.06,0.49,0.5,0.01
720,0.83,0.13,0.04,0.55,0.4,0.05
730,0.85,0.09,0.06,0.66,0.33,0.01
740,0.78,0.09,0.13,0.64,0.33,0.03
750,0.78,0.13,0.09,0.58,0.38,0.04
760,0.89,0.06,0.05,0.48,0.46,0.06
770,0.87,0.06,0.07,0.56,0.42,0.02
780,0.8,0.08,0.12,0.57,0.39,0.04
790,0.89,0.08,0.03,0.52,0.38,0.1
800,0.84,0.1,0.06,0.59,0.39,0.02
810,0.84,0.09,0.07,0.54,0.45,0.01
820,0.83,0.11,0.06,0.46,0.5,0.04
830,0.78,0.15,0.07,0.52,0.44,0.04
840,0.81,0.12,0.07,0.5,0.37,0.13
850,0.9,0.06,0.04,0.56,0.4,0.04
860,0.89,0.08,0.03,0.52,0.44,0.04
870,0.88,0.07,0.05,0.64,0.35,0.01
880,0.86,0.09,0.05,0.6,0.35,0.05
890,0.89,0.08,0.03,0.54,0.41,0.05
900,0.9,0.08,0.02,0.51,0.43,0.06
910,0.84,0.06,0.1,0.57,0.39,0.04
920,0.86,0.11,0.03,0.54,0.4,0.06
930,0.9,0.06,0.04,0.52,0.46,0.02
940,0.81,0.09,0.1,0.65,0.31,0.04
950,0.74,0.13,0.13,0.56,0.35,0.09
960,0.87,0.04,0.09,0.52,0.44,0.04
970,0.86,0.1,0.04,0.54,0.36,0.1
980,0.78,0.12,0.1,0.44,0.48,0.08
990,0.85,0.08,0.07,0.48,0.45,0.07
1000,0.83,0.11,0.06,0.41,0.51,0.08
