Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.78,0.18,0.04,0.51,0.44,0.05
10,0.69,0.24,0.07,0.31,0.56,0.13
20,0.69,0.18,0.13,0.3,0.61,0.09
30,0.75,0.19,0.06,0.26,0.53,0.21
40,0.74,0.12,0.14,0.35,0.48,0.17
50,0.77,0.13,0.1,0.34,0.45,0.21
60,0.61,0.28,0.11,0.28,0.55,0.17
70,0.78,0.13,0.09,0.35,0.58,0.07
80,0.68,0.19,0.13,0.52,0.39,0.09
90,0.75,0.12,0.13,0.52,0.39,0.09
100,0.81,0.08,0.11,0.44,0.47,0.09
110,0.73,0.18,0.09,0.45,0.43,0.12
120,0.82,0.12,0.06,0.33,0.54,0.13
130,0.82,0.05,0.13,0.44,0.48,0.08
140,0.84,0.06,0.1,0.5,0.43,0.07
150,0.74,0.15,0.11,0.4,0.46,0.14
160,0.84,0.06,0.1,0.46,0.4,0.14
170,0.81,0.12,0.07,0.36,0.5,0.14
180,0.75,0.16,0.09,0.39,0.45,0.16
190,0.76,0.16,0.08,0.47,0.39,0.14
200,0.9,0.06,0.04,0.5,0.41,0.09
210,0.89,0.06,0.05,0.4,0.43,0.17
220,0.88,0.07,0.05,0.43,0.48,0.09
230,0.75,0.1,0.15,0.34,0.43,0.23
240,0.82,0.1,0.08,0.45,0.4,0.15
250,0.68,0.21,0.11,0.4,0.41,0.19
260,0.73,0.2,0.07,0.34,0.49,0.17
270,0.76,0.09,0.15,0.46,0.29,0.25
280,0.71,0.16,0.13,0.4,0.47,0.13
290,0.68,0.18,0.14,0.48,0.34,0.18
300,0.82,0.06,0.12,0.53,0.38,0.09
310,0.68,0.13,0.19,0.36,0.46,0.18
320,0.76,0.1,0.14,0.45,0.34,0.21
330,0.74,0.11,0.15,0.37,0.38,0.25
340,0.75,0.09,0.16,0.41,0.4,0.19
350,0.72,0.14,0.14,0.41,0.43,0.16
360,0.83,0.09,0.08,0.49,0.38,0.13
370,0.76,0.08,0.16,0.53,0.29,0.18
380,0.69,0.15,0.16,0.42,0.41,0.17
390,0.81,0.11,0.08,0.45,0.48,0.07
400,0.68,0.16,0.16,0.36,0.5,0.14
410,0.69,0.1,0.21,0.45,0.4,0.15
420,0.8,0.04,0.16,0.38,0.47,0.15
430,0.76,0.1,0.14,0.38,0.5,0.12
440,0.78,0.13,0.09,0.38,0.4,0.22
450,0.71,0.14,0.15,0.4,0.52,0.08
460,0.76,0.13,0.11,0.47,0.47,0.06
470,0.83,0.08,0.09,0.36,0.46,0.18
480,0.76,0.09,0.15,0.47,0.46,0.07
490,0.75,0.11,0.14,0.34,0.51,0.15
500,0.65,0.17,0.18,0.55,0.37,0.08
510,0.79,0.09,0.12,0.54,0.34,0.12
520,0.86,0.08,0.06,0.4,0.47,0.13
530,0.79,0.11,0.1,0.51,0.35,0.14
540,0.61,0.26,0.13,0.44,0.44,0.12
550,0.64,0.25,0.11,0.54,0.37,0.09
560,0.76,0.15,0.09,0.44,0.43,0.13
570,0.72,0.18,0.1,0.65,0.27,0.08
580,0.73,0.2,0.07,0.46,0.42,0.12
590,0.79,0.09,0.12,0.45,0.41,0.14
600,0.74,0.11,0.15,0.42,0.45,0.13
610,0.73,0.13,0.14,0.58,0.37,0.05
620,0.78,0.15,0.07,0.48,0.35,0.17
630,0.71,0.12,0.17,0.51,0.4,0.09
640,0.7,0.22,0.08,0.51,0.44,0.05
650,0.74,0.14,0.12,0.51,0.4,0.09
660,0.67,0.12,0.21,0.53,0.41,0.06
670,0.77,0.11,0.12,0.56,0.38,0.06
680,0.66,0.23,0.11,0.49,0.4,0.11
690,0.78,0.1,0.12,0.48,0.39,0.13
700,0.68,0.17,0.15,0.4,0.46,0.14
710,0.77,0.14,0.09,0.5,0.42,0.08
720,0.81,0.08,0.11,0.44,0.53,0.03
730,0.74,0.16,0.1,0.49,0.41,0.1
740,0.75,0.14,0.11,0.33,0.48,0.19
750,0.71,0.16,0.13,0.42,0.39,0.19
760,0.82,0.08,0.1,0.39,0.51,0.1
770,0.71,0.23,0.06,0.36,0.54,0.1
780,0.78,0.1,0.12,0.46,0.42,0.12
790,0.71,0.15,0.14,0.34,0.54,0.12
800,0.73,0.14,0.13,0.4,0.45,0.15
810,0.8,0.09,0.11,0.51,0.41,0.08
820,0.81,0.12,0.07,0.34,0.52,0.14
830,0.78,0.07,0.15,0.32,0.55,0.13
840,0.8,0.05,0.15,0.41,0.43,0.16
850,0.82,0.1,0.08,0.35,0.46,0.19
860,0.77,0.09,0.14,0.34,0.54,0.12
870,0.76,0.1,0.14,0.47,0.44,0.09
880,0.77,0.14,0.09,0.45,0.43,0.12
890,0.82,0.07,0.11,0.43,0.43,0.14
900,0.78,0.1,0.12,0.33,0.52,0.15
910,0.72,0.12,0.16,0.37,0.51,0.12
920,0.77,0.11,0.12,0.35,0.41,0.24
930,0.75,0.17,0.08,0.41,0.43,0.16
940,0.7,0.11,0.19,0.43,0.48,0.09
950,0.73,0.12,0.15,0.3,0.54,0.16
960,0.7,0.15,0.15,0.34,0.58,0.08
970,0.76,0.12,0.12,0.29,0.54,0.17
980,0.72,0.13,0.15,0.34,0.56,0.1
990,0.64,0.2,0.16,0.38,0.5,0.12
1000,0.83,0.08,0.09,0.45,0.46,0.09
