Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.76,0.18,0.06,0.5,0.48,0.02
10,0.73,0.18,0.09,0.51,0.38,0.11
20,0.72,0.13,0.15,0.45,0.53,0.02
30,0.68,0.2,0.12,0.43,0.47,0.1
40,0.87,0.09,0.04,0.51,0.41,0.08
50,0.75,0.18,0.07,0.42,0.37,0.21
60,0.77,0.18,0.05,0.54,0.34,0.12
70,0.86,0.11,0.03,0.57,0.34,0.09
80,0.8,0.17,0.03,0.41,0.53,0.06
90,0.83,0.13,0.04,0.44,0.47,0.09
100,0.82,0.1,0.08,0.57,0.35,0.08
110,0.8,0.15,0.05,0.55,0.36,0.09
120,0.87,0.07,0.06,0.47,0.4,0.13
130,0.85,0.12,0.03,0.55,0.29,0.16
140,0.83,0.16,0.01,0.53,0.43,0.04
150,0.85,0.08,0.07,0.51,0.32,0.17
160,0.84,0.09,0.07,0.58,0.31,0.11
170,0.83,0.12,0.05,0.51,0.43,0.06
180,0.85,0.1,0.05,0.45,0.43,0.12
190,0.81,0.15,0.04,0.54,0.36,0.1
200,0.76,0.18,0.06,0.52,0.34,0.14
210,0.84,0.08,0.08,0.42,0.43,0.15
220,0.86,0.12,0.02,0.47,0.41,0.12
230,0.86,0.09,0.05,0.53,0.34,0.13
240,0.81,0.14,0.05,0.46,0.41,0.13
250,0.84,0.08,0.08,0.53,0.34,0.13
260,0.85,0.09,0.06,0.5,0.3,0.2
270,0.81,0.14,0.05,0.47,0.43,0.1
280,0.77,0.15,0.08,0.49,0.38,0.13
290,0.83,0.11,0.06,0.44,0.41,0.15
300,0.81,0.14,0.05,0.5,0.44,0.06
310,0.85,0.1,0.05,0.49,0.3,0.21
320,0.79,0.17,0.04,0.53,0.35,0.12
330,0.84,0.13,0.03,0.47,0.39,0.14
340,0.86,0.11,0.03,0.49,0.44,0.07
350,0.83,0.13,0.04,0.42,0.4,0.18
360,0.83,0.11,0.06,0.43,0.45,0.12
370,0.83,0.1,0.07,0.57,0.25,0.18
380,0.78,0.18,0.04,0.57,0.29,0.14
390,0.75,0.14,0.11,0.45,0.44,0.11
400,0.77,0.19,0.04,0.5,0.43,0.07
410,0.81,0.17,0.02,0.51,0.39,0.1
420,0.86,0.12,0.02,0.45,0.36,0.19
430,0.85,0.12,0.03,0.5,0.41,0.09
440,0.84,0.1,0.06,0.45,0.48,0.07
450,0.82,0.16,0.02,0.63,0.32,0.05
460,0.78,0.16,0.06,0.48,0.38,0.14
470,0.77,0.15,0.08,0.43,0.42,0.15
480,0.84,0.11,0.05,0.47,0.42,0.11
490,0.83,0.13,0.04,0.5,0.41,0.09
500,0.74,0.17,0.09,0.5,0.36,0.14
510,0.74,0.12,0.14,0.46,0.45,0.09
520,0.74,0.12,0.14,0.48,0.45,0.07
530,0.75,0.2,0.05,0.56,0.33,0.11
540,0.83,0.08,0.09,0.53,0.41,0.06
550,0.79,0.15,0.06,0.54,0.4,0.06
560,0.79,0.1,0.11,0.5,0.46,0.04
570,0.79,0.16,0.05,0.54,0.4,0.06
580,0.83,0.11,0.06,0.46,0.48,0.06
590,0.79,0.16,0.05,0.48,0.38,0.14
600,0.82,0.12,0.06,0.57,0.34,0.09
610,0.83,0.13,0.04,0.56,0.34,0.1
620,0.88,0.08,0.04,0.59,0.31,0.1
630,0.85,0.12,0.03,0.5,0.39,0.11
640,0.86,0.08,0.06,0.5,0.4,0.1
650,0.83,0.12,0.05,0.43,0.4,0.17
660,0.85,0.1,0.05,0.43,0.44,0.13
670,0.88,0.06,0.06,0.49,0.37,0.14
680,0.88,0.07,0.05,0.53,0.36,0.11
690,0.83,0.1,0.07,0.63,0.29,0.08
700,0.89,0.05,0.06,0.58,0.33,0.09
710,0.87,0.08,0.05,0.56,0.33,0.11
720,0.81,0.1,0.09,0.49,0.32,0.19
730,0.87,0.07,0.06,0.44,0.43,0.13
740,0.79,0.12,0.09,0.57,0.3,0.13
750,0.8,0.07,0.13,0.62,0.26,0.12
760,0.82,0.15,0.03,0.61,0.23,0.16
770,0.84,0.13,0.03,0.57,0.28,0.15
780,0.84,0.12,0.04,0.56,0.29,0.15
790,0.81,0.15,0.04,0.54,0.27,0.19
800,0.83,0.09,0.08,0.52,0.33,0.15
810,0.78,0.18,0.04,0.53,0.27,0.2
820,0.85,0.12,0.03,0.57,0.27,0.16
830,0.92,0.08,0,0.55,0.37,0.08
840,0.92,0.05,0.03,0.49,0.4,0.11
850,0.75,0.18,0.07,0.55,0.3,0.15
860,0.83,0.12,0.05,0.51,0.3,0.19
870,0.85,0.09,0.06,0.48,0.38,0.14
880,0.8,0.14,0.06,0.6,0.27,0.13
890,0.92,0.08,0,0.46,0.3,0.24
900,0.8,0.15,0.05,0.5,0.41,0.09
910,0.87,0.07,0.06,0.61,0.26,0.13
920,0.84,0.09,0.07,0.55,0.28,0.17
930,0.86,0.11,0.03,0.51,0.31,0.18
940,0.92,0.06,0.02,0.64,0.25,0.11
950,0.89,0.05,0.06,0.51,0.28,0.21
960,0.83,0.14,0.03,0.41,0.44,0.15
970,0.85,0.1,0.05,0.51,0.37,0.12
980,0.85,0.12,0.03,0.54,0.35,0.11
990,0.86,0.12,0.02,0.56,0.3,0.14
1000,0.83,0.1,0.07,0.45,0.38,0.17
