Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.84,0.13,0.03,0.34,0.62,0.04
10,0.47,0.2,0.33,0.38,0.39,0.23
20,0.43,0.3,0.27,0.44,0.45,0.11
30,0.55,0.21,0.24,0.38,0.51,0.11
40,0.46,0.27,0.27,0.57,0.36,0.07
50,0.49,0.34,0.17,0.42,0.43,0.15
60,0.61,0.16,0.23,0.42,0.41,0.17
70,0.49,0.13,0.38,0.35,0.56,0.09
80,0.45,0.18,0.37,0.51,0.39,0.1
90,0.47,0.35,0.18,0.52,0.26,0.22
100,0.67,0.12,0.21,0.44,0.3,0.26
110,0.62,0.22,0.16,0.58,0.3,0.12
120,0.74,0.11,0.15,0.45,0.37,0.18
130,0.59,0.26,0.15,0.45,0.3,0.25
140,0.61,0.26,0.13,0.53,0.35,0.12
150,0.75,0.09,0.16,0.48,0.38,0.14
160,0.69,0.17,0.14,0.49,0.42,0.09
170,0.77,0.2,0.03,0.49,0.38,0.13
180,0.73,0.22,0.05,0.46,0.45,0.09
190,0.78,0.18,0.04,0.47,0.44,0.09
200,0.75,0.16,0.09,0.55,0.37,0.08
210,0.81,0.14,0.05,0.54,0.33,0.13
220,0.76,0.17,0.07,0.5,0.42,0.08
230,0.75,0.19,0.06,0.52,0.41,0.07
240,0.76,0.17,0.07,0.55,0.33,0.12
250,0.8,0.18,0.02,0.53,0.38,0.09
260,0.77,0.13,0.1,0.5,0.42,0.08
270,0.79,0.15,0.06,0.52,0.3,0.18
280,0.77,0.12,0.11,0.49,0.43,0.08
290,0.85,0.12,0.03,0.56,0.3,0.14
300,0.76,0.21,0.03,0.55,0.3,0.15
310,0.86,0.11,0.03,0.52,0.36,0.12
320,0.85,0.13,0.02,0.54,0.35,0.11
330,0.82,0.08,0.1,0.4,0.41,0.19
340,0.8,0.12,0.08,0.54,0.33,0.13
350,0.78,0.14,0.08,0.54,0.28,0.18
360,0.81,0.13,0.06,0.54,0.37,0.09
370,0.8,0.14,0.06,0.61,0.26,0.13
380,0.85,0.14,0.01,0.47,0.41,0.12
390,0.86,0.06,0.08,0.52,0.34,0.14
400,0.76,0.19,0.05,0.63,0.24,0.13
410,0.85,0.11,0.04,0.51,0.31,0.18
420,0.88,0.07,0.05,0.56,0.27,0.17
430,0.82,0.16,0.02,0.55,0.31,0.14
440,0.86,0.09,0.05,0.52,0.3,0.18
450,0.84,0.12,0.04,0.5,0.3,0.2
460,0.89,0.07,0.04,0.57,0.38,0.05
470,0.93,0.04,0.03,0.47,0.39,0.14
480,0.81,0.16,0.03,0.57,0.26,0.17
490,0.83,0.1,0.07,0.54,0.4,0.06
500,0.84,0.08,0.08,0.54,0.36,0.1
510,0.8,0.14,0.06,0.52,0.36,0.12
520,0.84,0.11,0.05,0.55,0.33,0.12
530,0.81,0.13,0.06,0.54,0.24,0.22
540,0.83,0.13,0.04,0.59,0.26,0.15
550,0.82,0.11,0.07,0.54,0.33,0.13
560,0.84,0.13,0.03,0.55,0.36,0.09
570,0.8,0.16,0.04,0.58,0.32,0.1
580,0.87,0.1,0.03,0.45,0.34,0.21
590,0.9,0.07,0.03,0.6,0.29,0.11
600,0.9,0.09,0.01,0.53,0.36,0.11
610,0.87,0.05,0.08,0.5,0.42,0.08
620,0.89,0.06,0.05,0.44,0.38,0.18
630,0.9,0.05,0.05,0.63,0.25,0.12
640,0.89,0.04,0.07,0.53,0.35,0.12
650,0.91,0.04,0.05,0.55,0.37,0.08
660,0.92,0.05,0.03,0.49,0.33,0.18
670,0.9,0.04,0.06,0.53,0.33,0.14
680,0.91,0.05,0.04,0.61,0.32,0.07
690,0.81,0.1,0.09,0.48,0.48,0.04
700,0.88,0.07,0.05,0.43,0.47,0.1
710,0.89,0.07,0.04,0.55,0.38,0.07
720,0.88,0.08,0.04,0.49,0.4,0.11
730,0.86,0.1,0.04,0.53,0.31,0.16
740,0.89,0.04,0.07,0.57,0.35,0.08
750,0.87,0.09,0.04,0.54,0.37,0.09
760,0.91,0.04,0.05,0.58,0.36,0.06
770,0.9,0.05,0.05,0.53,0.35,0.12
780,0.84,0.08,0.08,0.55,0.27,0.18
790,0.86,0.07,0.07,0.44,0.4,0.16
800,0.83,0.05,0.12,0.57,0.29,0.14
810,0.76,0.09,0.15,0.48,0.35,0.17
820,0.78,0.03,0.19,0.48,0.46,0.06
830,0.73,0.12,0.15,0.55,0.4,0.05
840,0.87,0.05,0.08,0.59,0.32,0.09
850,0.86,0.05,0.09,0.51,0.43,0.06
860,0.92,0.06,0.02,0.49,0.34,0.17
870,0.88,0.05,0.07,0.37,0.48,0.15
880,0.88,0.06,0.06,0.52,0.35,0.13
890,0.88,0.07,0.05,0.51,0.33,0.16
900,0.87,0.07,0.06,0.53,0.33,0.14
910,0.86,0.08,0.06,0.59,0.21,0.2
920,0.9,0.03,0.07,0.6,0.34,0.06
930,0.93,0.05,0.02,0.53,0.35,0.12
940,0.95,0.01,0.04,0.52,0.45,0.03
950,0.88,0.05,0.07,0.54,0.36,0.1
960,0.73,0.06,0.21,0.51,0.43,0.06
970,0.92,0.02,0.06,0.5,0.43,0.07
980,0.78,0.19,0.03,0.47,0.44,0.09
990,0.86,0.1,0.04,0.61,0.32,0.07
1000,0.84,0.03,0.13,0.53,0.42,0.05
