Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.82,0.18,0,0.48,0.51,0.01
10,0.41,0.31,0.28,0.28,0.58,0.14
20,0.75,0.19,0.06,0.4,0.51,0.09
30,0.74,0.15,0.11,0.35,0.62,0.03
40,0.7,0.19,0.11,0.39,0.54,0.07
50,0.87,0.09,0.04,0.44,0.39,0.17
60,0.76,0.21,0.03,0.48,0.33,0.19
70,0.78,0.16,0.06,0.47,0.37,0.16
80,0.7,0.2,0.1,0.49,0.44,0.07
90,0.85,0.11,0.04,0.58,0.35,0.07
100,0.72,0.18,0.1,0.49,0.42,0.09
110,0.72,0.16,0.12,0.52,0.45,0.03
120,0.77,0.1,0.13,0.36,0.6,0.04
130,0.8,0.13,0.07,0.4,0.49,0.11
140,0.8,0.13,0.07,0.42,0.56,0.02
150,0.8,0.14,0.06,0.43,0.53,0.04
160,0.75,0.18,0.07,0.39,0.55,0.06
170,0.72,0.16,0.12,0.46,0.47,0.07
180,0.8,0.14,0.06,0.39,0.57,0.04
190,0.84,0.12,0.04,0.31,0.6,0.09
200,0.92,0.04,0.04,0.46,0.47,0.07
210,0.74,0.25,0.01,0.59,0.31,0.1
220,0.82,0.14,0.04,0.61,0.35,0.04
230,0.76,0.18,0.06,0.58,0.35,0.07
240,0.81,0.14,0.05,0.52,0.4,0.08
250,0.8,0.15,0.05,0.48,0.35,0.17
260,0.76,0.16,0.08,0.45,0.49,0.06
270,0.68,0.23,0.09,0.52,0.42,0.06
280,0.79,0.19,0.02,0.32,0.55,0.13
290,0.72,0.2,0.08,0.5,0.4,0.1
300,0.68,0.28,0.04,0.57,0.32,0.11
310,0.78,0.16,0.06,0.55,0.34,0.11
320,0.79,0.16,0.05,0.49,0.42,0.09
330,0.78,0.16,0.06,0.49,0.43,0.08
340,0.69,0.27,0.04,0.49,0.42,0.09
350,0.78,0.21,0.01,0.55,0.33,0.12
360,0.77,0.22,0.01,0.51,0.38,0.11
370,0.71,0.27,0.02,0.38,0.59,0.03
380,0.72,0.26,0.02,0.37,0.51,0.12
390,0.82,0.15,0.03,0.59,0.35,0.06
400,0.71,0.22,0.07,0.52,0.37,0.11
410,0.86,0.11,0.03,0.54,0.38,0.08
420,0.76,0.15,0.09,0.49,0.45,0.06
430,0.79,0.09,0.12,0.59,0.32,0.09
440,0.83,0.14,0.03,0.65,0.31,0.04
450,0.79,0.17,0.04,0.62,0.37,0.01
460,0.84,0.11,0.05,0.65,0.32,0.03
470,0.79,0.16,0.05,0.66,0.33,0.01
480,0.72,0.21,0.07,0.54,0.4,0.06
490,0.84,0.14,0.02,0.71,0.25,0.04
500,0.74,0.19,0.07,0.54,0.39,0.07
510,0.78,0.14,0.08,0.58,0.36,0.06
520,0.74,0.18,0.08,0.68,0.28,0.04
530,0.82,0.15,0.03,0.57,0.37,0.06
540,0.74,0.23,0.03,0.65,0.25,0.1
550,0.77,0.2,0.03,0.58,0.3,0.12
560,0.68,0.29,0.03,0.57,0.38,0.05
570,0.67,0.2,0.13,0.61,0.37,0.02
580,0.71,0.24,0.05,0.58,0.32,0.1
590,0.76,0.21,0.03,0.54,0.38,0.08
600,0.74,0.22,0.04,0.71,0.22,0.07
610,0.71,0.25,0.04,0.62,0.33,0.05
620,0.7,0.19,0.11,0.62,0.29,0.09
630,0.75,0.17,0.08,0.63,0.31,0.06
640,0.79,0.2,0.01,0.67,0.24,0.09
650,0.69,0.17,0.14,0.59,0.36,0.05
660,0.76,0.07,0.17,0.58,0.36,0.06
670,0.7,0.24,0.06,0.62,0.35,0.03
680,0.75,0.22,0.03,0.54,0.4,0.06
690,0.78,0.19,0.03,0.57,0.38,0.05
700,0.85,0.12,0.03,0.63,0.28,0.09
710,0.86,0.12,0.02,0.65,0.26,0.09
720,0.8,0.17,0.03,0.57,0.41,0.02
730,0.87,0.12,0.01,0.53,0.42,0.05
740,0.82,0.14,0.04,0.6,0.34,0.06
750,0.84,0.09,0.07,0.61,0.28,0.11
760,0.84,0.1,0.06,0.47,0.44,0.09
770,0.81,0.09,0.1,0.61,0.3,0.09
780,0.81,0.09,0.1,0.59,0.34,0.07
790,0.82,0.05,0.13,0.59,0.32,0.09
800,0.79,0.09,0.12,0.64,0.29,0.07
810,0.82,0.1,0.08,0.6,0.32,0.08
820,0.77,0.11,0.12,0.72,0.18,0.1
830,0.72,0.17,0.11,0.68,0.25,0.07
840,0.77,0.12,0.11,0.61,0.3,0.09
850,0.83,0.15,0.02,0.58,0.29,0.13
860,0.77,0.14,0.09,0.66,0.29,0.05
870,0.79,0.13,0.08,0.59,0.34,0.07
880,0.81,0.1,0.09,0.56,0.32,0.12
890,0.72,0.11,0.17,0.46,0.42,0.12
900,0.63,0.18,0.19,0.62,0.28,0.1
910,0.84,0.09,0.07,0.67,0.28,0.05
920,0.84,0.13,0.03,0.62,0.34,0.04
930,0.78,0.15,0.07,0.59,0.34,0.07
940,0.8,0.13,0.07,0.64,0.27,0.09
950,0.72,0.21,0.07,0.61,0.32,0.07
960,0.69,0.18,0.13,0.62,0.29,0.09
970,0.83,0.07,0.1,0.53,0.36,0.11
980,0.83,0.1,0.07,0.55,0.37,0.08
990,0.81,0.09,0.1,0.56,0.4,0.04
1000,0.78,0.19,0.03,0.61,0.31,0.08
