Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.73,0.2,0.07,0.46,0.5,0.04
10,0.55,0.36,0.09,0.38,0.47,0.15
20,0.69,0.23,0.08,0.36,0.55,0.09
30,0.59,0.24,0.17,0.42,0.5,0.08
40,0.63,0.27,0.1,0.44,0.51,0.05
50,0.8,0.11,0.09,0.49,0.44,0.07
60,0.72,0.17,0.11,0.46,0.51,0.03
70,0.72,0.14,0.14,0.45,0.48,0.07
80,0.73,0.15,0.12,0.45,0.5,0.05
90,0.75,0.1,0.15,0.37,0.58,0.05
100,0.73,0.13,0.14,0.36,0.55,0.09
110,0.79,0.11,0.1,0.3,0.67,0.03
120,0.61,0.22,0.17,0.32,0.59,0.09
130,0.51,0.27,0.22,0.45,0.48,0.07
140,0.53,0.28,0.19,0.26,0.68,0.06
150,0.5,0.32,0.18,0.3,0.6,0.1
160,0.6,0.24,0.16,0.32,0.65,0.03
170,0.63,0.21,0.16,0.34,0.62,0.04
180,0.74,0.17,0.09,0.34,0.59,0.07
190,0.7,0.2,0.1,0.48,0.47,0.05
200,0.7,0.14,0.16,0.34,0.58,0.08
210,0.78,0.14,0.08,0.42,0.52,0.06
220,0.74,0.15,0.11,0.47,0.44,0.09
230,0.65,0.24,0.11,0.45,0.5,0.05
240,0.72,0.17,0.11,0.41,0.51,0.08
250,0.66,0.2,0.14,0.4,0.55,0.05
260,0.76,0.14,0.1,0.47,0.46,0.07
270,0.65,0.23,0.12,0.49,0.48,0.03
280,0.68,0.21,0.11,0.43,0.51,0.06
290,0.76,0.13,0.11,0.51,0.48,0.01
300,0.73,0.16,0.11,0.47,0.46,0.07
310,0.67,0.21,0.12,0.41,0.52,0.07
320,0.79,0.15,0.06,0.48,0.46,0.06
330,0.66,0.19,0.15,0.5,0.42,0.08
340,0.78,0.14,0.08,0.42,0.56,0.02
350,0.81,0.07,0.12,0.47,0.46,0.07
360,0.6,0.23,0.17,0.3,0.66,0.04
370,0.68,0.19,0.13,0.39,0.52,0.09
380,0.75,0.12,0.13,0.45,0.5,0.05
390,0.76,0.16,0.08,0.36,0.61,0.03
400,0.71,0.23,0.06,0.36,0.58,0.06
410,0.78,0.13,0.09,0.41,0.58,0.01
420,0.81,0.09,0.1,0.38,0.54,0.08
430,0.81,0.13,0.06,0.33,0.57,0.1
440,0.72,0.17,0.11,0.4,0.55,0.05
450,0.84,0.11,0.05,0.27,0.64,0.09
460,0.82,0.12,0.06,0.35,0.52,0.13
470,0.88,0.08,0.04,0.38,0.52,0.1
480,0.73,0.18,0.09,0.43,0.48,0.09
490,0.74,0.17,0.09,0.35,0.6,0.05
500,0.76,0.15,0.09,0.3,0.67,0.03
510,0.78,0.13,0.09,0.47,0.43,0.1
520,0.78,0.12,0.1,0.45,0.51,0.04
530,0.89,0.08,0.03,0.46,0.48,0.06
540,0.82,0.12,0.06,0.56,0.4,0.04
550,0.76,0.18,0.06,0.32,0.55,0.13
560,0.81,0.16,0.03,0.39,0.47,0.14
570,0.85,0.11,0.04,0.46,0.43,0.11
580,0.79,0.14,0.07,0.39,0.49,0.12
590,0.69,0.2,0.11,0.42,0.47,0.11
600,0.75,0.15,0.1,0.38,0.51,0.11
610,0.65,0.18,0.17,0.39,0.51,0.1
620,0.78,0.1,0.12,0.42,0.48,0.1
630,0.77,0.14,0.09,0.38,0.54,0.08
640,0.76,0.17,0.07,0.43,0.48,0.09
650,0.81,0.13,0.06,0.46,0.46,0.08
660,0.81,0.1,0.09,0.44,0.42,0.14
670,0.75,0.17,0.08,0.39,0.49,0.12
680,0.78,0.12,0.1,0.45,0.44,0.11
690,0.76,0.1,0.14,0.47,0.42,0.11
700,0.72,0.16,0.12,0.45,0.42,0.13
710,0.76,0.15,0.09,0.38,0.51,0.11
720,0.82,0.13,0.05,0.38,0.51,0.11
730,0.76,0.17,0.07,0.43,0.47,0.1
740,0.83,0.07,0.1,0.38,0.54,0.08
750,0.65,0.23,0.12,0.44,0.47,0.09
760,0.84,0.1,0.06,0.4,0.48,0.12
770,0.84,0.1,0.06,0.57,0.39,0.04
780,0.82,0.13,0.05,0.44,0.5,0.06
790,0.83,0.1,0.07,0.41,0.5,0.09
800,0.81,0.13,0.06,0.33,0.6,0.07
810,0.82,0.13,0.05,0.46,0.43,0.11
820,0.81,0.14,0.05,0.43,0.53,0.04
830,0.79,0.12,0.09,0.42,0.45,0.13
840,0.8,0.19,0.01,0.44,0.48,0.08
850,0.75,0.19,0.06,0.46,0.48,0.06
860,0.84,0.15,0.01,0.4,0.56,0.04
870,0.75,0.09,0.16,0.67,0.32,0.01
880,0.84,0.12,0.04,0.37,0.55,0.08
890,0.79,0.17,0.04,0.46,0.49,0.05
900,0.83,0.14,0.03,0.41,0.49,0.1
910,0.82,0.11,0.07,0.5,0.47,0.03
920,0.82,0.12,0.06,0.5,0.38,0.12
930,0.76,0.17,0.07,0.41,0.49,0.1
940,0.9,0.09,0.01,0.43,0.47,0.1
950,0.76,0.17,0.07,0.5,0.46,0.04
960,0.82,0.15,0.03,0.4,0.5,0.1
970,0.79,0.14,0.07,0.43,0.47,0.1
980,0.86,0.11,0.03,0.4,0.54,0.06
990,0.78,0.14,0.08,0.48,0.46,0.06
1000,0.9,0.06,0.04,0.38,0.51,0.11
