Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.82,0.14,0.04,0.46,0.51,0.03
10,0.68,0.22,0.1,0.33,0.52,0.15
20,0.7,0.14,0.16,0.47,0.35,0.18
30,0.77,0.13,0.1,0.44,0.46,0.1
40,0.7,0.18,0.12,0.51,0.35,0.14
50,0.69,0.18,0.13,0.3,0.4,0.3
60,0.78,0.15,0.07,0.3,0.45,0.25
70,0.68,0.21,0.11,0.41,0.43,0.16
80,0.78,0.13,0.09,0.34,0.42,0.24
90,0.64,0.22,0.14,0.39,0.42,0.19
100,0.72,0.17,0.11,0.56,0.25,0.19
110,0.73,0.15,0.12,0.57,0.31,0.12
120,0.74,0.15,0.11,0.4,0.46,0.14
130,0.67,0.16,0.17,0.51,0.29,0.2
140,0.59,0.23,0.18,0.35,0.51,0.14
150,0.77,0.1,0.13,0.51,0.35,0.14
160,0.72,0.18,0.1,0.48,0.37,0.15
170,0.75,0.12,0.13,0.51,0.33,0.16
180,0.73,0.15,0.12,0.54,0.28,0.18
190,0.76,0.13,0.11,0.48,0.37,0.15
200,0.7,0.12,0.18,0.56,0.32,0.12
210,0.77,0.14,0.09,0.56,0.38,0.06
220,0.73,0.13,0.14,0.52,0.41,0.07
230,0.76,0.16,0.08,0.55,0.32,0.13
240,0.69,0.18,0.13,0.52,0.32,0.16
250,0.75,0.13,0.12,0.45,0.5,0.05
260,0.85,0.04,0.11,0.46,0.43,0.11
270,0.85,0.09,0.06,0.42,0.47,0.11
280,0.84,0.09,0.07,0.47,0.4,0.13
290,0.73,0.1,0.17,0.43,0.38,0.19
300,0.8,0.1,0.1,0.51,0.34,0.15
310,0.8,0.09,0.11,0.49,0.43,0.08
320,0.93,0.01,0.06,0.46,0.46,0.08
330,0.76,0.11,0.13,0.39,0.51,0.1
340,0.69,0.14,0.17,0.51,0.38,0.11
350,0.72,0.15,0.13,0.52,0.38,0.1
360,0.63,0.23,0.14,0.51,0.38,0.11
370,0.78,0.13,0.09,0.42,0.38,0.2
380,0.67,0.22,0.11,0.51,0.37,0.12
390,0.74,0.14,0.12,0.47,0.38,0.15
400,0.72,0.19,0.09,0.42,0.4,0.18
410,0.74,0.13,0.13,0.48,0.37,0.15
420,0.69,0.14,0.17,0.51,0.38,0.11
430,0.76,0.11,0.13,0.47,0.42,0.11
440,0.66,0.19,0.15,0.49,0.38,0.13
450,0.75,0.15,0.1,0.45,0.4,0.15
460,0.77,0.12,0.11,0.35,0.45,0.2
470,0.68,0.19,0.13,0.4,0.51,0.09
480,0.74,0.14,0.12,0.42,0.5,0.08
490,0.72,0.18,0.1,0.41,0.48,0.11
500,0.76,0.18,0.06,0.47,0.43,0.1
510,0.77,0.16,0.07,0.45,0.42,0.13
520,0.66,0.18,0.16,0.42,0.5,0.08
530,0.69,0.11,0.2,0.44,0.43,0.13
540,0.73,0.13,0.14,0.5,0.39,0.11
550,0.72,0.15,0.13,0.42,0.42,0.16
560,0.71,0.13,0.16,0.42,0.38,0.2
570,0.7,0.19,0.11,0.48,0.38,0.14
580,0.82,0.08,0.1,0.48,0.41,0.11
590,0.7,0.14,0.16,0.54,0.38,0.08
600,0.74,0.14,0.12,0.45,0.42,0.13
610,0.66,0.21,0.13,0.49,0.35,0.16
620,0.83,0.07,0.1,0.4,0.39,0.21
630,0.7,0.14,0.16,0.46,0.39,0.15
640,0.8,0.1,0.1,0.41,0.43,0.16
650,0.72,0.14,0.14,0.58,0.33,0.09
660,0.78,0.14,0.08,0.49,0.43,0.08
670,0.73,0.16,0.11,0.49,0.4,0.11
680,0.68,0.18,0.14,0.37,0.44,0.19
690,0.66,0.18,0.16,0.49,0.41,0.1
700,0.77,0.14,0.09,0.47,0.44,0.09
710,0.71,0.18,0.11,0.46,0.34,0.2
720,0.76,0.11,0.13,0.49,0.39,0.12
730,0.76,0.14,0.1,0.42,0.47,0.11
740,0.68,0.17,0.15,0.39,0.4,0.21
750,0.7,0.12,0.18,0.54,0.33,0.13
760,0.72,0.17,0.11,0.4,0.44,0.16
770,0.85,0.06,0.09,0.37,0.48,0.15
780,0.77,0.18,0.05,0.51,0.35,0.14
790,0.81,0.1,0.09,0.53,0.36,0.11
800,0.82,0.11,0.07,0.48,0.37,0.15
810,0.71,0.13,0.16,0.46,0.42,0.12
820,0.78,0.14,0.08,0.47,0.39,0.14
830,0.74,0.11,0.15,0.47,0.42,0.11
840,0.78,0.13,0.09,0.5,0.37,0.13
850,0.68,0.2,0.12,0.56,0.29,0.15
860,0.78,0.14,0.08,0.55,0.38,0.07
870,0.81,0.05,0.14,0.52,0.35,0.13
880,0.81,0.13,0.06,0.49,0.4,0.11
890,0.8,0.1,0.1,0.52,0.42,0.06
900,0.82,0.08,0.1,0.57,0.37,0.06
910,0.86,0.05,0.09,0.53,0.37,0.1
920,0.78,0.1,0.12,0.54,0.38,0.08
930,0.85,0.07,0.08,0.57,0.34,0.09
940,0.77,0.09,0.14,0.49,0.44,0.07
950,0.85,0.08,0.07,0.57,0.3,0.13
960,0.8,0.13,0.07,0.58,0.32,0.1
970,0.8,0.13,0.07,0.45,0.39,0.16
980,0.83,0.09,0.08,0.56,0.3,0.14
990,0.82,0.07,0.11,0.54,0.31,0.15
1000,0.72,0.17,0.11,0.51,0.35,0.14
