Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.85,0.12,0.03,0.43,0.53,0.04
10,0.69,0.13,0.18,0.36,0.53,0.11
20,0.69,0.16,0.15,0.39,0.6,0.01
30,0.69,0.11,0.2,0.24,0.63,0.13
40,0.68,0.11,0.21,0.27,0.55,0.18
50,0.68,0.07,0.25,0.29,0.53,0.18
60,0.73,0.08,0.19,0.28,0.57,0.15
70,0.72,0.11,0.17,0.24,0.62,0.14
80,0.63,0.16,0.21,0.3,0.65,0.05
90,0.76,0.09,0.15,0.29,0.63,0.08
100,0.87,0.06,0.07,0.33,0.61,0.06
110,0.77,0.08,0.15,0.31,0.62,0.07
120,0.75,0.08,0.17,0.22,0.69,0.09
130,0.85,0.05,0.1,0.41,0.57,0.02
140,0.82,0.09,0.09,0.35,0.52,0.13
150,0.86,0.06,0.08,0.31,0.58,0.11
160,0.78,0.09,0.13,0.37,0.5,0.13
170,0.8,0.08,0.12,0.41,0.42,0.17
180,0.76,0.09,0.15,0.39,0.52,0.09
190,0.85,0.09,0.06,0.28,0.67,0.05
200,0.91,0.03,0.06,0.48,0.48,0.04
210,0.88,0.06,0.06,0.28,0.67,0.05
220,0.76,0.07,0.17,0.33,0.59,0.08
230,0.85,0.02,0.13,0.29,0.6,0.11
240,0.76,0.07,0.17,0.38,0.44,0.18
250,0.9,0.03,0.07,0.42,0.47,0.11
260,0.82,0.04,0.14,0.3,0.52,0.18
270,0.78,0.07,0.15,0.31,0.5,0.19
280,0.83,0.04,0.13,0.31,0.57,0.12
290,0.82,0.06,0.12,0.35,0.46,0.19
300,0.79,0.1,0.11,0.36,0.49,0.15
310,0.82,0.07,0.11,0.46,0.43,0.11
320,0.89,0.05,0.06,0.27,0.58,0.15
330,0.8,0.03,0.17,0.32,0.54,0.14
340,0.8,0.08,0.12,0.29,0.61,0.1
350,0.84,0.04,0.12,0.28,0.51,0.21
360,0.79,0.11,0.1,0.34,0.57,0.09
370,0.84,0.09,0.07,0.44,0.4,0.16
380,0.76,0.1,0.14,0.48,0.39,0.13
390,0.83,0.05,0.12,0.37,0.52,0.11
400,0.85,0.05,0.1,0.38,0.55,0.07
410,0.78,0.1,0.12,0.38,0.5,0.12
420,0.78,0.13,0.09,0.33,0.58,0.09
430,0.87,0.03,0.1,0.46,0.44,0.1
440,0.83,0.09,0.08,0.27,0.62,0.11
450,0.84,0.06,0.1,0.44,0.45,0.11
460,0.76,0.09,0.15,0.41,0.47,0.12
470,0.82,0.06,0.12,0.4,0.46,0.14
480,0.89,0.04,0.07,0.43,0.49,0.08
490,0.85,0.04,0.11,0.34,0.6,0.06
500,0.77,0.07,0.16,0.47,0.43,0.1
510,0.81,0.05,0.14,0.42,0.47,0.11
520,0.82,0.07,0.11,0.51,0.37,0.12
530,0.79,0.05,0.16,0.48,0.46,0.06
540,0.82,0.03,0.15,0.48,0.49,0.03
550,0.89,0.04,0.07,0.26,0.67,0.07
560,0.83,0.08,0.09,0.34,0.58,0.08
570,0.83,0.04,0.13,0.42,0.43,0.15
580,0.87,0.05,0.08,0.39,0.55,0.06
590,0.87,0.03,0.1,0.42,0.45,0.13
600,0.83,0.07,0.1,0.39,0.53,0.08
610,0.82,0.06,0.12,0.46,0.49,0.05
620,0.81,0.08,0.11,0.39,0.53,0.08
630,0.82,0.07,0.11,0.45,0.46,0.09
640,0.82,0.05,0.13,0.4,0.43,0.17
650,0.85,0.06,0.09,0.47,0.48,0.05
660,0.86,0.03,0.11,0.36,0.5,0.14
670,0.8,0.05,0.15,0.41,0.48,0.11
680,0.78,0.12,0.1,0.48,0.43,0.09
690,0.87,0.04,0.09,0.55,0.37,0.08
700,0.92,0.04,0.04,0.5,0.41,0.09
710,0.88,0.04,0.08,0.42,0.47,0.11
720,0.87,0.04,0.09,0.38,0.47,0.15
730,0.81,0.07,0.12,0.4,0.51,0.09
740,0.87,0.07,0.06,0.38,0.46,0.16
750,0.84,0.08,0.08,0.45,0.44,0.11
760,0.84,0.08,0.08,0.4,0.49,0.11
770,0.81,0.06,0.13,0.31,0.54,0.15
780,0.86,0.05,0.09,0.47,0.47,0.06
790,0.83,0.01,0.16,0.43,0.51,0.06
800,0.84,0.08,0.08,0.42,0.46,0.12
810,0.89,0.04,0.07,0.41,0.46,0.13
820,0.78,0.1,0.12,0.54,0.4,0.06
830,0.87,0.07,0.06,0.44,0.42,0.14
840,0.88,0.08,0.04,0.46,0.49,0.05
850,0.82,0.07,0.11,0.47,0.44,0.09
860,0.85,0.08,0.07,0.39,0.46,0.15
870,0.83,0.03,0.14,0.51,0.4,0.09
880,0.82,0.04,0.14,0.52,0.38,0.1
890,0.89,0.02,0.09,0.41,0.46,0.13
900,0.81,0.09,0.1,0.5,0.43,0.07
910,0.87,0.03,0.1,0.49,0.4,0.11
920,0.84,0.09,0.07,0.51,0.4,0.09
930,0.82,0.11,0.07,0.54,0.37,0.09
940,0.87,0.08,0.05,0.38,0.52,0.1
950,0.92,0.07,0.01,0.49,0.42,0.09
960,0.88,0.04,0.08,0.41,0.47,0.12
970,0.88,0.08,0.04,0.45,0.46,0.09
980,0.89,0.07,0.04,0.48,0.41,0.11
990,0.94,0.03,0.03,0.52,0.37,0.11
1000,0.83,0.12,0.05,0.43,0.45,0.12
