Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.81,0.14,0.05,0.51,0.48,0.01
10,0.62,0.25,0.13,0.33,0.54,0.13
20,0.51,0.34,0.15,0.41,0.48,0.11
30,0.66,0.27,0.07,0.34,0.45,0.21
40,0.56,0.27,0.17,0.35,0.49,0.16
50,0.48,0.36,0.16,0.37,0.48,0.15
60,0.44,0.38,0.18,0.39,0.51,0.1
70,0.6,0.18,0.22,0.34,0.54,0.12
80,0.45,0.33,0.22,0.37,0.51,0.12
90,0.51,0.25,0.24,0.34,0.47,0.19
100,0.52,0.35,0.13,0.4,0.46,0.14
110,0.43,0.37,0.2,0.41,0.52,0.07
120,0.55,0.32,0.13,0.35,0.48,0.17
130,0.35,0.46,0.19,0.52,0.35,0.13
140,0.44,0.36,0.2,0.54,0.4,0.06
150,0.58,0.37,0.05,0.38,0.58,0.04
160,0.53,0.36,0.11,0.52,0.35,0.13
170,0.66,0.23,0.11,0.34,0.49,0.17
180,0.52,0.36,0.12,0.38,0.52,0.1
190,0.57,0.33,0.1,0.38,0.53,0.09
200,0.65,0.25,0.1,0.34,0.53,0.13
210,0.7,0.21,0.09,0.49,0.39,0.12
220,0.55,0.34,0.11,0.4,0.47,0.13
230,0.61,0.33,0.06,0.44,0.47,0.09
240,0.72,0.21,0.07,0.38,0.46,0.16
250,0.66,0.18,0.16,0.44,0.49,0.07
260,0.73,0.17,0.1,0.41,0.49,0.1
270,0.61,0.26,0.13,0.42,0.53,0.05
280,0.72,0.14,0.14,0.44,0.48,0.08
290,0.62,0.26,0.12,0.22,0.7,0.08
300,0.63,0.2,0.17,0.34,0.57,0.09
310,0.53,0.36,0.11,0.38,0.49,0.13
320,0.62,0.21,0.17,0.38,0.51,0.11
330,0.59,0.26,0.15,0.33,0.57,0.1
340,0.58,0.31,0.11,0.39,0.55,0.06
350,0.54,0.31,0.15,0.29,0.56,0.15
360,0.59,0.2,0.21,0.36,0.49,0.15
370,0.62,0.26,0.12,0.36,0.51,0.13
380,0.68,0.21,0.11,0.44,0.47,0.09
390,0.62,0.28,0.1,0.39,0.5,0.11
400,0.68,0.22,0.1,0.45,0.41,0.14
410,0.61,0.26,0.13,0.41,0.42,0.17
420,0.54,0.37,0.09,0.41,0.51,0.08
430,0.68,0.26,0.06,0.38,0.56,0.06
440,0.61,0.26,0.13,0.32,0.51,0.17
450,0.61,0.29,0.1,0.38,0.57,0.05
460,0.47,0.34,0.19,0.45,0.49,0.06
470,0.69,0.14,0.17,0.4,0.53,0.07
480,0.48,0.28,0.24,0.46,0.47,0.07
490,0.45,0.35,0.2,0.43,0.47,0.1
500,0.43,0.31,0.26,0.3,0.5,0.2
510,0.56,0.22,0.22,0.46,0.48,0.06
520,0.55,0.23,0.22,0.49,0.43,0.08
530,0.6,0.33,0.07,0.46,0.43,0.11
540,0.6,0.2,0.2,0.29,0.5,0.21
550,0.64,0.16,0.2,0.45,0.52,0.03
560,0.65,0.25,0.1,0.38,0.54,0.08
570,0.75,0.11,0.14,0.42,0.47,0.11
580,0.74,0.16,0.1,0.38,0.45,0.17
590,0.76,0.17,0.07,0.36,0.55,0.09
600,0.77,0.15,0.08,0.43,0.51,0.06
610,0.77,0.12,0.11,0.41,0.44,0.15
620,0.76,0.11,0.13,0.4,0.47,0.13
630,0.65,0.15,0.2,0.48,0.47,0.05
640,0.75,0.16,0.09,0.37,0.52,0.11
650,0.66,0.18,0.16,0.37,0.56,0.07
660,0.74,0.16,0.1,0.51,0.44,0.05
670,0.62,0.23,0.15,0.34,0.57,0.09
680,0.64,0.16,0.2,0.48,0.43,0.09
690,0.68,0.17,0.15,0.32,0.58,0.1
700,0.7,0.17,0.13,0.3,0.5,0.2
710,0.72,0.14,0.14,0.43,0.45,0.12
720,0.72,0.17,0.11,0.36,0.5,0.14
730,0.64,0.18,0.18,0.27,0.65,0.08
740,0.71,0.18,0.11,0.38,0.54,0.08
750,0.64,0.19,0.17,0.45,0.42,0.13
760,0.75,0.12,0.13,0.36,0.52,0.12
770,0.7,0.13,0.17,0.39,0.51,0.1
780,0.7,0.17,0.13,0.32,0.53,0.15
790,0.68,0.22,0.1,0.39,0.53,0.08
800,0.75,0.12,0.13,0.39,0.54,0.07
810,0.72,0.18,0.1,0.28,0.62,0.1
820,0.76,0.18,0.06,0.41,0.49,0.1
830,0.68,0.18,0.14,0.27,0.62,0.11
840,0.62,0.25,0.13,0.33,0.61,0.06
850,0.64,0.16,0.2,0.34,0.52,0.14
860,0.63,0.18,0.19,0.37,0.48,0.15
870,0.6,0.3,0.1,0.35,0.5,0.15
880,0.63,0.26,0.11,0.4,0.49,0.11
890,0.52,0.26,0.22,0.39,0.48,0.13
900,0.62,0.19,0.19,0.35,0.52,0.13
910,0.6,0.26,0.14,0.47,0.46,0.07
920,0.71,0.19,0.1,0.26,0.53,0.21
930,0.74,0.17,0.09,0.4,0.47,0.13
940,0.72,0.21,0.07,0.34,0.5,0.16
950,0.63,0.21,0.16,0.34,0.54,0.12
960,0.7,0.25,0.05,0.21,0.66,0.13
970,0.82,0.15,0.03,0.29,0.57,0.14
980,0.62,0.25,0.13,0.27,0.58,0.15
990,0.65,0.22,0.13,0.3,0.6,0.1
1000,0.71,0.16,0.13,0.3,0.56,0.14
