Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.7,0.25,0.05,0.42,0.5,0.08
10,0.91,0.03,0.06,0.13,0.83,0.04
20,0.86,0.05,0.09,0.09,0.91,0
30,0.91,0.01,0.08,0.13,0.84,0.03
40,0.94,0.01,0.05,0.17,0.76,0.07
50,0.86,0.04,0.1,0.16,0.82,0.02
60,0.89,0.09,0.02,0.37,0.54,0.09
70,0.94,0.01,0.05,0.35,0.59,0.06
80,0.89,0.08,0.03,0.28,0.69,0.03
90,0.86,0.06,0.08,0.24,0.75,0.01
100,0.89,0.07,0.04,0.53,0.41,0.06
110,0.91,0.05,0.04,0.53,0.34,0.13
120,0.89,0.03,0.08,0.44,0.48,0.08
130,0.91,0.02,0.07,0.34,0.55,0.11
140,0.88,0.07,0.05,0.44,0.43,0.13
150,0.88,0.08,0.04,0.5,0.38,0.12
160,0.89,0.07,0.04,0.57,0.36,0.07
170,0.84,0.04,0.12,0.58,0.39,0.03
180,0.92,0.01,0.07,0.59,0.34,0.07
190,0.87,0.06,0.07,0.65,0.3,0.05
200,0.76,0.06,0.18,0.58,0.38,0.04
210,0.86,0.04,0.1,0.6,0.33,0.07
220,0.85,0.05,0.1,0.56,0.33,0.11
230,0.87,0.05,0.08,0.48,0.46,0.06
240,0.84,0.09,0.07,0.64,0.29,0.07
250,0.76,0.11,0.13,0.68,0.22,0.1
260,0.87,0.06,0.07,0.68,0.23,0.09
270,0.9,0.06,0.04,0.69,0.23,0.08
280,0.83,0.05,0.12,0.62,0.3,0.08
290,0.85,0.07,0.08,0.61,0.31,0.08
300,0.92,0.06,0.02,0.62,0.3,0.08
310,0.92,0.01,0.07,0.63,0.28,0.09
320,0.88,0.05,0.07,0.54,0.32,0.14
330,0.93,0.03,0.04,0.62,0.24,0.14
340,0.91,0.04,0.05,0.65,0.2,0.15
350,0.92,0.03,0.05,0.58,0.36,0.06
360,0.93,0.03,0.04,0.6,0.36,0.04
370,0.96,0.02,0.02,0.55,0.41,0.04
380,0.92,0.05,0.03,0.57,0.36,0.07
390,0.85,0.06,0.09,0.56,0.39,0.05
400,0.93,0.04,0.03,0.53,0.41,0.06
410,0.93,0.06,0.01,0.56,0.31,0.13
420,0.87,0.11,0.02,0.6,0.32,0.08
430,0.92,0.07,0.01,0.62,0.33,0.05
440,0.91,0.05,0.04,0.54,0.39,0.07
450,0.88,0.06,0.06,0.58,0.38,0.04
460,0.93,0.05,0.02,0.63,0.29,0.08
470,0.94,0.04,0.02,0.52,0.4,0.08
480,0.96,0.03,0.01,0.55,0.42,0.03
490,0.86,0.04,0.1,0.58,0.36,0.06
500,0.97,0.03,0,0.56,0.39,0.05
510,0.96,0.01,0.03,0.55,0.4,0.05
520,0.94,0.04,0.02,0.69,0.25,0.06
530,0.91,0.06,0.03,0.57,0.36,0.07
540,0.93,0.05,0.02,0.52,0.4,0.08
550,0.88,0.11,0.01,0.54,0.36,0.1
560,0.93,0.05,0.02,0.58,0.36,0.06
570,0.88,0.11,0.01,0.56,0.4,0.04
580,0.95,0.04,0.01,0.58,0.35,0.07
590,0.95,0.04,0.01,0.6,0.3,0.1
600,0.95,0.03,0.02,0.63,0.34,0.03
610,0.9,0.08,0.02,0.62,0.3,0.08
620,0.91,0.08,0.01,0.61,0.31,0.08
630,0.84,0.11,0.05,0.67,0.29,0.04
640,0.9,0.08,0.02,0.72,0.19,0.09
650,0.84,0.13,0.03,0.74,0.16,0.1
660,0.78,0.18,0.04,0.69,0.26,0.05
670,0.7,0.18,0.12,0.64,0.25,0.11
680,0.81,0.15,0.04,0.66,0.23,0.11
690,0.79,0.17,0.04,0.71,0.24,0.05
700,0.72,0.19,0.09,0.63,0.29,0.08
710,0.89,0.07,0.04,0.68,0.28,0.04
720,0.87,0.11,0.02,0.69,0.29,0.02
730,0.84,0.12,0.04,0.77,0.18,0.05
740,0.89,0.07,0.04,0.59,0.32,0.09
750,0.86,0.07,0.07,0.76,0.18,0.06
760,0.86,0.08,0.06,0.68,0.24,0.08
770,0.9,0.09,0.01,0.63,0.33,0.04
780,0.91,0.07,0.02,0.63,0.35,0.02
790,0.91,0.05,0.04,0.74,0.21,0.05
800,0.81,0.15,0.04,0.61,0.31,0.08
810,0.84,0.15,0.01,0.66,0.28,0.06
820,0.87,0.1,0.03,0.67,0.26,0.07
830,0.82,0.16,0.02,0.66,0.32,0.02
840,0.89,0.06,0.05,0.6,0.29,0.11
850,0.91,0.08,0.01,0.67,0.25,0.08
860,0.96,0.03,0.01,0.66,0.31,0.03
870,0.93,0.05,0.02,0.71,0.22,0.07
880,0.9,0.05,0.05,0.58,0.34,0.08
890,0.89,0.1,0.01,0.58,0.35,0.07
900,0.84,0.14,0.02,0.65,0.3,0.05
910,0.89,0.1,0.01,0.64,0.31,0.05
920,0.84,0.13,0.03,0.77,0.18,0.05
930,0.88,0.11,0.01,0.63,0.29,0.08
940,0.86,0.08,0.06,0.62,0.29,0.09
950,0.88,0.1,0.02,0.66,0.26,0.08
960,0.84,0.15,0.01,0.72,0.18,0.1
970,0.81,0.17,0.02,0.73,0.2,0.07
980,0.9,0.08,0.02,0.67,0.25,0.08
990,0.95,0.02,0.03,0.66,0.25,0.09
1000,0.91,0.09,0,0.64,0.28,0.08
