Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.81,0.15,0.04,0.42,0.56,0.02
10,0.88,0.03,0.09,0.2,0.8,0
20,0.85,0.04,0.11,0.1,0.85,0.05
30,0.86,0.06,0.08,0.1,0.85,0.05
40,0.94,0.03,0.03,0.15,0.83,0.02
50,0.96,0.02,0.02,0.08,0.91,0.01
60,0.9,0.03,0.07,0.18,0.81,0.01
70,0.89,0.06,0.05,0.11,0.89,0
80,0.82,0.07,0.11,0.14,0.85,0.01
90,0.87,0.06,0.07,0.15,0.79,0.06
100,0.88,0.08,0.04,0.22,0.78,0
110,0.84,0.07,0.09,0.22,0.77,0.01
120,0.81,0.05,0.14,0.18,0.81,0.01
130,0.79,0.05,0.16,0.28,0.7,0.02
140,0.81,0.04,0.15,0.45,0.54,0.01
150,0.85,0.05,0.1,0.37,0.59,0.04
160,0.93,0.03,0.04,0.66,0.27,0.07
170,0.89,0.04,0.07,0.63,0.29,0.08
180,0.84,0.12,0.04,0.55,0.34,0.11
190,0.84,0.09,0.07,0.62,0.25,0.13
200,0.81,0.12,0.07,0.58,0.34,0.08
210,0.83,0.07,0.1,0.53,0.45,0.02
220,0.87,0.06,0.07,0.51,0.38,0.11
230,0.83,0.05,0.12,0.56,0.41,0.03
240,0.79,0.09,0.12,0.46,0.49,0.05
250,0.85,0.09,0.06,0.3,0.66,0.04
260,0.87,0.07,0.06,0.35,0.64,0.01
270,0.89,0.08,0.03,0.38,0.58,0.04
280,0.82,0.11,0.07,0.3,0.68,0.02
290,0.82,0.14,0.04,0.47,0.52,0.01
300,0.81,0.05,0.14,0.42,0.53,0.05
310,0.78,0.1,0.12,0.38,0.55,0.07
320,0.88,0.03,0.09,0.27,0.7,0.03
330,0.89,0.08,0.03,0.57,0.37,0.06
340,0.93,0.04,0.03,0.54,0.38,0.08
350,0.94,0.05,0.01,0.43,0.48,0.09
360,0.95,0.03,0.02,0.52,0.3,0.18
370,0.94,0.02,0.04,0.47,0.4,0.13
380,0.95,0.03,0.02,0.52,0.4,0.08
390,0.9,0.04,0.06,0.51,0.41,0.08
400,0.83,0.03,0.14,0.43,0.46,0.11
410,0.89,0.07,0.04,0.52,0.38,0.1
420,0.88,0.04,0.08,0.57,0.36,0.07
430,0.88,0.06,0.06,0.63,0.28,0.09
440,0.91,0.04,0.05,0.45,0.49,0.06
450,0.9,0.07,0.03,0.45,0.48,0.07
460,0.91,0.05,0.04,0.65,0.29,0.06
470,0.85,0.07,0.08,0.57,0.34,0.09
480,0.79,0.14,0.07,0.65,0.3,0.05
490,0.87,0.09,0.04,0.55,0.35,0.1
500,0.77,0.17,0.06,0.54,0.38,0.08
510,0.79,0.17,0.04,0.67,0.27,0.06
520,0.8,0.13,0.07,0.68,0.31,0.01
530,0.8,0.15,0.05,0.63,0.31,0.06
540,0.9,0.06,0.04,0.66,0.32,0.02
550,0.7,0.13,0.17,0.53,0.45,0.02
560,0.8,0.14,0.06,0.68,0.26,0.06
570,0.79,0.06,0.15,0.59,0.33,0.08
580,0.79,0.13,0.08,0.61,0.34,0.05
590,0.8,0.14,0.06,0.54,0.37,0.09
600,0.77,0.18,0.05,0.61,0.32,0.07
610,0.76,0.13,0.11,0.49,0.38,0.13
620,0.79,0.15,0.06,0.67,0.28,0.05
630,0.68,0.14,0.18,0.63,0.25,0.12
640,0.73,0.1,0.17,0.66,0.3,0.04
650,0.76,0.11,0.13,0.53,0.36,0.11
660,0.76,0.08,0.16,0.56,0.33,0.11
670,0.79,0.09,0.12,0.61,0.34,0.05
680,0.84,0.09,0.07,0.68,0.27,0.05
690,0.84,0.1,0.06,0.64,0.29,0.07
700,0.93,0.03,0.04,0.62,0.29,0.09
710,0.85,0.1,0.05,0.63,0.29,0.08
720,0.96,0.02,0.02,0.57,0.31,0.12
730,0.87,0.01,0.12,0.56,0.34,0.1
740,0.87,0.06,0.07,0.57,0.33,0.1
750,0.76,0.07,0.17,0.58,0.31,0.11
760,0.89,0.04,0.07,0.65,0.3,0.05
770,0.81,0.09,0.1,0.58,0.36,0.06
780,0.82,0.06,0.12,0.59,0.33,0.08
790,0.73,0.11,0.16,0.55,0.38,0.07
800,0.81,0.06,0.13,0.63,0.34,0.03
810,0.85,0.11,0.04,0.56,0.39,0.05
820,0.82,0.15,0.03,0.6,0.3,0.1
830,0.91,0.05,0.04,0.51,0.29,0.2
840,0.9,0.06,0.04,0.7,0.26,0.04
850,0.88,0.07,0.05,0.65,0.32,0.03
860,0.81,0.1,0.09,0.61,0.31,0.08
870,0.91,0.05,0.04,0.63,0.24,0.13
880,0.95,0.01,0.04,0.59,0.34,0.07
890,0.92,0.05,0.03,0.61,0.35,0.04
900,0.93,0.05,0.02,0.69,0.28,0.03
910,0.87,0.07,0.06,0.54,0.32,0.14
920,0.9,0.06,0.04,0.61,0.31,0.08
930,0.95,0,0.05,0.5,0.35,0.15
940,0.8,0.11,0.09,0.65,0.26,0.09
950,0.8,0.15,0.05,0.65,0.28,0.07
960,0.76,0.16,0.08,0.63,0.3,0.07
970,0.8,0.13,0.07,0.5,0.45,0.05
980,0.78,0.16,0.06,0.48,0.47,0.05
990,0.8,0.13,0.07,0.68,0.27,0.05
1000,0.81,0.13,0.06,0.57,0.35,0.08
