Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.76,0.18,0.06,0.42,0.53,0.05
10,0.8,0.14,0.06,0.35,0.49,0.16
20,0.68,0.26,0.06,0.25,0.65,0.1
30,0.75,0.18,0.07,0.44,0.42,0.14
40,0.8,0.16,0.04,0.38,0.51,0.11
50,0.59,0.32,0.09,0.45,0.47,0.08
60,0.78,0.13,0.09,0.45,0.46,0.09
70,0.82,0.11,0.07,0.43,0.47,0.1
80,0.78,0.14,0.08,0.35,0.54,0.11
90,0.79,0.15,0.06,0.37,0.44,0.19
100,0.78,0.14,0.08,0.51,0.38,0.11
110,0.78,0.12,0.1,0.34,0.53,0.13
120,0.86,0.1,0.04,0.43,0.45,0.12
130,0.79,0.14,0.07,0.47,0.43,0.1
140,0.83,0.11,0.06,0.41,0.5,0.09
150,0.83,0.11,0.06,0.29,0.66,0.05
160,0.83,0.13,0.04,0.28,0.52,0.2
170,0.79,0.17,0.04,0.27,0.62,0.11
180,0.8,0.17,0.03,0.28,0.6,0.12
190,0.85,0.1,0.05,0.33,0.51,0.16
200,0.82,0.16,0.02,0.35,0.49,0.16
210,0.83,0.12,0.05,0.4,0.47,0.13
220,0.84,0.14,0.02,0.4,0.49,0.11
230,0.8,0.18,0.02,0.41,0.52,0.07
240,0.83,0.16,0.01,0.37,0.45,0.18
250,0.78,0.16,0.06,0.41,0.41,0.18
260,0.8,0.16,0.04,0.41,0.42,0.17
270,0.74,0.19,0.07,0.37,0.46,0.17
280,0.79,0.14,0.07,0.4,0.38,0.22
290,0.87,0.07,0.06,0.4,0.47,0.13
300,0.75,0.2,0.05,0.34,0.38,0.28
310,0.76,0.19,0.05,0.44,0.38,0.18
320,0.8,0.16,0.04,0.44,0.39,0.17
330,0.78,0.17,0.05,0.55,0.32,0.13
340,0.78,0.17,0.05,0.58,0.34,0.08
350,0.81,0.16,0.03,0.42,0.37,0.21
360,0.81,0.12,0.07,0.43,0.4,0.17
370,0.78,0.14,0.08,0.37,0.5,0.13
380,0.75,0.23,0.02,0.48,0.39,0.13
390,0.74,0.18,0.08,0.41,0.46,0.13
400,0.7,0.24,0.06,0.39,0.45,0.16
410,0.77,0.18,0.05,0.41,0.43,0.16
420,0.86,0.11,0.03,0.47,0.45,0.08
430,0.81,0.16,0.03,0.42,0.39,0.19
440,0.81,0.1,0.09,0.46,0.43,0.11
450,0.79,0.16,0.05,0.37,0.4,0.23
460,0.78,0.17,0.05,0.39,0.41,0.2
470,0.76,0.19,0.05,0.37,0.4,0.23
480,0.73,0.2,0.07,0.36,0.5,0.14
490,0.77,0.14,0.09,0.44,0.3,0.26
500,0.81,0.18,0.01,0.44,0.43,0.13
510,0.84,0.08,0.08,0.45,0.39,0.16
520,0.73,0.22,0.05,0.39,0.42,0.19
530,0.72,0.25,0.03,0.41,0.42,0.17
540,0.76,0.19,0.05,0.3,0.42,0.28
550,0.83,0.1,0.07,0.43,0.35,0.22
560,0.89,0.07,0.04,0.43,0.37,0.2
570,0.82,0.1,0.08,0.39,0.41,0.2
580,0.78,0.13,0.09,0.51,0.41,0.08
590,0.82,0.16,0.02,0.44,0.37,0.19
600,0.88,0.08,0.04,0.42,0.43,0.15
610,0.84,0.08,0.08,0.48,0.42,0.1
620,0.86,0.11,0.03,0.49,0.41,0.1
630,0.82,0.13,0.05,0.5,0.42,0.08
640,0.77,0.16,0.07,0.5,0.41,0.09
650,0.82,0.14,0.04,0.39,0.49,0.12
660,0.7,0.24,0.06,0.48,0.43,0.09
670,0.8,0.15,0.05,0.44,0.49,0.07
680,0.8,0.17,0.03,0.45,0.5,0.05
690,0.77,0.16,0.07,0.51,0.46,0.03
700,0.73,0.18,0.09,0.55,0.41,0.04
710,0.84,0.13,0.03,0.54,0.42,0.04
720,0.74,0.15,0.11,0.42,0.51,0.07
730,0.7,0.18,0.12,0.63,0.33,0.04
740,0.74,0.14,0.12,0.5,0.45,0.05
750,0.84,0.12,0.04,0.47,0.5,0.03
760,0.79,0.14,0.07,0.51,0.44,0.05
770,0.76,0.19,0.05,0.5,0.49,0.01
780,0.84,0.11,0.05,0.48,0.49,0.03
790,0.81,0.17,0.02,0.55,0.41,0.04
800,0.7,0.24,0.06,0.57,0.36,0.07
810,0.67,0.29,0.04,0.54,0.41,0.05
820,0.69,0.26,0.05,0.65,0.34,0.01
830,0.81,0.14,0.05,0.53,0.4,0.07
840,0.77,0.19,0.04,0.55,0.42,0.03
850,0.64,0.25,0.11,0.54,0.42,0.04
860,0.64,0.3,0.06,0.5,0.45,0.05
870,0.61,0.29,0.1,0.42,0.48,0.1
880,0.63,0.29,0.08,0.47,0.48,0.05
890,0.63,0.27,0.1,0.47,0.5,0.03
900,0.61,0.29,0.1,0.42,0.54,0.04
910,0.8,0.13,0.07,0.42,0.53,0.05
920,0.76,0.16,0.08,0.46,0.51,0.03
930,0.57,0.34,0.09,0.52,0.42,0.06
940,0.71,0.2,0.09,0.52,0.35,0.13
950,0.69,0.23,0.08,0.48,0.42,0.1
960,0.71,0.26,0.03,0.51,0.44,0.05
970,0.55,0.3,0.15,0.44,0.45,0.11
980,0.7,0.23,0.07,0.54,0.41,0.05
990,0.61,0.3,0.09,0.49,0.43,0.08
1000,0.7,0.23,0.07,0.39,0.58,0.03
