Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.81,0.15,0.04,0.47,0.5,0.03
10,0.7,0.12,0.18,0.35,0.51,0.14
20,0.82,0.13,0.05,0.35,0.51,0.14
30,0.73,0.21,0.06,0.39,0.59,0.02
40,0.75,0.11,0.14,0.22,0.73,0.05
50,0.77,0.13,0.1,0.26,0.73,0.01
60,0.75,0.15,0.1,0.22,0.74,0.04
70,0.77,0.14,0.09,0.2,0.76,0.04
80,0.7,0.24,0.06,0.22,0.76,0.02
90,0.65,0.28,0.07,0.26,0.72,0.02
100,0.68,0.24,0.08,0.17,0.82,0.01
110,0.67,0.28,0.05,0.19,0.77,0.04
120,0.68,0.28,0.04,0.21,0.78,0.01
130,0.69,0.21,0.1,0.18,0.79,0.03
140,0.62,0.29,0.09,0.24,0.68,0.08
150,0.59,0.27,0.14,0.27,0.63,0.1
160,0.64,0.24,0.12,0.16,0.75,0.09
170,0.65,0.22,0.13,0.23,0.68,0.09
180,0.69,0.19,0.12,0.2,0.73,0.07
190,0.66,0.25,0.09,0.19,0.7,0.11
200,0.68,0.14,0.18,0.15,0.73,0.12
210,0.52,0.31,0.17,0.28,0.57,0.15
220,0.57,0.34,0.09,0.25,0.69,0.06
230,0.59,0.27,0.14,0.2,0.7,0.1
240,0.57,0.29,0.14,0.27,0.7,0.03
250,0.48,0.28,0.24,0.19,0.73,0.08
260,0.59,0.28,0.13,0.18,0.72,0.1
270,0.53,0.33,0.14,0.19,0.7,0.11
280,0.6,0.26,0.14,0.22,0.57,0.21
290,0.45,0.44,0.11,0.22,0.61,0.17
300,0.39,0.34,0.27,0.2,0.7,0.1
310,0.45,0.28,0.27,0.19,0.65,0.16
320,0.52,0.28,0.2,0.32,0.59,0.09
330,0.62,0.25,0.13,0.3,0.68,0.02
340,0.55,0.35,0.1,0.25,0.74,0.01
350,0.58,0.38,0.04,0.25,0.72,0.03
360,0.47,0.4,0.13,0.19,0.7,0.11
370,0.51,0.37,0.12,0.24,0.71,0.05
380,0.59,0.29,0.12,0.24,0.65,0.11
390,0.55,0.28,0.17,0.22,0.67,0.11
400,0.51,0.37,0.12,0.23,0.74,0.03
410,0.47,0.33,0.2,0.29,0.69,0.02
420,0.37,0.53,0.1,0.27,0.73,0
430,0.7,0.25,0.05,0.28,0.67,0.05
440,0.5,0.41,0.09,0.29,0.69,0.02
450,0.78,0.18,0.04,0.33,0.62,0.05
460,0.56,0.32,0.12,0.22,0.73,0.05
470,0.59,0.3,0.11,0.29,0.68,0.03
480,0.58,0.34,0.08,0.27,0.65,0.08
490,0.68,0.26,0.06,0.35,0.64,0.01
500,0.53,0.36,0.11,0.28,0.69,0.03
510,0.49,0.37,0.14,0.43,0.55,0.02
520,0.49,0.3,0.21,0.3,0.66,0.04
530,0.56,0.37,0.07,0.28,0.7,0.02
540,0.51,0.37,0.12,0.27,0.71,0.02
550,0.41,0.41,0.18,0.27,0.68,0.05
560,0.41,0.35,0.24,0.28,0.68,0.04
570,0.52,0.32,0.16,0.31,0.64,0.05
580,0.4,0.35,0.25,0.24,0.72,0.04
590,0.43,0.39,0.18,0.27,0.69,0.04
600,0.41,0.41,0.18,0.23,0.73,0.04
610,0.52,0.33,0.15,0.24,0.7,0.06
620,0.55,0.36,0.09,0.3,0.63,0.07
630,0.56,0.35,0.09,0.24,0.72,0.04
640,0.48,0.35,0.17,0.26,0.7,0.04
650,0.41,0.37,0.22,0.35,0.64,0.01
660,0.53,0.35,0.12,0.26,0.71,0.03
670,0.54,0.37,0.09,0.24,0.71,0.05
680,0.68,0.24,0.08,0.31,0.61,0.08
690,0.62,0.31,0.07,0.32,0.62,0.06
700,0.51,0.33,0.16,0.31,0.61,0.08
710,0.84,0.12,0.04,0.25,0.73,0.02
720,0.71,0.27,0.02,0.41,0.55,0.04
730,0.66,0.26,0.08,0.46,0.48,0.06
740,0.82,0.16,0.02,0.43,0.52,0.05
750,0.69,0.23,0.08,0.33,0.64,0.03
760,0.85,0.1,0.05,0.34,0.63,0.03
770,0.59,0.33,0.08,0.26,0.53,0.21
780,0.67,0.24,0.09,0.36,0.4,0.24
790,0.52,0.35,0.13,0.4,0.43,0.17
800,0.66,0.31,0.03,0.25,0.44,0.31
810,0.53,0.36,0.11,0.35,0.38,0.27
820,0.71,0.23,0.06,0.37,0.38,0.25
830,0.79,0.15,0.06,0.36,0.46,0.18
840,0.74,0.1,0.16,0.5,0.39,0.11
850,0.67,0.25,0.08,0.38,0.51,0.11
860,0.77,0.1,0.13,0.31,0.51,0.18
870,0.79,0.1,0.11,0.44,0.48,0.08
880,0.72,0.15,0.13,0.52,0.41,0.07
890,0.86,0.11,0.03,0.49,0.45,0.06
900,0.88,0.06,0.06,0.38,0.5,0.12
910,0.64,0.19,0.17,0.39,0.5,0.11
920,0.67,0.21,0.12,0.41,0.43,0.16
930,0.69,0.19,0.12,0.41,0.52,0.07
940,0.6,0.27,0.13,0.42,0.5,0.08
950,0.88,0.07,0.05,0.56,0.37,0.07
960,0.87,0.07,0.06,0.45,0.46,0.09
970,0.58,0.31,0.11,0.43,0.5,0.07
980,0.66,0.18,0.16,0.39,0.51,0.1
990,0.63,0.16,0.21,0.48,0.48,0.04
1000,0.81,0.12,0.07,0.37,0.5,0.13
