Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.8,0.16,0.04,0.51,0.43,0.06
10,0.66,0.22,0.12,0.38,0.48,0.14
20,0.67,0.21,0.12,0.48,0.44,0.08
30,0.64,0.2,0.16,0.38,0.57,0.05
40,0.64,0.19,0.17,0.37,0.55,0.08
50,0.65,0.23,0.12,0.35,0.54,0.11
60,0.77,0.15,0.08,0.35,0.59,0.06
70,0.74,0.15,0.11,0.39,0.58,0.03
80,0.78,0.13,0.09,0.4,0.54,0.06
90,0.66,0.2,0.14,0.27,0.65,0.08
100,0.64,0.18,0.18,0.27,0.65,0.08
110,0.88,0.09,0.03,0.38,0.56,0.06
120,0.77,0.11,0.12,0.36,0.55,0.09
130,0.7,0.18,0.12,0.37,0.59,0.04
140,0.64,0.24,0.12,0.49,0.49,0.02
150,0.74,0.15,0.11,0.54,0.45,0.01
160,0.73,0.18,0.09,0.36,0.62,0.02
170,0.72,0.17,0.11,0.54,0.4,0.06
180,0.77,0.14,0.09,0.5,0.49,0.01
190,0.7,0.19,0.11,0.49,0.49,0.02
200,0.78,0.15,0.07,0.46,0.47,0.07
210,0.79,0.1,0.11,0.56,0.38,0.06
220,0.75,0.16,0.09,0.47,0.42,0.11
230,0.77,0.12,0.11,0.55,0.4,0.05
240,0.63,0.2,0.17,0.52,0.45,0.03
250,0.73,0.1,0.17,0.63,0.28,0.09
260,0.72,0.17,0.11,0.7,0.26,0.04
270,0.74,0.17,0.09,0.49,0.48,0.03
280,0.68,0.16,0.16,0.57,0.37,0.06
290,0.72,0.18,0.1,0.46,0.5,0.04
300,0.67,0.22,0.11,0.52,0.42,0.06
310,0.69,0.23,0.08,0.44,0.53,0.03
320,0.68,0.24,0.08,0.46,0.51,0.03
330,0.72,0.19,0.09,0.54,0.43,0.03
340,0.75,0.18,0.07,0.49,0.48,0.03
350,0.78,0.13,0.09,0.45,0.51,0.04
360,0.83,0.14,0.03,0.42,0.54,0.04
370,0.85,0.12,0.03,0.5,0.47,0.03
380,0.74,0.11,0.15,0.43,0.53,0.04
390,0.8,0.13,0.07,0.57,0.42,0.01
400,0.74,0.2,0.06,0.53,0.46,0.01
410,0.75,0.14,0.11,0.6,0.38,0.02
420,0.76,0.18,0.06,0.42,0.51,0.07
430,0.75,0.18,0.07,0.44,0.49,0.07
440,0.67,0.22,0.11,0.52,0.42,0.06
450,0.86,0.09,0.05,0.64,0.33,0.03
460,0.63,0.31,0.06,0.4,0.54,0.06
470,0.61,0.26,0.13,0.6,0.33,0.07
480,0.74,0.23,0.03,0.49,0.45,0.06
490,0.59,0.27,0.14,0.56,0.39,0.05
500,0.7,0.22,0.08,0.5,0.45,0.05
510,0.65,0.34,0.01,0.6,0.37,0.03
520,0.75,0.19,0.06,0.39,0.54,0.07
530,0.73,0.17,0.1,0.51,0.47,0.02
540,0.8,0.16,0.04,0.38,0.51,0.11
550,0.79,0.17,0.04,0.4,0.54,0.06
560,0.75,0.16,0.09,0.44,0.53,0.03
570,0.52,0.34,0.14,0.33,0.6,0.07
580,0.56,0.32,0.12,0.45,0.5,0.05
590,0.53,0.35,0.12,0.6,0.38,0.02
600,0.72,0.22,0.06,0.46,0.46,0.08
610,0.63,0.27,0.1,0.56,0.38,0.06
620,0.65,0.23,0.12,0.43,0.53,0.04
630,0.66,0.27,0.07,0.38,0.55,0.07
640,0.63,0.3,0.07,0.42,0.45,0.13
650,0.55,0.32,0.13,0.58,0.38,0.04
660,0.57,0.4,0.03,0.43,0.46,0.11
670,0.76,0.17,0.07,0.48,0.42,0.1
680,0.68,0.24,0.08,0.46,0.47,0.07
690,0.69,0.25,0.06,0.53,0.39,0.08
700,0.65,0.26,0.09,0.48,0.48,0.04
710,0.81,0.16,0.03,0.47,0.44,0.09
720,0.6,0.27,0.13,0.42,0.48,0.1
730,0.81,0.12,0.07,0.47,0.51,0.02
740,0.76,0.19,0.05,0.42,0.53,0.05
750,0.73,0.23,0.04,0.38,0.57,0.05
760,0.75,0.18,0.07,0.43,0.53,0.04
770,0.82,0.09,0.09,0.38,0.6,0.02
780,0.79,0.2,0.01,0.35,0.6,0.05
790,0.76,0.21,0.03,0.28,0.62,0.1
800,0.76,0.21,0.03,0.47,0.52,0.01
810,0.73,0.21,0.06,0.4,0.54,0.06
820,0.8,0.14,0.06,0.37,0.54,0.09
830,0.71,0.17,0.12,0.41,0.53,0.06
840,0.79,0.13,0.08,0.35,0.61,0.04
850,0.76,0.19,0.05,0.36,0.56,0.08
860,0.79,0.13,0.08,0.44,0.53,0.03
870,0.74,0.14,0.12,0.44,0.55,0.01
880,0.72,0.18,0.1,0.41,0.54,0.05
890,0.67,0.19,0.14,0.4,0.51,0.09
900,0.75,0.16,0.09,0.39,0.53,0.08
910,0.8,0.1,0.1,0.44,0.46,0.1
920,0.75,0.16,0.09,0.47,0.49,0.04
930,0.77,0.18,0.05,0.38,0.57,0.05
940,0.71,0.18,0.11,0.46,0.49,0.05
950,0.7,0.18,0.12,0.45,0.49,0.06
960,0.71,0.19,0.1,0.47,0.47,0.06
970,0.74,0.18,0.08,0.5,0.45,0.05
980,0.77,0.15,0.08,0.43,0.51,0.06
990,0.77,0.14,0.09,0.45,0.49,0.06
1000,0.75,0.21,0.04,0.35,0.57,0.08
