Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.78,0.16,0.06,0.48,0.49,0.03
10,0.76,0.17,0.07,0.43,0.43,0.14
20,0.7,0.25,0.05,0.43,0.42,0.15
30,0.71,0.21,0.08,0.36,0.5,0.14
40,0.73,0.19,0.08,0.19,0.72,0.09
50,0.72,0.24,0.04,0.41,0.55,0.04
60,0.81,0.16,0.03,0.38,0.59,0.03
70,0.78,0.17,0.05,0.31,0.65,0.04
80,0.68,0.24,0.08,0.42,0.5,0.08
90,0.67,0.32,0.01,0.48,0.45,0.07
100,0.77,0.15,0.08,0.48,0.47,0.05
110,0.8,0.16,0.04,0.52,0.45,0.03
120,0.79,0.16,0.05,0.44,0.51,0.05
130,0.72,0.25,0.03,0.4,0.55,0.05
140,0.83,0.16,0.01,0.36,0.61,0.03
150,0.83,0.16,0.01,0.4,0.58,0.02
160,0.82,0.12,0.06,0.45,0.53,0.02
170,0.76,0.17,0.07,0.35,0.63,0.02
180,0.71,0.21,0.08,0.37,0.6,0.03
190,0.74,0.23,0.03,0.45,0.46,0.09
200,0.73,0.21,0.06,0.39,0.56,0.05
210,0.74,0.19,0.07,0.47,0.42,0.11
220,0.68,0.26,0.06,0.44,0.4,0.16
230,0.75,0.22,0.03,0.44,0.5,0.06
240,0.57,0.36,0.07,0.33,0.63,0.04
250,0.68,0.29,0.03,0.31,0.55,0.14
260,0.78,0.19,0.03,0.38,0.52,0.1
270,0.87,0.08,0.05,0.38,0.53,0.09
280,0.79,0.18,0.03,0.3,0.62,0.08
290,0.86,0.1,0.04,0.42,0.52,0.06
300,0.8,0.17,0.03,0.32,0.61,0.07
310,0.8,0.17,0.03,0.32,0.6,0.08
320,0.73,0.2,0.07,0.36,0.54,0.1
330,0.76,0.16,0.08,0.39,0.54,0.07
340,0.75,0.23,0.02,0.46,0.49,0.05
350,0.86,0.09,0.05,0.35,0.6,0.05
360,0.79,0.15,0.06,0.36,0.61,0.03
370,0.87,0.08,0.05,0.31,0.61,0.08
380,0.82,0.12,0.06,0.37,0.54,0.09
390,0.79,0.15,0.06,0.28,0.62,0.1
400,0.7,0.13,0.17,0.35,0.6,0.05
410,0.73,0.14,0.13,0.34,0.61,0.05
420,0.79,0.12,0.09,0.35,0.6,0.05
430,0.75,0.21,0.04,0.36,0.59,0.05
440,0.75,0.11,0.14,0.28,0.56,0.16
450,0.76,0.12,0.12,0.34,0.56,0.1
460,0.78,0.19,0.03,0.41,0.52,0.07
470,0.75,0.16,0.09,0.42,0.49,0.09
480,0.73,0.13,0.14,0.42,0.52,0.06
490,0.81,0.13,0.06,0.45,0.49,0.06
500,0.8,0.15,0.05,0.51,0.41,0.08
510,0.76,0.16,0.08,0.37,0.56,0.07
520,0.76,0.08,0.16,0.34,0.61,0.05
530,0.8,0.12,0.08,0.42,0.52,0.06
540,0.79,0.16,0.05,0.39,0.49,0.12
550,0.77,0.16,0.07,0.38,0.56,0.06
560,0.81,0.15,0.04,0.4,0.48,0.12
570,0.83,0.08,0.09,0.42,0.49,0.09
580,0.84,0.12,0.04,0.33,0.61,0.06
590,0.8,0.16,0.04,0.38,0.51,0.11
600,0.8,0.11,0.09,0.43,0.48,0.09
610,0.86,0.08,0.06,0.52,0.41,0.07
620,0.74,0.19,0.07,0.55,0.42,0.03
630,0.8,0.18,0.02,0.47,0.47,0.06
640,0.75,0.2,0.05,0.45,0.46,0.09
650,0.79,0.17,0.04,0.46,0.48,0.06
660,0.75,0.19,0.06,0.5,0.43,0.07
670,0.72,0.2,0.08,0.37,0.57,0.06
680,0.73,0.24,0.03,0.38,0.55,0.07
690,0.79,0.2,0.01,0.29,0.62,0.09
700,0.79,0.14,0.07,0.4,0.54,0.06
710,0.79,0.13,0.08,0.45,0.53,0.02
720,0.87,0.08,0.05,0.53,0.41,0.06
730,0.83,0.12,0.05,0.35,0.53,0.12
740,0.85,0.12,0.03,0.39,0.6,0.01
750,0.8,0.14,0.06,0.32,0.59,0.09
760,0.81,0.16,0.03,0.53,0.41,0.06
770,0.76,0.14,0.1,0.41,0.53,0.06
780,0.75,0.18,0.07,0.42,0.55,0.03
790,0.74,0.22,0.04,0.44,0.54,0.02
800,0.65,0.28,0.07,0.47,0.48,0.05
810,0.78,0.15,0.07,0.39,0.61,0
820,0.79,0.15,0.06,0.39,0.51,0.1
830,0.72,0.23,0.05,0.44,0.46,0.1
840,0.73,0.2,0.07,0.43,0.55,0.02
850,0.72,0.26,0.02,0.46,0.44,0.1
860,0.74,0.21,0.05,0.45,0.48,0.07
870,0.79,0.18,0.03,0.55,0.43,0.02
880,0.72,0.2,0.08,0.44,0.51,0.05
890,0.69,0.23,0.08,0.37,0.6,0.03
900,0.83,0.13,0.04,0.41,0.48,0.11
910,0.74,0.19,0.07,0.48,0.44,0.08
920,0.82,0.15,0.03,0.47,0.45,0.08
930,0.83,0.14,0.03,0.43,0.53,0.04
940,0.85,0.13,0.02,0.5,0.46,0.04
950,0.82,0.16,0.02,0.47,0.45,0.08
960,0.72,0.2,0.08,0.33,0.55,0.12
970,0.78,0.16,0.06,0.48,0.46,0.06
980,0.79,0.16,0.05,0.43,0.5,0.07
990,0.72,0.18,0.1,0.5,0.42,0.08
1000,0.8,0.11,0.09,0.37,0.6,0.03
