Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.77,0.17,0.06,0.42,0.57,0.01
10,0.73,0.14,0.13,0.32,0.67,0.01
20,0.83,0.11,0.06,0.27,0.66,0.07
30,0.87,0.09,0.04,0.32,0.59,0.09
40,0.88,0.07,0.05,0.23,0.74,0.03
50,0.82,0.11,0.07,0.39,0.6,0.01
60,0.77,0.16,0.07,0.34,0.6,0.06
70,0.89,0.07,0.04,0.39,0.57,0.04
80,0.83,0.11,0.06,0.37,0.62,0.01
90,0.79,0.12,0.09,0.38,0.61,0.01
100,0.79,0.05,0.16,0.31,0.69,0
110,0.82,0.07,0.11,0.22,0.75,0.03
120,0.77,0.09,0.14,0.35,0.56,0.09
130,0.8,0.09,0.11,0.34,0.64,0.02
140,0.77,0.09,0.14,0.48,0.47,0.05
150,0.86,0.12,0.02,0.39,0.59,0.02
160,0.8,0.1,0.1,0.35,0.62,0.03
170,0.82,0.11,0.07,0.31,0.65,0.04
180,0.79,0.14,0.07,0.26,0.69,0.05
190,0.74,0.21,0.05,0.4,0.51,0.09
200,0.87,0.12,0.01,0.3,0.64,0.06
210,0.78,0.15,0.07,0.37,0.59,0.04
220,0.83,0.11,0.06,0.48,0.48,0.04
230,0.82,0.14,0.04,0.46,0.5,0.04
240,0.86,0.08,0.06,0.45,0.54,0.01
250,0.82,0.14,0.04,0.48,0.45,0.07
260,0.81,0.11,0.08,0.35,0.63,0.02
270,0.79,0.15,0.06,0.48,0.48,0.04
280,0.86,0.13,0.01,0.38,0.61,0.01
290,0.88,0.08,0.04,0.31,0.68,0.01
300,0.83,0.12,0.05,0.39,0.56,0.05
310,0.78,0.14,0.08,0.33,0.64,0.03
320,0.79,0.13,0.08,0.46,0.47,0.07
330,0.89,0.11,0,0.42,0.51,0.07
340,0.86,0.11,0.03,0.44,0.51,0.05
350,0.87,0.12,0.01,0.42,0.52,0.06
360,0.74,0.17,0.09,0.45,0.52,0.03
370,0.84,0.12,0.04,0.37,0.57,0.06
380,0.8,0.14,0.06,0.41,0.53,0.06
390,0.75,0.19,0.06,0.42,0.51,0.07
400,0.76,0.18,0.06,0.42,0.51,0.07
410,0.79,0.17,0.04,0.4,0.54,0.06
420,0.78,0.18,0.04,0.52,0.43,0.05
430,0.82,0.1,0.08,0.38,0.55,0.07
440,0.79,0.17,0.04,0.44,0.52,0.04
450,0.78,0.18,0.04,0.42,0.55,0.03
460,0.83,0.08,0.09,0.38,0.54,0.08
470,0.89,0.09,0.02,0.45,0.51,0.04
480,0.84,0.08,0.08,0.49,0.48,0.03
490,0.83,0.1,0.07,0.48,0.46,0.06
500,0.85,0.12,0.03,0.48,0.47,0.05
510,0.65,0.2,0.15,0.5,0.47,0.03
520,0.83,0.09,0.08,0.47,0.45,0.08
530,0.76,0.15,0.09,0.41,0.54,0.05
540,0.82,0.14,0.04,0.35,0.6,0.05
550,0.79,0.11,0.1,0.45,0.49,0.06
560,0.81,0.13,0.06,0.46,0.51,0.03
570,0.69,0.22,0.09,0.4,0.55,0.05
580,0.62,0.23,0.15,0.4,0.51,0.09
590,0.85,0.1,0.05,0.38,0.57,0.05
600,0.85,0.04,0.11,0.43,0.47,0.1
610,0.83,0.11,0.06,0.45,0.51,0.04
620,0.85,0.08,0.07,0.25,0.71,0.04
630,0.82,0.13,0.05,0.4,0.57,0.03
640,0.8,0.16,0.04,0.43,0.46,0.11
650,0.9,0.06,0.04,0.35,0.64,0.01
660,0.78,0.14,0.08,0.36,0.52,0.12
670,0.74,0.11,0.15,0.33,0.55,0.12
680,0.66,0.25,0.09,0.4,0.54,0.06
690,0.65,0.2,0.15,0.36,0.51,0.13
700,0.77,0.11,0.12,0.31,0.6,0.09
710,0.78,0.11,0.11,0.35,0.53,0.12
720,0.78,0.11,0.11,0.33,0.56,0.11
730,0.77,0.1,0.13,0.37,0.52,0.11
740,0.81,0.06,0.13,0.4,0.5,0.1
750,0.8,0.14,0.06,0.35,0.53,0.12
760,0.74,0.11,0.15,0.34,0.55,0.11
770,0.82,0.1,0.08,0.32,0.56,0.12
780,0.72,0.18,0.1,0.35,0.61,0.04
790,0.64,0.21,0.15,0.4,0.5,0.1
800,0.56,0.3,0.14,0.31,0.63,0.06
810,0.71,0.21,0.08,0.38,0.49,0.13
820,0.65,0.3,0.05,0.31,0.52,0.17
830,0.71,0.17,0.12,0.34,0.49,0.17
840,0.6,0.24,0.16,0.3,0.57,0.13
850,0.48,0.42,0.1,0.53,0.45,0.02
860,0.43,0.4,0.17,0.46,0.48,0.06
870,0.62,0.23,0.15,0.41,0.54,0.05
880,0.54,0.33,0.13,0.56,0.39,0.05
890,0.61,0.26,0.13,0.38,0.53,0.09
900,0.64,0.27,0.09,0.52,0.43,0.05
910,0.56,0.34,0.1,0.4,0.51,0.09
920,0.72,0.19,0.09,0.48,0.46,0.06
930,0.66,0.17,0.17,0.43,0.52,0.05
940,0.79,0.12,0.09,0.45,0.52,0.03
950,0.75,0.17,0.08,0.49,0.47,0.04
960,0.72,0.16,0.12,0.46,0.49,0.05
970,0.81,0.1,0.09,0.34,0.62,0.04
980,0.84,0.1,0.06,0.47,0.5,0.03
990,0.77,0.14,0.09,0.38,0.52,0.1
1000,0.78,0.15,0.07,0.34,0.55,0.11
