Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.87,0.11,0.02,0.4,0.55,0.05
10,0.56,0.23,0.21,0.37,0.52,0.11
20,0.63,0.18,0.19,0.23,0.66,0.11
30,0.67,0.17,0.16,0.24,0.59,0.17
40,0.72,0.2,0.08,0.12,0.54,0.34
50,0.54,0.36,0.1,0.28,0.6,0.12
60,0.71,0.23,0.06,0.35,0.52,0.13
70,0.65,0.25,0.1,0.3,0.55,0.15
80,0.74,0.23,0.03,0.36,0.55,0.09
90,0.67,0.25,0.08,0.37,0.52,0.11
100,0.57,0.22,0.21,0.33,0.53,0.14
110,0.72,0.18,0.1,0.36,0.55,0.09
120,0.73,0.17,0.1,0.42,0.47,0.11
130,0.65,0.26,0.09,0.34,0.6,0.06
140,0.71,0.16,0.13,0.36,0.55,0.09
150,0.73,0.17,0.1,0.4,0.5,0.1
160,0.73,0.2,0.07,0.4,0.51,0.09
170,0.76,0.14,0.1,0.44,0.51,0.05
180,0.73,0.13,0.14,0.44,0.51,0.05
190,0.75,0.2,0.05,0.45,0.51,0.04
200,0.71,0.17,0.12,0.48,0.5,0.02
210,0.76,0.21,0.03,0.46,0.49,0.05
220,0.56,0.35,0.09,0.42,0.51,0.07
230,0.74,0.19,0.07,0.42,0.57,0.01
240,0.72,0.19,0.09,0.44,0.5,0.06
250,0.69,0.17,0.14,0.36,0.57,0.07
260,0.67,0.24,0.09,0.32,0.64,0.04
270,0.7,0.16,0.14,0.37,0.61,0.02
280,0.72,0.18,0.1,0.36,0.59,0.05
290,0.69,0.17,0.14,0.32,0.64,0.04
300,0.78,0.12,0.1,0.32,0.64,0.04
310,0.79,0.12,0.09,0.37,0.54,0.09
320,0.75,0.19,0.06,0.38,0.55,0.07
330,0.73,0.17,0.1,0.32,0.65,0.03
340,0.75,0.12,0.13,0.37,0.52,0.11
350,0.77,0.19,0.04,0.42,0.45,0.13
360,0.78,0.16,0.06,0.34,0.61,0.05
370,0.82,0.1,0.08,0.4,0.5,0.1
380,0.81,0.09,0.1,0.4,0.56,0.04
390,0.74,0.16,0.1,0.37,0.52,0.11
400,0.73,0.17,0.1,0.35,0.55,0.1
410,0.8,0.1,0.1,0.32,0.52,0.16
420,0.75,0.1,0.15,0.39,0.52,0.09
430,0.69,0.13,0.18,0.44,0.51,0.05
440,0.7,0.12,0.18,0.43,0.46,0.11
450,0.64,0.19,0.17,0.39,0.48,0.13
460,0.57,0.18,0.25,0.38,0.48,0.14
470,0.82,0.1,0.08,0.32,0.6,0.08
480,0.74,0.13,0.13,0.33,0.6,0.07
490,0.71,0.14,0.15,0.41,0.57,0.02
500,0.7,0.13,0.17,0.37,0.53,0.1
510,0.78,0.11,0.11,0.3,0.65,0.05
520,0.73,0.16,0.11,0.47,0.46,0.07
530,0.83,0.05,0.12,0.45,0.48,0.07
540,0.72,0.11,0.17,0.46,0.45,0.09
550,0.7,0.13,0.17,0.43,0.5,0.07
560,0.69,0.2,0.11,0.55,0.42,0.03
570,0.76,0.13,0.11,0.39,0.52,0.09
580,0.85,0.08,0.07,0.48,0.44,0.08
590,0.78,0.08,0.14,0.31,0.58,0.11
600,0.83,0.12,0.05,0.35,0.61,0.04
610,0.77,0.14,0.09,0.52,0.45,0.03
620,0.83,0.07,0.1,0.5,0.45,0.05
630,0.75,0.12,0.13,0.5,0.41,0.09
640,0.9,0.05,0.05,0.48,0.44,0.08
650,0.77,0.09,0.14,0.45,0.47,0.08
660,0.77,0.11,0.12,0.41,0.55,0.04
670,0.72,0.15,0.13,0.51,0.46,0.03
680,0.85,0.05,0.1,0.36,0.58,0.06
690,0.81,0.11,0.08,0.5,0.44,0.06
700,0.78,0.1,0.12,0.54,0.45,0.01
710,0.77,0.14,0.09,0.47,0.5,0.03
720,0.8,0.03,0.17,0.48,0.5,0.02
730,0.81,0.08,0.11,0.46,0.49,0.05
740,0.78,0.17,0.05,0.42,0.53,0.05
750,0.75,0.1,0.15,0.47,0.51,0.02
760,0.67,0.15,0.18,0.39,0.5,0.11
770,0.8,0.04,0.16,0.38,0.49,0.13
780,0.7,0.13,0.17,0.53,0.42,0.05
790,0.75,0.11,0.14,0.46,0.44,0.1
800,0.79,0.1,0.11,0.54,0.37,0.09
810,0.73,0.1,0.17,0.52,0.4,0.08
820,0.74,0.11,0.15,0.51,0.45,0.04
830,0.75,0.14,0.11,0.5,0.45,0.05
840,0.73,0.15,0.12,0.52,0.42,0.06
850,0.78,0.09,0.13,0.49,0.47,0.04
860,0.78,0.11,0.11,0.52,0.46,0.02
870,0.79,0.11,0.1,0.56,0.42,0.02
880,0.79,0.14,0.07,0.5,0.43,0.07
890,0.79,0.04,0.17,0.47,0.47,0.06
900,0.81,0.07,0.12,0.51,0.44,0.05
910,0.79,0.1,0.11,0.57,0.39,0.04
920,0.8,0.08,0.12,0.43,0.49,0.08
930,0.82,0.04,0.14,0.38,0.51,0.11
940,0.81,0.06,0.13,0.38,0.5,0.12
950,0.84,0.04,0.12,0.43,0.47,0.1
960,0.83,0.08,0.09,0.44,0.48,0.08
970,0.78,0.07,0.15,0.48,0.44,0.08
980,0.85,0.09,0.06,0.42,0.46,0.12
990,0.77,0.12,0.11,0.54,0.4,0.06
1000,0.79,0.09,0.12,0.57,0.34,0.09
