Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.71,0.18,0.11,0.37,0.57,0.06
10,0.58,0.19,0.23,0.14,0.62,0.24
20,0.5,0.29,0.21,0.4,0.45,0.15
30,0.64,0.25,0.11,0.51,0.4,0.09
40,0.56,0.27,0.17,0.4,0.51,0.09
50,0.64,0.29,0.07,0.38,0.58,0.04
60,0.67,0.23,0.1,0.31,0.63,0.06
70,0.66,0.21,0.13,0.39,0.55,0.06
80,0.76,0.16,0.08,0.4,0.49,0.11
90,0.67,0.19,0.14,0.51,0.37,0.12
100,0.72,0.15,0.13,0.48,0.48,0.04
110,0.66,0.18,0.16,0.42,0.44,0.14
120,0.76,0.14,0.1,0.29,0.51,0.2
130,0.75,0.15,0.1,0.24,0.53,0.23
140,0.71,0.14,0.15,0.22,0.6,0.18
150,0.73,0.19,0.08,0.42,0.52,0.06
160,0.66,0.22,0.12,0.37,0.53,0.1
170,0.68,0.23,0.09,0.14,0.67,0.19
180,0.76,0.15,0.09,0.11,0.71,0.18
190,0.73,0.18,0.09,0.15,0.76,0.09
200,0.76,0.19,0.05,0.12,0.77,0.11
210,0.66,0.25,0.09,0.29,0.63,0.08
220,0.79,0.15,0.06,0.32,0.63,0.05
230,0.65,0.3,0.05,0.53,0.41,0.06
240,0.76,0.19,0.05,0.49,0.49,0.02
250,0.67,0.27,0.06,0.48,0.48,0.04
260,0.72,0.16,0.12,0.52,0.45,0.03
270,0.63,0.17,0.2,0.5,0.4,0.1
280,0.67,0.21,0.12,0.57,0.38,0.05
290,0.68,0.28,0.04,0.53,0.4,0.07
300,0.72,0.18,0.1,0.61,0.34,0.05
310,0.72,0.25,0.03,0.42,0.54,0.04
320,0.66,0.17,0.17,0.54,0.43,0.03
330,0.73,0.19,0.08,0.5,0.47,0.03
340,0.7,0.13,0.17,0.54,0.41,0.05
350,0.63,0.18,0.19,0.45,0.43,0.12
360,0.65,0.2,0.15,0.52,0.42,0.06
370,0.6,0.2,0.2,0.45,0.46,0.09
380,0.71,0.23,0.06,0.54,0.41,0.05
390,0.64,0.24,0.12,0.47,0.43,0.1
400,0.76,0.2,0.04,0.67,0.25,0.08
410,0.61,0.21,0.18,0.43,0.48,0.09
420,0.69,0.16,0.15,0.4,0.48,0.12
430,0.72,0.17,0.11,0.58,0.3,0.12
440,0.79,0.1,0.11,0.5,0.39,0.11
450,0.69,0.21,0.1,0.33,0.48,0.19
460,0.71,0.18,0.11,0.41,0.49,0.1
470,0.7,0.12,0.18,0.45,0.4,0.15
480,0.91,0.07,0.02,0.42,0.36,0.22
490,0.85,0.12,0.03,0.4,0.4,0.2
500,0.85,0.08,0.07,0.57,0.32,0.11
510,0.8,0.15,0.05,0.51,0.41,0.08
520,0.85,0.09,0.06,0.49,0.46,0.05
530,0.87,0.08,0.05,0.58,0.36,0.06
540,0.85,0.07,0.08,0.48,0.46,0.06
550,0.83,0.11,0.06,0.46,0.47,0.07
560,0.81,0.15,0.04,0.47,0.39,0.14
570,0.8,0.13,0.07,0.53,0.35,0.12
580,0.83,0.12,0.05,0.5,0.38,0.12
590,0.78,0.17,0.05,0.47,0.46,0.07
600,0.85,0.12,0.03,0.46,0.51,0.03
610,0.89,0.08,0.03,0.55,0.41,0.04
620,0.95,0.04,0.01,0.51,0.41,0.08
630,0.82,0.11,0.07,0.46,0.47,0.07
640,0.77,0.16,0.07,0.64,0.3,0.06
650,0.76,0.17,0.07,0.48,0.42,0.1
660,0.81,0.13,0.06,0.43,0.49,0.08
670,0.85,0.07,0.08,0.53,0.38,0.09
680,0.88,0.08,0.04,0.47,0.48,0.05
690,0.81,0.17,0.02,0.43,0.43,0.14
700,0.77,0.11,0.12,0.46,0.44,0.1
710,0.82,0.11,0.07,0.52,0.39,0.09
720,0.79,0.15,0.06,0.49,0.39,0.12
730,0.77,0.08,0.15,0.49,0.38,0.13
740,0.79,0.08,0.13,0.44,0.46,0.1
750,0.84,0.11,0.05,0.57,0.38,0.05
760,0.83,0.07,0.1,0.55,0.38,0.07
770,0.88,0.06,0.06,0.54,0.39,0.07
780,0.83,0.14,0.03,0.52,0.34,0.14
790,0.89,0.09,0.02,0.44,0.49,0.07
800,0.87,0.11,0.02,0.41,0.55,0.04
810,0.78,0.13,0.09,0.49,0.42,0.09
820,0.79,0.11,0.1,0.44,0.5,0.06
830,0.76,0.18,0.06,0.51,0.41,0.08
840,0.81,0.12,0.07,0.49,0.41,0.1
850,0.88,0.06,0.06,0.37,0.53,0.1
860,0.87,0.12,0.01,0.52,0.41,0.07
870,0.87,0.12,0.01,0.49,0.4,0.11
880,0.81,0.08,0.11,0.42,0.48,0.1
890,0.88,0.06,0.06,0.43,0.46,0.11
900,0.82,0.1,0.08,0.57,0.37,0.06
910,0.82,0.09,0.09,0.44,0.45,0.11
920,0.9,0.06,0.04,0.39,0.45,0.16
930,0.88,0.08,0.04,0.42,0.47,0.11
940,0.82,0.11,0.07,0.47,0.4,0.13
950,0.87,0.09,0.04,0.49,0.44,0.07
960,0.84,0.11,0.05,0.44,0.39,0.17
970,0.84,0.07,0.09,0.47,0.43,0.1
980,0.84,0.1,0.06,0.43,0.43,0.14
990,0.88,0.09,0.03,0.47,0.38,0.15
1000,0.75,0.18,0.07,0.44,0.4,0.16
