Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.76,0.16,0.08,0.4,0.51,0.09
10,0.47,0.35,0.18,0.36,0.49,0.15
20,0.54,0.31,0.15,0.44,0.51,0.05
30,0.44,0.4,0.16,0.39,0.49,0.12
40,0.49,0.3,0.21,0.27,0.68,0.05
50,0.48,0.35,0.17,0.09,0.71,0.2
60,0.59,0.32,0.09,0.24,0.65,0.11
70,0.66,0.17,0.17,0.27,0.54,0.19
80,0.53,0.27,0.2,0.52,0.39,0.09
90,0.67,0.23,0.1,0.14,0.78,0.08
100,0.58,0.31,0.11,0.25,0.66,0.09
110,0.61,0.26,0.13,0.43,0.54,0.03
120,0.5,0.34,0.16,0.46,0.53,0.01
130,0.52,0.3,0.18,0.42,0.55,0.03
140,0.73,0.25,0.02,0.41,0.55,0.04
150,0.73,0.23,0.04,0.47,0.51,0.02
160,0.63,0.28,0.09,0.39,0.55,0.06
170,0.72,0.24,0.04,0.28,0.68,0.04
180,0.68,0.24,0.08,0.32,0.66,0.02
190,0.68,0.28,0.04,0.41,0.5,0.09
200,0.78,0.17,0.05,0.53,0.38,0.09
210,0.79,0.18,0.03,0.36,0.57,0.07
220,0.69,0.27,0.04,0.43,0.5,0.07
230,0.81,0.14,0.05,0.48,0.45,0.07
240,0.73,0.25,0.02,0.47,0.52,0.01
250,0.71,0.26,0.03,0.49,0.46,0.05
260,0.79,0.12,0.09,0.41,0.54,0.05
270,0.67,0.22,0.11,0.41,0.51,0.08
280,0.76,0.14,0.1,0.46,0.45,0.09
290,0.65,0.25,0.1,0.39,0.53,0.08
300,0.8,0.14,0.06,0.36,0.55,0.09
310,0.7,0.27,0.03,0.41,0.56,0.03
320,0.73,0.24,0.03,0.4,0.57,0.03
330,0.78,0.2,0.02,0.45,0.52,0.03
340,0.74,0.24,0.02,0.44,0.53,0.03
350,0.79,0.18,0.03,0.4,0.59,0.01
360,0.74,0.17,0.09,0.41,0.57,0.02
370,0.73,0.18,0.09,0.47,0.5,0.03
380,0.6,0.3,0.1,0.55,0.42,0.03
390,0.63,0.29,0.08,0.46,0.5,0.04
400,0.69,0.2,0.11,0.51,0.45,0.04
410,0.67,0.2,0.13,0.41,0.56,0.03
420,0.69,0.27,0.04,0.42,0.54,0.04
430,0.66,0.26,0.08,0.43,0.48,0.09
440,0.68,0.24,0.08,0.37,0.59,0.04
450,0.68,0.22,0.1,0.46,0.49,0.05
460,0.6,0.24,0.16,0.41,0.51,0.08
470,0.59,0.34,0.07,0.41,0.53,0.06
480,0.72,0.22,0.06,0.36,0.6,0.04
490,0.78,0.13,0.09,0.4,0.58,0.02
500,0.72,0.2,0.08,0.26,0.67,0.07
510,0.75,0.23,0.02,0.28,0.67,0.05
520,0.74,0.2,0.06,0.31,0.58,0.11
530,0.76,0.21,0.03,0.43,0.41,0.16
540,0.78,0.16,0.06,0.36,0.48,0.16
550,0.8,0.15,0.05,0.52,0.45,0.03
560,0.66,0.24,0.1,0.6,0.32,0.08
570,0.68,0.23,0.09,0.39,0.37,0.24
580,0.91,0.07,0.02,0.25,0.7,0.05
590,0.91,0.08,0.01,0.28,0.64,0.08
600,0.84,0.12,0.04,0.4,0.55,0.05
610,0.87,0.12,0.01,0.5,0.47,0.03
620,0.82,0.13,0.05,0.39,0.57,0.04
630,0.72,0.26,0.02,0.45,0.5,0.05
640,0.85,0.12,0.03,0.41,0.55,0.04
650,0.89,0.07,0.04,0.4,0.57,0.03
660,0.84,0.11,0.05,0.5,0.43,0.07
670,0.82,0.17,0.01,0.51,0.44,0.05
680,0.88,0.09,0.03,0.44,0.48,0.08
690,0.8,0.16,0.04,0.58,0.34,0.08
700,0.9,0.06,0.04,0.42,0.5,0.08
710,0.81,0.12,0.07,0.48,0.46,0.06
720,0.87,0.1,0.03,0.51,0.47,0.02
730,0.85,0.13,0.02,0.51,0.44,0.05
740,0.92,0.06,0.02,0.39,0.52,0.09
750,0.84,0.09,0.07,0.45,0.5,0.05
760,0.85,0.14,0.01,0.44,0.44,0.12
770,0.89,0.08,0.03,0.53,0.43,0.04
780,0.84,0.14,0.02,0.39,0.55,0.06
790,0.89,0.08,0.03,0.52,0.44,0.04
800,0.9,0.09,0.01,0.42,0.57,0.01
810,0.79,0.18,0.03,0.41,0.5,0.09
820,0.87,0.08,0.05,0.48,0.43,0.09
830,0.81,0.17,0.02,0.51,0.41,0.08
840,0.91,0.07,0.02,0.52,0.43,0.05
850,0.86,0.09,0.05,0.47,0.48,0.05
860,0.85,0.1,0.05,0.42,0.56,0.02
870,0.89,0.08,0.03,0.51,0.48,0.01
880,0.82,0.13,0.05,0.52,0.44,0.04
890,0.87,0.11,0.02,0.41,0.54,0.05
900,0.82,0.13,0.05,0.47,0.51,0.02
910,0.86,0.09,0.05,0.4,0.54,0.06
920,0.83,0.12,0.05,0.46,0.45,0.09
930,0.75,0.14,0.11,0.39,0.55,0.06
940,0.88,0.06,0.06,0.46,0.44,0.1
950,0.91,0.05,0.04,0.38,0.51,0.11
960,0.78,0.18,0.04,0.53,0.41,0.06
970,0.85,0.09,0.06,0.55,0.43,0.02
980,0.87,0.09,0.04,0.46,0.47,0.07
990,0.89,0.07,0.04,0.44,0.48,0.08
1000,0.9,0.08,0.02,0.49,0.44,0.07
