Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.77,0.18,0.05,0.27,0.65,0.08
10,0.6,0.25,0.15,0.42,0.53,0.05
20,0.48,0.46,0.06,0.29,0.54,0.17
30,0.84,0.05,0.11,0.41,0.55,0.04
40,0.84,0.11,0.05,0.53,0.39,0.08
50,0.77,0.15,0.08,0.43,0.5,0.07
60,0.88,0.07,0.05,0.46,0.43,0.11
70,0.81,0.1,0.09,0.45,0.42,0.13
80,0.87,0.06,0.07,0.49,0.44,0.07
90,0.77,0.18,0.05,0.41,0.58,0.01
100,0.79,0.14,0.07,0.51,0.4,0.09
110,0.83,0.08,0.09,0.56,0.35,0.09
120,0.83,0.11,0.06,0.45,0.36,0.19
130,0.82,0.11,0.07,0.46,0.47,0.07
140,0.82,0.11,0.07,0.35,0.63,0.02
150,0.79,0.12,0.09,0.44,0.49,0.07
160,0.85,0.1,0.05,0.61,0.3,0.09
170,0.76,0.17,0.07,0.55,0.32,0.13
180,0.65,0.24,0.11,0.56,0.38,0.06
190,0.67,0.21,0.12,0.45,0.37,0.18
200,0.69,0.15,0.16,0.51,0.42,0.07
210,0.65,0.26,0.09,0.47,0.5,0.03
220,0.53,0.37,0.1,0.54,0.39,0.07
230,0.61,0.34,0.05,0.44,0.52,0.04
240,0.48,0.39,0.13,0.41,0.54,0.05
250,0.56,0.4,0.04,0.53,0.42,0.05
260,0.63,0.3,0.07,0.45,0.47,0.08
270,0.49,0.35,0.16,0.49,0.48,0.03
280,0.81,0.09,0.1,0.46,0.41,0.13
290,0.87,0.05,0.08,0.43,0.52,0.05
300,0.75,0.09,0.16,0.45,0.53,0.02
310,0.53,0.32,0.15,0.45,0.42,0.13
320,0.66,0.17,0.17,0.49,0.41,0.1
330,0.64,0.14,0.22,0.48,0.47,0.05
340,0.67,0.16,0.17,0.45,0.44,0.11
350,0.66,0.19,0.15,0.54,0.39,0.07
360,0.73,0.07,0.2,0.55,0.33,0.12
370,0.72,0.11,0.17,0.49,0.41,0.1
380,0.71,0.12,0.17,0.46,0.37,0.17
390,0.86,0.12,0.02,0.53,0.36,0.11
400,0.82,0.13,0.05,0.54,0.32,0.14
410,0.63,0.16,0.21,0.47,0.43,0.1
420,0.67,0.14,0.19,0.57,0.37,0.06
430,0.73,0.1,0.17,0.64,0.3,0.06
440,0.74,0.07,0.19,0.51,0.42,0.07
450,0.81,0.13,0.06,0.51,0.47,0.02
460,0.81,0.04,0.15,0.42,0.54,0.04
470,0.69,0.17,0.14,0.61,0.31,0.08
480,0.72,0.07,0.21,0.48,0.51,0.01
490,0.75,0.14,0.11,0.35,0.6,0.05
500,0.66,0.24,0.1,0.39,0.59,0.02
510,0.82,0.08,0.1,0.37,0.59,0.04
520,0.84,0.08,0.08,0.44,0.37,0.19
530,0.58,0.27,0.15,0.51,0.4,0.09
540,0.6,0.3,0.1,0.53,0.37,0.1
550,0.74,0.1,0.16,0.45,0.47,0.08
560,0.74,0.12,0.14,0.51,0.44,0.05
570,0.7,0.18,0.12,0.51,0.4,0.09
580,0.76,0.1,0.14,0.52,0.39,0.09
590,0.83,0.05,0.12,0.46,0.42,0.12
600,0.78,0.09,0.13,0.45,0.45,0.1
610,0.75,0.12,0.13,0.47,0.41,0.12
620,0.8,0.08,0.12,0.5,0.43,0.07
630,0.85,0.04,0.11,0.45,0.4,0.15
640,0.8,0.07,0.13,0.5,0.4,0.1
650,0.77,0.06,0.17,0.35,0.45,0.2
660,0.73,0.16,0.11,0.46,0.48,0.06
670,0.83,0.09,0.08,0.39,0.51,0.1
680,0.79,0.1,0.11,0.48,0.39,0.13
690,0.77,0.13,0.1,0.42,0.48,0.1
700,0.73,0.14,0.13,0.49,0.42,0.09
710,0.78,0.1,0.12,0.57,0.29,0.14
720,0.79,0.1,0.11,0.6,0.25,0.15
730,0.79,0.11,0.1,0.42,0.4,0.18
740,0.82,0.12,0.06,0.52,0.39,0.09
750,0.8,0.12,0.08,0.4,0.52,0.08
760,0.83,0.06,0.11,0.45,0.45,0.1
770,0.76,0.11,0.13,0.51,0.35,0.14
780,0.77,0.14,0.09,0.5,0.35,0.15
790,0.78,0.12,0.1,0.4,0.43,0.17
800,0.83,0.06,0.11,0.5,0.38,0.12
810,0.78,0.1,0.12,0.47,0.43,0.1
820,0.86,0.05,0.09,0.46,0.48,0.06
830,0.83,0.07,0.1,0.54,0.4,0.06
840,0.87,0.01,0.12,0.44,0.44,0.12
850,0.69,0.19,0.12,0.63,0.29,0.08
860,0.76,0.14,0.1,0.54,0.33,0.13
870,0.78,0.12,0.1,0.55,0.32,0.13
880,0.79,0.1,0.11,0.56,0.36,0.08
890,0.75,0.12,0.13,0.55,0.43,0.02
900,0.7,0.2,0.1,0.35,0.64,0.01
910,0.84,0.06,0.1,0.51,0.42,0.07
920,0.81,0.05,0.14,0.53,0.4,0.07
930,0.84,0.07,0.09,0.48,0.43,0.09
940,0.77,0.07,0.16,0.47,0.49,0.04
950,0.8,0.12,0.08,0.52,0.36,0.12
960,0.81,0.05,0.14,0.48,0.34,0.18
970,0.84,0.05,0.11,0.57,0.37,0.06
980,0.77,0.15,0.08,0.53,0.35,0.12
990,0.81,0.06,0.13,0.48,0.38,0.14
1000,0.76,0.11,0.13,0.45,0.43,0.12
