Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.83,0.13,0.04,0.57,0.41,0.02
10,0.79,0.16,0.05,0.62,0.34,0.04
20,0.86,0.07,0.07,0.52,0.46,0.02
30,0.82,0.12,0.06,0.53,0.44,0.03
40,0.83,0.11,0.06,0.59,0.37,0.04
50,0.85,0.11,0.04,0.57,0.39,0.04
60,0.87,0.07,0.06,0.41,0.57,0.02
70,0.78,0.13,0.09,0.53,0.41,0.06
80,0.84,0.09,0.07,0.58,0.36,0.06
90,0.87,0.1,0.03,0.51,0.36,0.13
100,0.8,0.09,0.11,0.6,0.34,0.06
110,0.86,0.09,0.05,0.65,0.32,0.03
120,0.81,0.11,0.08,0.53,0.42,0.05
130,0.81,0.13,0.06,0.52,0.42,0.06
140,0.84,0.12,0.04,0.54,0.37,0.09
150,0.81,0.14,0.05,0.56,0.38,0.06
160,0.82,0.13,0.05,0.55,0.38,0.07
170,0.92,0.03,0.05,0.49,0.43,0.08
180,0.83,0.11,0.06,0.58,0.37,0.05
190,0.82,0.07,0.11,0.56,0.4,0.04
200,0.82,0.12,0.06,0.59,0.37,0.04
210,0.82,0.11,0.07,0.46,0.46,0.08
220,0.8,0.12,0.08,0.59,0.36,0.05
230,0.8,0.1,0.1,0.6,0.36,0.04
240,0.78,0.09,0.13,0.6,0.34,0.06
250,0.77,0.11,0.12,0.58,0.35,0.07
260,0.83,0.12,0.05,0.55,0.38,0.07
270,0.8,0.15,0.05,0.61,0.29,0.1
280,0.84,0.1,0.06,0.53,0.43,0.04
290,0.89,0.06,0.05,0.43,0.42,0.15
300,0.88,0.08,0.04,0.51,0.35,0.14
310,0.8,0.12,0.08,0.63,0.28,0.09
320,0.89,0.1,0.01,0.56,0.38,0.06
330,0.8,0.12,0.08,0.64,0.33,0.03
340,0.78,0.16,0.06,0.51,0.38,0.11
350,0.84,0.06,0.1,0.66,0.28,0.06
360,0.88,0.07,0.05,0.56,0.38,0.06
370,0.83,0.12,0.05,0.52,0.39,0.09
380,0.84,0.1,0.06,0.59,0.33,0.08
390,0.89,0.08,0.03,0.62,0.35,0.03
400,0.85,0.09,0.06,0.56,0.4,0.04
410,0.88,0.09,0.03,0.54,0.34,0.12
420,0.91,0.07,0.02,0.56,0.36,0.08
430,0.85,0.07,0.08,0.63,0.35,0.02
440,0.87,0.09,0.04,0.44,0.46,0.1
450,0.85,0.1,0.05,0.54,0.4,0.06
460,0.83,0.08,0.09,0.5,0.43,0.07
470,0.84,0.09,0.07,0.56,0.41,0.03
480,0.91,0.03,0.06,0.54,0.42,0.04
490,0.81,0.1,0.09,0.48,0.42,0.1
500,0.83,0.08,0.09,0.53,0.43,0.04
510,0.81,0.05,0.14,0.47,0.47,0.06
520,0.85,0.08,0.07,0.51,0.41,0.08
530,0.82,0.08,0.1,0.46,0.5,0.04
540,0.83,0.1,0.07,0.57,0.37,0.06
550,0.86,0.1,0.04,0.56,0.39,0.05
560,0.85,0.07,0.08,0.56,0.4,0.04
570,0.86,0.08,0.06,0.55,0.35,0.1
580,0.83,0.1,0.07,0.57,0.33,0.1
590,0.82,0.14,0.04,0.59,0.32,0.09
600,0.82,0.11,0.07,0.55,0.41,0.04
610,0.75,0.11,0.14,0.44,0.48,0.08
620,0.88,0.03,0.09,0.62,0.34,0.04
630,0.83,0.1,0.07,0.51,0.36,0.13
640,0.84,0.1,0.06,0.59,0.35,0.06
650,0.87,0.1,0.03,0.6,0.35,0.05
660,0.76,0.18,0.06,0.52,0.43,0.05
670,0.81,0.12,0.07,0.55,0.38,0.07
680,0.84,0.09,0.07,0.58,0.37,0.05
690,0.58,0.19,0.23,0.61,0.3,0.09
700,0.89,0.06,0.05,0.53,0.38,0.09
710,0.88,0.06,0.06,0.35,0.54,0.11
720,0.82,0.11,0.07,0.36,0.54,0.1
730,0.88,0.08,0.04,0.29,0.52,0.19
740,0.9,0.07,0.03,0.39,0.53,0.08
750,0.84,0.09,0.07,0.39,0.55,0.06
760,0.83,0.13,0.04,0.45,0.48,0.07
770,0.78,0.09,0.13,0.45,0.5,0.05
780,0.83,0.11,0.06,0.6,0.33,0.07
790,0.83,0.13,0.04,0.57,0.33,0.1
800,0.88,0.05,0.07,0.54,0.36,0.1
810,0.77,0.14,0.09,0.41,0.42,0.17
820,0.81,0.09,0.1,0.37,0.54,0.09
830,0.84,0.06,0.1,0.48,0.37,0.15
840,0.7,0.22,0.08,0.57,0.34,0.09
850,0.83,0.09,0.08,0.59,0.37,0.04
860,0.8,0.13,0.07,0.52,0.39,0.09
870,0.84,0.06,0.1,0.43,0.48,0.09
880,0.9,0.06,0.04,0.33,0.55,0.12
890,0.92,0.04,0.04,0.45,0.44,0.11
900,0.9,0.08,0.02,0.44,0.46,0.1
910,0.9,0.07,0.03,0.47,0.46,0.07
920,0.8,0.11,0.09,0.5,0.43,0.07
930,0.79,0.14,0.07,0.57,0.37,0.06
940,0.86,0.06,0.08,0.43,0.51,0.06
950,0.79,0.1,0.11,0.37,0.56,0.07
960,0.84,0.09,0.07,0.53,0.44,0.03
970,0.88,0.08,0.04,0.54,0.35,0.11
980,0.83,0.1,0.07,0.58,0.37,0.05
990,0.8,0.14,0.06,0.62,0.35,0.03
1000,0.85,0.08,0.07,0.48,0.43,0.09
