Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.83,0.15,0.02,0.43,0.51,0.06
10,0.81,0.12,0.07,0.59,0.34,0.07
20,0.77,0.12,0.11,0.58,0.37,0.05
30,0.84,0.08,0.08,0.49,0.48,0.03
40,0.8,0.1,0.1,0.47,0.48,0.05
50,0.81,0.12,0.07,0.51,0.4,0.09
60,0.8,0.12,0.08,0.47,0.47,0.06
70,0.76,0.13,0.11,0.42,0.57,0.01
80,0.71,0.14,0.15,0.59,0.37,0.04
90,0.58,0.26,0.16,0.57,0.39,0.04
100,0.36,0.37,0.27,0.53,0.41,0.06
110,0.75,0.16,0.09,0.6,0.32,0.08
120,0.85,0.06,0.09,0.53,0.34,0.13
130,0.82,0.1,0.08,0.55,0.36,0.09
140,0.8,0.12,0.08,0.57,0.34,0.09
150,0.87,0.08,0.05,0.49,0.38,0.13
160,0.67,0.24,0.09,0.45,0.52,0.03
170,0.64,0.17,0.19,0.42,0.55,0.03
180,0.8,0.14,0.06,0.57,0.41,0.02
190,0.78,0.14,0.08,0.6,0.26,0.14
200,0.81,0.09,0.1,0.5,0.43,0.07
210,0.7,0.18,0.12,0.49,0.45,0.06
220,0.8,0.14,0.06,0.57,0.32,0.11
230,0.73,0.15,0.12,0.54,0.37,0.09
240,0.47,0.34,0.19,0.35,0.6,0.05
250,0.75,0.17,0.08,0.39,0.55,0.06
260,0.8,0.16,0.04,0.43,0.48,0.09
270,0.91,0.08,0.01,0.46,0.5,0.04
280,0.86,0.09,0.05,0.31,0.62,0.07
290,0.85,0.09,0.06,0.59,0.34,0.07
300,0.81,0.13,0.06,0.54,0.41,0.05
310,0.85,0.08,0.07,0.45,0.41,0.14
320,0.8,0.12,0.08,0.48,0.42,0.1
330,0.88,0.08,0.04,0.53,0.37,0.1
340,0.92,0.05,0.03,0.31,0.66,0.03
350,0.77,0.14,0.09,0.43,0.47,0.1
360,0.85,0.09,0.06,0.49,0.43,0.08
370,0.83,0.14,0.03,0.4,0.53,0.07
380,0.78,0.12,0.1,0.51,0.43,0.06
390,0.74,0.13,0.13,0.54,0.36,0.1
400,0.72,0.17,0.11,0.64,0.35,0.01
410,0.85,0.07,0.08,0.47,0.43,0.1
420,0.72,0.14,0.14,0.5,0.41,0.09
430,0.82,0.09,0.09,0.49,0.39,0.12
440,0.83,0.1,0.07,0.54,0.4,0.06
450,0.82,0.12,0.06,0.51,0.36,0.13
460,0.86,0.11,0.03,0.57,0.35,0.08
470,0.84,0.13,0.03,0.56,0.35,0.09
480,0.77,0.15,0.08,0.62,0.31,0.07
490,0.83,0.1,0.07,0.54,0.42,0.04
500,0.84,0.08,0.08,0.46,0.48,0.06
510,0.93,0.04,0.03,0.5,0.43,0.07
520,0.82,0.11,0.07,0.32,0.58,0.1
530,0.56,0.27,0.17,0.48,0.48,0.04
540,0.68,0.11,0.21,0.56,0.35,0.09
550,0.86,0.1,0.04,0.55,0.39,0.06
560,0.74,0.11,0.15,0.49,0.35,0.16
570,0.85,0.08,0.07,0.54,0.4,0.06
580,0.84,0.1,0.06,0.5,0.44,0.06
590,0.82,0.09,0.09,0.59,0.34,0.07
600,0.78,0.14,0.08,0.68,0.26,0.06
610,0.84,0.09,0.07,0.6,0.29,0.11
620,0.82,0.13,0.05,0.56,0.39,0.05
630,0.84,0.1,0.06,0.43,0.52,0.05
640,0.85,0.09,0.06,0.43,0.5,0.07
650,0.87,0.09,0.04,0.45,0.5,0.05
660,0.78,0.15,0.07,0.57,0.39,0.04
670,0.83,0.15,0.02,0.41,0.5,0.09
680,0.91,0.06,0.03,0.51,0.43,0.06
690,0.82,0.14,0.04,0.49,0.41,0.1
700,0.79,0.15,0.06,0.6,0.32,0.08
710,0.86,0.1,0.04,0.47,0.48,0.05
720,0.86,0.11,0.03,0.41,0.47,0.12
730,0.88,0.07,0.05,0.6,0.36,0.04
740,0.84,0.13,0.03,0.49,0.45,0.06
750,0.84,0.1,0.06,0.63,0.34,0.03
760,0.84,0.07,0.09,0.62,0.36,0.02
770,0.85,0.09,0.06,0.51,0.45,0.04
780,0.8,0.06,0.14,0.6,0.32,0.08
790,0.75,0.19,0.06,0.55,0.38,0.07
800,0.76,0.18,0.06,0.61,0.34,0.05
810,0.64,0.16,0.2,0.52,0.39,0.09
820,0.82,0.09,0.09,0.62,0.32,0.06
830,0.85,0.08,0.07,0.62,0.36,0.02
840,0.84,0.08,0.08,0.56,0.34,0.1
850,0.7,0.15,0.15,0.5,0.48,0.02
860,0.84,0.09,0.07,0.66,0.33,0.01
870,0.86,0.1,0.04,0.53,0.43,0.04
880,0.89,0.05,0.06,0.51,0.46,0.03
890,0.89,0.07,0.04,0.59,0.36,0.05
900,0.85,0.09,0.06,0.59,0.36,0.05
910,0.82,0.1,0.08,0.62,0.36,0.02
920,0.86,0.1,0.04,0.53,0.39,0.08
930,0.8,0.14,0.06,0.53,0.38,0.09
940,0.83,0.13,0.04,0.35,0.58,0.07
950,0.65,0.18,0.17,0.5,0.42,0.08
960,0.76,0.13,0.11,0.55,0.38,0.07
970,0.82,0.07,0.11,0.54,0.37,0.09
980,0.79,0.11,0.1,0.57,0.39,0.04
990,0.78,0.15,0.07,0.5,0.29,0.21
1000,0.82,0.04,0.14,0.52,0.4,0.08
