Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.75,0.2,0.05,0.4,0.59,0.01
10,0.81,0.14,0.05,0.49,0.49,0.02
20,0.77,0.15,0.08,0.48,0.43,0.09
30,0.89,0.09,0.02,0.62,0.36,0.02
40,0.85,0.09,0.06,0.59,0.37,0.04
50,0.84,0.1,0.06,0.45,0.55,0
60,0.89,0.09,0.02,0.51,0.47,0.02
70,0.87,0.08,0.05,0.54,0.44,0.02
80,0.85,0.11,0.04,0.52,0.45,0.03
90,0.87,0.08,0.05,0.69,0.26,0.05
100,0.84,0.07,0.09,0.62,0.33,0.05
110,0.87,0.09,0.04,0.47,0.43,0.1
120,0.84,0.12,0.04,0.64,0.32,0.04
130,0.78,0.14,0.08,0.51,0.38,0.11
140,0.85,0.11,0.04,0.57,0.39,0.04
150,0.79,0.12,0.09,0.57,0.36,0.07
160,0.81,0.08,0.11,0.54,0.4,0.06
170,0.86,0.07,0.07,0.41,0.55,0.04
180,0.86,0.1,0.04,0.38,0.52,0.1
190,0.88,0.09,0.03,0.38,0.53,0.09
200,0.89,0.06,0.05,0.42,0.46,0.12
210,0.84,0.11,0.05,0.32,0.52,0.16
220,0.86,0.08,0.06,0.57,0.37,0.06
230,0.8,0.13,0.07,0.58,0.41,0.01
240,0.89,0.07,0.04,0.47,0.52,0.01
250,0.86,0.09,0.05,0.45,0.37,0.18
260,0.83,0.1,0.07,0.39,0.48,0.13
270,0.89,0.08,0.03,0.42,0.43,0.15
280,0.74,0.12,0.14,0.4,0.39,0.21
290,0.76,0.09,0.15,0.37,0.5,0.13
300,0.76,0.18,0.06,0.37,0.54,0.09
310,0.46,0.37,0.17,0.36,0.56,0.08
320,0.74,0.16,0.1,0.45,0.49,0.06
330,0.81,0.14,0.05,0.63,0.3,0.07
340,0.79,0.16,0.05,0.48,0.39,0.13
350,0.75,0.18,0.07,0.45,0.48,0.07
360,0.82,0.12,0.06,0.61,0.33,0.06
370,0.9,0.07,0.03,0.59,0.36,0.05
380,0.78,0.11,0.11,0.59,0.36,0.05
390,0.85,0.11,0.04,0.51,0.35,0.14
400,0.91,0.06,0.03,0.53,0.39,0.08
410,0.83,0.11,0.06,0.51,0.41,0.08
420,0.84,0.11,0.05,0.43,0.51,0.06
430,0.8,0.1,0.1,0.38,0.5,0.12
440,0.79,0.09,0.12,0.4,0.47,0.13
450,0.83,0.11,0.06,0.61,0.31,0.08
460,0.87,0.09,0.04,0.52,0.43,0.05
470,0.8,0.09,0.11,0.6,0.36,0.04
480,0.87,0.07,0.06,0.4,0.52,0.08
490,0.79,0.1,0.11,0.57,0.38,0.05
500,0.78,0.14,0.08,0.57,0.4,0.03
510,0.37,0.39,0.24,0.61,0.32,0.07
520,0.75,0.09,0.16,0.55,0.41,0.04
530,0.67,0.16,0.17,0.56,0.39,0.05
540,0.85,0.09,0.06,0.54,0.4,0.06
550,0.76,0.1,0.14,0.52,0.37,0.11
560,0.76,0.18,0.06,0.48,0.46,0.06
570,0.77,0.11,0.12,0.48,0.47,0.05
580,0.83,0.11,0.06,0.55,0.36,0.09
590,0.79,0.12,0.09,0.6,0.36,0.04
600,0.8,0.07,0.13,0.57,0.36,0.07
610,0.72,0.18,0.1,0.54,0.36,0.1
620,0.86,0.1,0.04,0.61,0.34,0.05
630,0.81,0.1,0.09,0.42,0.48,0.1
640,0.78,0.1,0.12,0.47,0.4,0.13
650,0.81,0.09,0.1,0.52,0.43,0.05
660,0.77,0.15,0.08,0.53,0.36,0.11
670,0.85,0.07,0.08,0.47,0.44,0.09
680,0.91,0.03,0.06,0.53,0.38,0.09
690,0.89,0.06,0.05,0.58,0.33,0.09
700,0.87,0.06,0.07,0.56,0.4,0.04
710,0.87,0.05,0.08,0.52,0.4,0.08
720,0.77,0.09,0.14,0.58,0.34,0.08
730,0.84,0.09,0.07,0.55,0.37,0.08
740,0.8,0.09,0.11,0.32,0.61,0.07
750,0.74,0.18,0.08,0.5,0.42,0.08
760,0.71,0.17,0.12,0.5,0.42,0.08
770,0.41,0.43,0.16,0.55,0.34,0.11
780,0.6,0.29,0.11,0.52,0.41,0.07
790,0.87,0.11,0.02,0.55,0.35,0.1
800,0.86,0.1,0.04,0.52,0.4,0.08
810,0.8,0.1,0.1,0.54,0.45,0.01
820,0.87,0.08,0.05,0.64,0.31,0.05
830,0.87,0.09,0.04,0.65,0.28,0.07
840,0.76,0.16,0.08,0.62,0.3,0.08
850,0.88,0.06,0.06,0.56,0.41,0.03
860,0.87,0.11,0.02,0.54,0.42,0.04
870,0.82,0.09,0.09,0.41,0.48,0.11
880,0.79,0.15,0.06,0.52,0.4,0.08
890,0.8,0.12,0.08,0.56,0.38,0.06
900,0.87,0.05,0.08,0.63,0.32,0.05
910,0.81,0.1,0.09,0.67,0.3,0.03
920,0.8,0.13,0.07,0.57,0.3,0.13
930,0.88,0.08,0.04,0.58,0.37,0.05
940,0.83,0.13,0.04,0.6,0.34,0.06
950,0.82,0.11,0.07,0.58,0.31,0.11
960,0.77,0.13,0.1,0.53,0.39,0.08
970,0.81,0.16,0.03,0.57,0.37,0.06
980,0.87,0.08,0.05,0.47,0.46,0.07
990,0.84,0.09,0.07,0.57,0.32,0.11
1000,0.87,0.11,0.02,0.54,0.37,0.09
