Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.79,0.17,0.04,0.43,0.53,0.04
10,0.64,0.29,0.07,0.24,0.66,0.1
20,0.59,0.34,0.07,0.22,0.68,0.1
30,0.76,0.2,0.04,0.22,0.6,0.18
40,0.69,0.27,0.04,0.19,0.69,0.12
50,0.76,0.2,0.04,0.31,0.55,0.14
60,0.73,0.21,0.06,0.22,0.61,0.17
70,0.7,0.27,0.03,0.12,0.75,0.13
80,0.73,0.24,0.03,0.47,0.53,0
90,0.72,0.19,0.09,0.4,0.54,0.06
100,0.69,0.27,0.04,0.24,0.62,0.14
110,0.66,0.33,0.01,0.32,0.63,0.05
120,0.8,0.16,0.04,0.24,0.67,0.09
130,0.71,0.26,0.03,0.55,0.42,0.03
140,0.69,0.3,0.01,0.36,0.6,0.04
150,0.74,0.21,0.05,0.13,0.7,0.17
160,0.64,0.3,0.06,0.3,0.57,0.13
170,0.77,0.21,0.02,0.18,0.69,0.13
180,0.6,0.36,0.04,0.22,0.66,0.12
190,0.63,0.29,0.08,0.46,0.52,0.02
200,0.72,0.25,0.03,0.34,0.63,0.03
210,0.73,0.24,0.03,0.38,0.59,0.03
220,0.72,0.27,0.01,0.41,0.56,0.03
230,0.62,0.32,0.06,0.43,0.53,0.04
240,0.64,0.31,0.05,0.47,0.49,0.04
250,0.71,0.24,0.05,0.38,0.61,0.01
260,0.64,0.3,0.06,0.35,0.63,0.02
270,0.74,0.24,0.02,0.11,0.7,0.19
280,0.7,0.21,0.09,0.21,0.65,0.14
290,0.68,0.29,0.03,0.21,0.58,0.21
300,0.69,0.27,0.04,0.27,0.65,0.08
310,0.66,0.32,0.02,0.17,0.65,0.18
320,0.75,0.21,0.04,0.13,0.67,0.2
330,0.71,0.21,0.08,0.21,0.62,0.17
340,0.78,0.16,0.06,0.18,0.65,0.17
350,0.64,0.29,0.07,0.25,0.53,0.22
360,0.66,0.31,0.03,0.22,0.6,0.18
370,0.72,0.23,0.05,0.33,0.6,0.07
380,0.75,0.19,0.06,0.42,0.56,0.02
390,0.69,0.24,0.07,0.35,0.59,0.06
400,0.76,0.18,0.06,0.36,0.6,0.04
410,0.64,0.33,0.03,0.35,0.62,0.03
420,0.66,0.25,0.09,0.21,0.66,0.13
430,0.66,0.31,0.03,0.29,0.54,0.17
440,0.69,0.22,0.09,0.4,0.56,0.04
450,0.62,0.28,0.1,0.37,0.62,0.01
460,0.64,0.29,0.07,0.39,0.58,0.03
470,0.66,0.28,0.06,0.46,0.54,0
480,0.58,0.35,0.07,0.44,0.55,0.01
490,0.72,0.2,0.08,0.51,0.47,0.02
500,0.69,0.29,0.02,0.36,0.62,0.02
510,0.62,0.37,0.01,0.4,0.58,0.02
520,0.6,0.37,0.03,0.38,0.61,0.01
530,0.68,0.27,0.05,0.4,0.58,0.02
540,0.62,0.3,0.08,0.45,0.54,0.01
550,0.68,0.27,0.05,0.54,0.44,0.02
560,0.72,0.26,0.02,0.39,0.57,0.04
570,0.62,0.35,0.03,0.34,0.57,0.09
580,0.73,0.23,0.04,0.26,0.65,0.09
590,0.65,0.27,0.08,0.29,0.57,0.14
600,0.69,0.26,0.05,0.15,0.67,0.18
610,0.71,0.24,0.05,0.39,0.51,0.1
620,0.76,0.19,0.05,0.41,0.57,0.02
630,0.69,0.27,0.04,0.22,0.57,0.21
640,0.63,0.31,0.06,0.26,0.57,0.17
650,0.66,0.28,0.06,0.24,0.59,0.17
660,0.64,0.3,0.06,0.17,0.65,0.18
670,0.64,0.34,0.02,0.19,0.64,0.17
680,0.75,0.19,0.06,0.22,0.63,0.15
690,0.56,0.38,0.06,0.16,0.65,0.19
700,0.64,0.31,0.05,0.21,0.64,0.15
710,0.71,0.27,0.02,0.19,0.6,0.21
720,0.74,0.22,0.04,0.1,0.73,0.17
730,0.65,0.29,0.06,0.16,0.61,0.23
740,0.65,0.31,0.04,0.39,0.59,0.02
750,0.76,0.23,0.01,0.28,0.6,0.12
760,0.7,0.25,0.05,0.29,0.63,0.08
770,0.61,0.33,0.06,0.2,0.67,0.13
780,0.74,0.2,0.06,0.15,0.71,0.14
790,0.78,0.19,0.03,0.21,0.62,0.17
800,0.66,0.28,0.06,0.2,0.66,0.14
810,0.66,0.27,0.07,0.16,0.67,0.17
820,0.66,0.31,0.03,0.22,0.6,0.18
830,0.65,0.28,0.07,0.29,0.58,0.13
840,0.66,0.3,0.04,0.33,0.58,0.09
850,0.6,0.34,0.06,0.29,0.6,0.11
860,0.68,0.27,0.05,0.19,0.71,0.1
870,0.7,0.25,0.05,0.33,0.6,0.07
880,0.71,0.22,0.07,0.2,0.62,0.18
890,0.65,0.32,0.03,0.13,0.74,0.13
900,0.69,0.27,0.04,0.19,0.64,0.17
910,0.73,0.21,0.06,0.25,0.61,0.14
920,0.72,0.25,0.03,0.14,0.69,0.17
930,0.67,0.32,0.01,0.44,0.55,0.01
940,0.71,0.24,0.05,0.49,0.48,0.03
950,0.61,0.35,0.04,0.27,0.64,0.09
960,0.75,0.19,0.06,0.45,0.52,0.03
970,0.65,0.22,0.13,0.4,0.54,0.06
980,0.76,0.23,0.01,0.5,0.49,0.01
990,0.77,0.21,0.02,0.41,0.54,0.05
1000,0.75,0.22,0.03,0.38,0.6,0.02
