Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.77,0.19,0.04,0.37,0.54,0.09
10,0.69,0.29,0.02,0.28,0.65,0.07
20,0.67,0.3,0.03,0.18,0.67,0.15
30,0.71,0.25,0.04,0.31,0.6,0.09
40,0.68,0.17,0.15,0.25,0.64,0.11
50,0.45,0.48,0.07,0.36,0.52,0.12
60,0.78,0.17,0.05,0.2,0.72,0.08
70,0.74,0.19,0.07,0.22,0.66,0.12
80,0.71,0.24,0.05,0.23,0.68,0.09
90,0.74,0.21,0.05,0.4,0.52,0.08
100,0.82,0.12,0.06,0.39,0.54,0.07
110,0.82,0.12,0.06,0.31,0.61,0.08
120,0.86,0.12,0.02,0.28,0.64,0.08
130,0.8,0.13,0.07,0.28,0.61,0.11
140,0.84,0.07,0.09,0.36,0.59,0.05
150,0.77,0.12,0.11,0.44,0.53,0.03
160,0.81,0.12,0.07,0.32,0.56,0.12
170,0.88,0.11,0.01,0.39,0.58,0.03
180,0.85,0.11,0.04,0.27,0.66,0.07
190,0.81,0.07,0.12,0.44,0.5,0.06
200,0.85,0.11,0.04,0.35,0.6,0.05
210,0.78,0.19,0.03,0.35,0.55,0.1
220,0.75,0.16,0.09,0.42,0.52,0.06
230,0.78,0.1,0.12,0.45,0.48,0.07
240,0.82,0.11,0.07,0.33,0.61,0.06
250,0.71,0.18,0.11,0.35,0.55,0.1
260,0.74,0.11,0.15,0.23,0.57,0.2
270,0.8,0.14,0.06,0.28,0.48,0.24
280,0.88,0.1,0.02,0.23,0.56,0.21
290,0.82,0.14,0.04,0.44,0.42,0.14
300,0.8,0.1,0.1,0.35,0.51,0.14
310,0.8,0.09,0.11,0.4,0.46,0.14
320,0.87,0.09,0.04,0.32,0.62,0.06
330,0.79,0.12,0.09,0.3,0.5,0.2
340,0.78,0.1,0.12,0.33,0.42,0.25
350,0.81,0.08,0.11,0.43,0.42,0.15
360,0.75,0.16,0.09,0.45,0.46,0.09
370,0.78,0.11,0.11,0.46,0.43,0.11
380,0.84,0.13,0.03,0.43,0.43,0.14
390,0.85,0.07,0.08,0.48,0.44,0.08
400,0.76,0.16,0.08,0.34,0.57,0.09
410,0.85,0.12,0.03,0.24,0.68,0.08
420,0.78,0.12,0.1,0.22,0.71,0.07
430,0.8,0.13,0.07,0.18,0.65,0.17
440,0.8,0.15,0.05,0.15,0.74,0.11
450,0.8,0.13,0.07,0.36,0.61,0.03
460,0.78,0.16,0.06,0.38,0.55,0.07
470,0.84,0.14,0.02,0.42,0.52,0.06
480,0.7,0.23,0.07,0.34,0.6,0.06
490,0.79,0.11,0.1,0.46,0.49,0.05
500,0.78,0.15,0.07,0.37,0.58,0.05
510,0.78,0.16,0.06,0.29,0.63,0.08
520,0.86,0.06,0.08,0.34,0.57,0.09
530,0.86,0.09,0.05,0.33,0.61,0.06
540,0.85,0.08,0.07,0.3,0.57,0.13
550,0.85,0.14,0.01,0.37,0.55,0.08
560,0.79,0.15,0.06,0.3,0.62,0.08
570,0.84,0.11,0.05,0.28,0.6,0.12
580,0.91,0.07,0.02,0.23,0.66,0.11
590,0.81,0.12,0.07,0.24,0.63,0.13
600,0.7,0.18,0.12,0.17,0.71,0.12
610,0.84,0.1,0.06,0.27,0.62,0.11
620,0.82,0.12,0.06,0.19,0.64,0.17
630,0.76,0.19,0.05,0.21,0.67,0.12
640,0.82,0.12,0.06,0.2,0.68,0.12
650,0.8,0.11,0.09,0.28,0.51,0.21
660,0.78,0.15,0.07,0.22,0.59,0.19
670,0.86,0.12,0.02,0.34,0.63,0.03
680,0.84,0.14,0.02,0.22,0.66,0.12
690,0.83,0.1,0.07,0.3,0.55,0.15
700,0.79,0.14,0.07,0.34,0.53,0.13
710,0.8,0.16,0.04,0.34,0.55,0.11
720,0.87,0.06,0.07,0.35,0.56,0.09
730,0.82,0.15,0.03,0.36,0.44,0.2
740,0.83,0.14,0.03,0.46,0.42,0.12
750,0.78,0.17,0.05,0.31,0.49,0.2
760,0.86,0.06,0.08,0.31,0.51,0.18
770,0.87,0.11,0.02,0.46,0.38,0.16
780,0.87,0.08,0.05,0.31,0.47,0.22
790,0.84,0.11,0.05,0.38,0.48,0.14
800,0.8,0.14,0.06,0.35,0.46,0.19
810,0.76,0.19,0.05,0.25,0.56,0.19
820,0.83,0.11,0.06,0.29,0.58,0.13
830,0.8,0.12,0.08,0.25,0.59,0.16
840,0.82,0.14,0.04,0.3,0.55,0.15
850,0.81,0.16,0.03,0.26,0.66,0.08
860,0.73,0.19,0.08,0.16,0.75,0.09
870,0.84,0.16,0,0.38,0.48,0.14
880,0.79,0.17,0.04,0.32,0.59,0.09
890,0.82,0.1,0.08,0.28,0.56,0.16
900,0.79,0.14,0.07,0.21,0.66,0.13
910,0.75,0.16,0.09,0.22,0.69,0.09
920,0.8,0.17,0.03,0.28,0.54,0.18
930,0.78,0.2,0.02,0.31,0.57,0.12
940,0.81,0.14,0.05,0.32,0.55,0.13
950,0.81,0.12,0.07,0.28,0.53,0.19
960,0.82,0.12,0.06,0.24,0.64,0.12
970,0.77,0.16,0.07,0.25,0.61,0.14
980,0.83,0.12,0.05,0.33,0.53,0.14
990,0.82,0.15,0.03,0.29,0.55,0.16
1000,0.82,0.14,0.04,0.37,0.51,0.12
