P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0.85,0.12,0.03,0.45,0.5,0.05
0.31,0.54,0.15,0.45,0.42,0.13
0.44,0.51,0.05,0.34,0.61,0.05
0.36,0.48,0.16,0.2,0.68,0.12
0.3,0.59,0.11,0.37,0.46,0.17
0.59,0.32,0.09,0.44,0.38,0.18
0.4,0.46,0.14,0.5,0.45,0.05
0.69,0.27,0.04,0.31,0.51,0.18
0.68,0.22,0.1,0.4,0.48,0.12
0.25,0.53,0.22,0.44,0.54,0.02
0.43,0.43,0.14,0.5,0.44,0.06
0.37,0.49,0.14,0.37,0.51,0.12
0.65,0.16,0.19,0.48,0.39,0.13
0.63,0.26,0.11,0.41,0.43,0.16
0.35,0.54,0.11,0.39,0.51,0.1
0.38,0.48,0.14,0.23,0.65,0.12
0.26,0.38,0.36,0.22,0.72,0.06
0.44,0.42,0.14,0.21,0.73,0.06
0.47,0.28,0.25,0.15,0.82,0.03
0.75,0.16,0.09,0.11,0.82,0.07
0.71,0.22,0.07,0.14,0.81,0.05
0.81,0.07,0.12,0.18,0.74,0.08
0.51,0.35,0.14,0.39,0.55,0.06
0.55,0.29,0.16,0.55,0.4,0.05
0.49,0.41,0.1,0.46,0.52,0.02
0.47,0.41,0.12,0.63,0.31,0.06
0.43,0.45,0.12,0.2,0.74,0.06
0.35,0.49,0.16,0.26,0.7,0.04
0.47,0.41,0.12,0.26,0.7,0.04
0.55,0.27,0.18,0.34,0.47,0.19
0.4,0.44,0.16,0.36,0.51,0.13
0.45,0.43,0.12,0.33,0.5,0.17
0.62,0.33,0.05,0.3,0.59,0.11
0.67,0.3,0.03,0.23,0.56,0.21
0.43,0.46,0.11,0.29,0.62,0.09
0.59,0.33,0.08,0.24,0.63,0.13
0.51,0.32,0.17,0.18,0.8,0.02
0.36,0.5,0.14,0.49,0.46,0.05
0.4,0.39,0.21,0.37,0.56,0.07
0.76,0.14,0.1,0.36,0.49,0.15
0.45,0.5,0.05,0.21,0.73,0.06
0.52,0.34,0.14,0.19,0.76,0.05
0.48,0.39,0.13,0.36,0.55,0.09
0.46,0.35,0.19,0.46,0.41,0.13
0.77,0.18,0.05,0.24,0.64,0.12
0.49,0.42,0.09,0.3,0.64,0.06
0.58,0.3,0.12,0.32,0.64,0.04
0.53,0.25,0.22,0.27,0.58,0.15
0.65,0.25,0.1,0.18,0.63,0.19
0.5,0.37,0.13,0.44,0.5,0.06
0.51,0.35,0.14,0.28,0.69,0.03
0.47,0.35,0.18,0.29,0.61,0.1
0.58,0.25,0.17,0.43,0.44,0.13
0.46,0.35,0.19,0.3,0.63,0.07
0.55,0.32,0.13,0.23,0.7,0.07
0.4,0.5,0.1,0.45,0.47,0.08
0.5,0.34,0.16,0.42,0.55,0.03
0.46,0.42,0.12,0.26,0.73,0.01
0.4,0.47,0.13,0.28,0.47,0.25
0.48,0.34,0.18,0.29,0.51,0.2
0.57,0.32,0.11,0.26,0.68,0.06
0.7,0.19,0.11,0.36,0.49,0.15
0.45,0.45,0.1,0.37,0.48,0.15
0.66,0.3,0.04,0.19,0.72,0.09
0.41,0.47,0.12,0.23,0.68,0.09
0.48,0.35,0.17,0.29,0.64,0.07
0.66,0.2,0.14,0.28,0.65,0.07
0.69,0.21,0.1,0.38,0.55,0.07
0.73,0.19,0.08,0.5,0.35,0.15
0.69,0.2,0.11,0.23,0.67,0.1
0.51,0.36,0.13,0.14,0.5,0.36
0.62,0.36,0.02,0.33,0.41,0.26
0.64,0.33,0.03,0.36,0.6,0.04
0.48,0.42,0.1,0.37,0.59,0.04
0.53,0.31,0.16,0.31,0.65,0.04
0.62,0.33,0.05,0.15,0.79,0.06
0.69,0.12,0.19,0.13,0.7,0.17
0.7,0.17,0.13,0.23,0.72,0.05
0.59,0.26,0.15,0.14,0.7,0.16
0.41,0.47,0.12,0.2,0.65,0.15
0.5,0.37,0.13,0.35,0.54,0.11
0.78,0.07,0.15,0.23,0.59,0.18
0.5,0.3,0.2,0.42,0.51,0.07
0.64,0.27,0.09,0.28,0.66,0.06
0.64,0.29,0.07,0.34,0.64,0.02
0.56,0.28,0.16,0.13,0.69,0.18
0.59,0.26,0.15,0.22,0.6,0.18
0.6,0.32,0.08,0.1,0.87,0.03
0.44,0.42,0.14,0.28,0.63,0.09
0.48,0.33,0.19,0.39,0.57,0.04
0.43,0.37,0.2,0.25,0.71,0.04
0.45,0.24,0.31,0.15,0.68,0.17
0.46,0.33,0.21,0.08,0.85,0.07
0.38,0.37,0.25,0.32,0.61,0.07
0.42,0.43,0.15,0.21,0.7,0.09
0.44,0.39,0.17,0.19,0.77,0.04
0.38,0.53,0.09,0.1,0.84,0.06
0.57,0.38,0.05,0.29,0.63,0.08
0.72,0.22,0.06,0.25,0.63,0.12
0.52,0.39,0.09,0.38,0.48,0.14
