P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0.73,0.23,0.04,0.41,0.53,0.06
0.78,0.16,0.06,0.27,0.47,0.26
0.87,0.05,0.08,0.3,0.56,0.14
0.75,0.17,0.08,0.18,0.74,0.08
0.74,0.21,0.05,0.33,0.57,0.1
0.8,0.14,0.06,0.34,0.58,0.08
0.79,0.15,0.06,0.35,0.6,0.05
0.63,0.28,0.09,0.36,0.54,0.1
0.76,0.19,0.05,0.31,0.57,0.12
0.78,0.19,0.03,0.28,0.61,0.11
0.81,0.18,0.01,0.45,0.4,0.15
0.82,0.14,0.04,0.52,0.33,0.15
0.82,0.12,0.06,0.46,0.24,0.3
0.78,0.18,0.04,0.46,0.27,0.27
0.75,0.16,0.09,0.57,0.31,0.12
0.81,0.13,0.06,0.47,0.37,0.16
0.89,0.08,0.03,0.42,0.35,0.23
0.79,0.15,0.06,0.38,0.37,0.25
0.78,0.14,0.08,0.43,0.44,0.13
0.8,0.15,0.05,0.45,0.38,0.17
0.82,0.12,0.06,0.46,0.3,0.24
0.8,0.19,0.01,0.46,0.34,0.2
0.82,0.16,0.02,0.51,0.37,0.12
0.81,0.16,0.03,0.45,0.42,0.13
0.84,0.1,0.06,0.56,0.35,0.09
0.86,0.08,0.06,0.4,0.43,0.17
0.76,0.18,0.06,0.48,0.43,0.09
0.84,0.15,0.01,0.5,0.4,0.1
0.83,0.14,0.03,0.54,0.39,0.07
0.74,0.21,0.05,0.49,0.44,0.07
0.83,0.11,0.06,0.4,0.43,0.17
0.83,0.12,0.05,0.57,0.33,0.1
0.81,0.09,0.1,0.55,0.31,0.14
0.8,0.09,0.11,0.51,0.38,0.11
0.79,0.14,0.07,0.45,0.35,0.2
0.86,0.07,0.07,0.47,0.43,0.1
0.86,0.08,0.06,0.54,0.38,0.08
0.84,0.1,0.06,0.42,0.5,0.08
0.83,0.06,0.11,0.51,0.39,0.1
0.81,0.1,0.09,0.49,0.47,0.04
0.79,0.13,0.08,0.37,0.5,0.13
0.82,0.06,0.12,0.42,0.45,0.13
0.86,0.12,0.02,0.66,0.23,0.11
0.84,0.09,0.07,0.5,0.41,0.09
0.8,0.13,0.07,0.44,0.47,0.09
0.89,0.06,0.05,0.5,0.4,0.1
0.89,0.05,0.06,0.49,0.38,0.13
0.82,0.13,0.05,0.48,0.38,0.14
0.81,0.11,0.08,0.49,0.39,0.12
0.81,0.12,0.07,0.48,0.37,0.15
0.83,0.09,0.08,0.39,0.46,0.15
0.83,0.12,0.05,0.51,0.42,0.07
0.83,0.11,0.06,0.5,0.42,0.08
0.8,0.09,0.11,0.4,0.39,0.21
0.89,0.06,0.05,0.55,0.35,0.1
0.87,0.09,0.04,0.48,0.44,0.08
0.82,0.11,0.07,0.35,0.48,0.17
0.89,0.06,0.05,0.43,0.42,0.15
0.74,0.16,0.1,0.48,0.44,0.08
0.84,0.08,0.08,0.49,0.39,0.12
0.87,0.08,0.05,0.5,0.38,0.12
0.79,0.05,0.16,0.52,0.38,0.1
0.84,0.08,0.08,0.44,0.48,0.08
0.84,0.06,0.1,0.47,0.41,0.12
0.82,0.09,0.09,0.58,0.37,0.05
0.8,0.15,0.05,0.44,0.46,0.1
0.85,0.05,0.1,0.48,0.36,0.16
0.85,0.09,0.06,0.4,0.49,0.11
0.9,0.05,0.05,0.42,0.46,0.12
0.78,0.09,0.13,0.6,0.33,0.07
0.9,0.05,0.05,0.43,0.48,0.09
0.84,0.08,0.08,0.41,0.48,0.11
0.87,0.02,0.11,0.55,0.35,0.1
0.83,0.1,0.07,0.48,0.38,0.14
0.85,0.08,0.07,0.52,0.38,0.1
0.85,0.05,0.1,0.48,0.45,0.07
0.92,0.05,0.03,0.4,0.47,0.13
0.8,0.14,0.06,0.52,0.4,0.08
0.92,0.05,0.03,0.54,0.33,0.13
0.86,0.05,0.09,0.46,0.38,0.16
0.89,0.07,0.04,0.53,0.42,0.05
0.83,0.11,0.06,0.49,0.43,0.08
0.91,0.07,0.02,0.52,0.38,0.1
0.82,0.14,0.04,0.52,0.35,0.13
0.86,0.12,0.02,0.39,0.48,0.13
0.77,0.16,0.07,0.54,0.34,0.12
0.82,0.16,0.02,0.49,0.37,0.14
0.84,0.13,0.03,0.51,0.41,0.08
0.84,0.15,0.01,0.43,0.44,0.13
0.89,0.1,0.01,0.48,0.45,0.07
0.91,0.07,0.02,0.45,0.39,0.16
0.79,0.2,0.01,0.53,0.37,0.1
0.81,0.16,0.03,0.34,0.54,0.12
0.82,0.16,0.02,0.44,0.43,0.13
0.8,0.16,0.04,0.45,0.44,0.11
0.83,0.14,0.03,0.41,0.4,0.19
0.87,0.09,0.04,0.42,0.45,0.13
0.86,0.07,0.07,0.36,0.37,0.27
0.9,0.06,0.04,0.49,0.42,0.09
0.91,0.07,0.02,0.36,0.5,0.14
