Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.79,0.18,0.03,0.46,0.5,0.04
10,0.55,0.29,0.16,0.23,0.54,0.23
20,0.54,0.3,0.16,0.39,0.57,0.04
30,0.5,0.29,0.21,0.49,0.49,0.02
40,0.54,0.2,0.26,0.59,0.39,0.02
50,0.48,0.27,0.25,0.62,0.36,0.02
60,0.54,0.26,0.2,0.42,0.52,0.06
70,0.51,0.28,0.21,0.24,0.64,0.12
80,0.62,0.23,0.15,0.27,0.66,0.07
90,0.71,0.14,0.15,0.27,0.69,0.04
100,0.52,0.35,0.13,0.47,0.52,0.01
110,0.69,0.2,0.11,0.32,0.6,0.08
120,0.65,0.2,0.15,0.32,0.62,0.06
130,0.53,0.29,0.18,0.33,0.61,0.06
140,0.65,0.23,0.12,0.24,0.7,0.06
150,0.5,0.33,0.17,0.23,0.68,0.09
160,0.69,0.24,0.07,0.23,0.65,0.12
170,0.79,0.14,0.07,0.3,0.63,0.07
180,0.54,0.26,0.2,0.16,0.73,0.11
190,0.63,0.24,0.13,0.25,0.61,0.14
200,0.63,0.24,0.13,0.34,0.56,0.1
210,0.79,0.16,0.05,0.22,0.68,0.1
220,0.71,0.2,0.09,0.28,0.64,0.08
230,0.74,0.17,0.09,0.16,0.69,0.15
240,0.75,0.19,0.06,0.18,0.73,0.09
250,0.77,0.14,0.09,0.3,0.62,0.08
260,0.71,0.18,0.11,0.32,0.66,0.02
270,0.76,0.13,0.11,0.21,0.72,0.07
280,0.63,0.22,0.15,0.27,0.66,0.07
290,0.69,0.2,0.11,0.21,0.67,0.12
300,0.72,0.17,0.11,0.23,0.62,0.15
310,0.69,0.21,0.1,0.23,0.72,0.05
320,0.75,0.16,0.09,0.18,0.79,0.03
330,0.77,0.16,0.07,0.24,0.67,0.09
340,0.72,0.17,0.11,0.23,0.69,0.08
350,0.66,0.2,0.14,0.25,0.66,0.09
360,0.73,0.15,0.12,0.21,0.74,0.05
370,0.71,0.21,0.08,0.24,0.67,0.09
380,0.82,0.14,0.04,0.37,0.59,0.04
390,0.73,0.18,0.09,0.34,0.6,0.06
400,0.75,0.18,0.07,0.35,0.6,0.05
410,0.72,0.17,0.11,0.31,0.64,0.05
420,0.8,0.12,0.08,0.37,0.51,0.12
430,0.73,0.18,0.09,0.32,0.57,0.11
440,0.73,0.14,0.13,0.35,0.58,0.07
450,0.77,0.13,0.1,0.37,0.51,0.12
460,0.76,0.13,0.11,0.34,0.53,0.13
470,0.7,0.16,0.14,0.33,0.62,0.05
480,0.61,0.25,0.14,0.34,0.59,0.07
490,0.63,0.24,0.13,0.44,0.49,0.07
500,0.8,0.16,0.04,0.31,0.48,0.21
510,0.69,0.22,0.09,0.3,0.62,0.08
520,0.76,0.13,0.11,0.22,0.69,0.09
530,0.71,0.19,0.1,0.34,0.65,0.01
540,0.81,0.11,0.08,0.45,0.53,0.02
550,0.83,0.13,0.04,0.38,0.54,0.08
560,0.79,0.12,0.09,0.4,0.56,0.04
570,0.74,0.19,0.07,0.31,0.64,0.05
580,0.71,0.17,0.12,0.34,0.58,0.08
590,0.76,0.14,0.1,0.31,0.59,0.1
600,0.79,0.12,0.09,0.36,0.57,0.07
610,0.72,0.21,0.07,0.35,0.61,0.04
620,0.67,0.14,0.19,0.32,0.63,0.05
630,0.71,0.21,0.08,0.36,0.55,0.09
640,0.68,0.21,0.11,0.41,0.53,0.06
650,0.77,0.15,0.08,0.29,0.63,0.08
660,0.74,0.16,0.1,0.33,0.61,0.06
670,0.73,0.18,0.09,0.33,0.66,0.01
680,0.66,0.25,0.09,0.35,0.63,0.02
690,0.7,0.24,0.06,0.29,0.68,0.03
700,0.84,0.09,0.07,0.37,0.57,0.06
710,0.75,0.14,0.11,0.36,0.59,0.05
720,0.74,0.17,0.09,0.37,0.61,0.02
730,0.82,0.09,0.09,0.35,0.58,0.07
740,0.78,0.17,0.05,0.37,0.55,0.08
750,0.81,0.1,0.09,0.3,0.61,0.09
760,0.71,0.21,0.08,0.37,0.54,0.09
770,0.68,0.22,0.1,0.37,0.55,0.08
780,0.79,0.12,0.09,0.42,0.53,0.05
790,0.67,0.24,0.09,0.32,0.58,0.1
800,0.64,0.18,0.18,0.37,0.55,0.08
810,0.71,0.24,0.05,0.4,0.51,0.09
820,0.71,0.19,0.1,0.33,0.56,0.11
830,0.76,0.17,0.07,0.42,0.49,0.09
840,0.6,0.27,0.13,0.4,0.49,0.11
850,0.79,0.18,0.03,0.41,0.45,0.14
860,0.78,0.15,0.07,0.35,0.5,0.15
870,0.81,0.1,0.09,0.39,0.5,0.11
880,0.76,0.13,0.11,0.47,0.34,0.19
890,0.78,0.16,0.06,0.35,0.55,0.1
900,0.83,0.1,0.07,0.4,0.44,0.16
910,0.73,0.12,0.15,0.37,0.5,0.13
920,0.84,0.07,0.09,0.3,0.47,0.23
930,0.67,0.16,0.17,0.42,0.37,0.21
940,0.81,0.14,0.05,0.4,0.44,0.16
950,0.75,0.11,0.14,0.36,0.5,0.14
960,0.83,0.1,0.07,0.32,0.42,0.26
970,0.71,0.18,0.11,0.33,0.42,0.25
980,0.83,0.09,0.08,0.34,0.46,0.2
990,0.83,0.11,0.06,0.43,0.34,0.23
1000,0.81,0.14,0.05,0.41,0.46,0.13
