Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.74,0.23,0.03,0.46,0.5,0.04
10,0.4,0.44,0.16,0.38,0.56,0.06
20,0.47,0.35,0.18,0.32,0.6,0.08
30,0.47,0.42,0.11,0.23,0.49,0.28
40,0.54,0.3,0.16,0.34,0.53,0.13
50,0.49,0.36,0.15,0.31,0.62,0.07
60,0.55,0.29,0.16,0.38,0.5,0.12
70,0.71,0.25,0.04,0.37,0.47,0.16
80,0.63,0.23,0.14,0.32,0.49,0.19
90,0.63,0.28,0.09,0.37,0.51,0.12
100,0.67,0.24,0.09,0.39,0.51,0.1
110,0.63,0.28,0.09,0.39,0.51,0.1
120,0.65,0.27,0.08,0.49,0.37,0.14
130,0.5,0.39,0.11,0.41,0.44,0.15
140,0.65,0.29,0.06,0.45,0.49,0.06
150,0.63,0.3,0.07,0.42,0.47,0.11
160,0.62,0.23,0.15,0.46,0.4,0.14
170,0.68,0.2,0.12,0.43,0.37,0.2
180,0.72,0.18,0.1,0.38,0.46,0.16
190,0.63,0.21,0.16,0.43,0.42,0.15
200,0.77,0.11,0.12,0.41,0.35,0.24
210,0.77,0.15,0.08,0.49,0.35,0.16
220,0.69,0.27,0.04,0.44,0.38,0.18
230,0.77,0.17,0.06,0.4,0.37,0.23
240,0.67,0.25,0.08,0.46,0.36,0.18
250,0.68,0.23,0.09,0.58,0.32,0.1
260,0.71,0.16,0.13,0.44,0.4,0.16
270,0.72,0.18,0.1,0.39,0.42,0.19
280,0.79,0.15,0.06,0.38,0.47,0.15
290,0.69,0.21,0.1,0.4,0.4,0.2
300,0.72,0.22,0.06,0.38,0.49,0.13
310,0.74,0.21,0.05,0.48,0.38,0.14
320,0.8,0.13,0.07,0.4,0.39,0.21
330,0.74,0.15,0.11,0.39,0.43,0.18
340,0.81,0.08,0.11,0.48,0.36,0.16
350,0.85,0.11,0.04,0.39,0.45,0.16
360,0.78,0.09,0.13,0.45,0.37,0.18
370,0.85,0.08,0.07,0.41,0.45,0.14
380,0.85,0.1,0.05,0.28,0.52,0.2
390,0.84,0.11,0.05,0.39,0.47,0.14
400,0.77,0.11,0.12,0.37,0.39,0.24
410,0.8,0.14,0.06,0.3,0.51,0.19
420,0.75,0.17,0.08,0.32,0.41,0.27
430,0.83,0.15,0.02,0.41,0.37,0.22
440,0.81,0.17,0.02,0.26,0.54,0.2
450,0.82,0.13,0.05,0.36,0.45,0.19
460,0.72,0.15,0.13,0.36,0.43,0.21
470,0.78,0.14,0.08,0.33,0.5,0.17
480,0.81,0.13,0.06,0.28,0.48,0.24
490,0.81,0.15,0.04,0.37,0.4,0.23
500,0.83,0.13,0.04,0.27,0.48,0.25
510,0.79,0.16,0.05,0.3,0.45,0.25
520,0.79,0.14,0.07,0.37,0.43,0.2
530,0.83,0.1,0.07,0.23,0.48,0.29
540,0.87,0.1,0.03,0.27,0.47,0.26
550,0.81,0.12,0.07,0.34,0.46,0.2
560,0.81,0.08,0.11,0.34,0.46,0.2
570,0.83,0.07,0.1,0.28,0.37,0.35
580,0.76,0.19,0.05,0.34,0.43,0.23
590,0.7,0.17,0.13,0.43,0.35,0.22
600,0.71,0.18,0.11,0.36,0.43,0.21
610,0.73,0.19,0.08,0.36,0.45,0.19
620,0.74,0.21,0.05,0.36,0.39,0.25
630,0.7,0.25,0.05,0.33,0.5,0.17
640,0.76,0.16,0.08,0.41,0.45,0.14
650,0.78,0.21,0.01,0.35,0.47,0.18
660,0.88,0.11,0.01,0.29,0.54,0.17
670,0.77,0.13,0.1,0.35,0.51,0.14
680,0.81,0.1,0.09,0.31,0.49,0.2
690,0.75,0.2,0.05,0.28,0.56,0.16
700,0.87,0.08,0.05,0.36,0.5,0.14
710,0.74,0.21,0.05,0.37,0.45,0.18
720,0.79,0.16,0.05,0.29,0.57,0.14
730,0.85,0.12,0.03,0.4,0.53,0.07
740,0.86,0.1,0.04,0.47,0.35,0.18
750,0.85,0.11,0.04,0.45,0.39,0.16
760,0.86,0.12,0.02,0.42,0.42,0.16
770,0.87,0.09,0.04,0.43,0.42,0.15
780,0.91,0.08,0.01,0.51,0.38,0.11
790,0.81,0.14,0.05,0.57,0.2,0.23
800,0.82,0.14,0.04,0.46,0.39,0.15
810,0.86,0.13,0.01,0.46,0.43,0.11
820,0.8,0.16,0.04,0.44,0.45,0.11
830,0.76,0.16,0.08,0.37,0.48,0.15
840,0.92,0.07,0.01,0.44,0.38,0.18
850,0.82,0.12,0.06,0.4,0.46,0.14
860,0.83,0.1,0.07,0.45,0.39,0.16
870,0.88,0.07,0.05,0.36,0.51,0.13
880,0.84,0.09,0.07,0.52,0.35,0.13
890,0.77,0.18,0.05,0.46,0.38,0.16
900,0.81,0.16,0.03,0.42,0.39,0.19
910,0.85,0.12,0.03,0.42,0.43,0.15
920,0.84,0.15,0.01,0.58,0.32,0.1
930,0.81,0.13,0.06,0.42,0.46,0.12
940,0.86,0.09,0.05,0.47,0.36,0.17
950,0.92,0.03,0.05,0.46,0.45,0.09
960,0.8,0.14,0.06,0.41,0.47,0.12
970,0.75,0.17,0.08,0.49,0.32,0.19
980,0.89,0.06,0.05,0.46,0.41,0.13
990,0.85,0.11,0.04,0.47,0.45,0.08
1000,0.87,0.1,0.03,0.44,0.37,0.19
