Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.85,0.14,0.01,0.45,0.51,0.04
10,0.6,0.31,0.09,0.41,0.47,0.12
20,0.61,0.35,0.04,0.32,0.54,0.14
30,0.61,0.28,0.11,0.36,0.54,0.1
40,0.63,0.32,0.05,0.41,0.49,0.1
50,0.8,0.11,0.09,0.38,0.6,0.02
60,0.79,0.18,0.03,0.42,0.49,0.09
70,0.77,0.13,0.1,0.39,0.5,0.11
80,0.79,0.19,0.02,0.4,0.38,0.22
90,0.64,0.3,0.06,0.43,0.43,0.14
100,0.7,0.28,0.02,0.44,0.45,0.11
110,0.78,0.2,0.02,0.58,0.29,0.13
120,0.75,0.18,0.07,0.54,0.32,0.14
130,0.73,0.21,0.06,0.41,0.42,0.17
140,0.73,0.21,0.06,0.36,0.49,0.15
150,0.74,0.25,0.01,0.4,0.46,0.14
160,0.79,0.16,0.05,0.48,0.44,0.08
170,0.8,0.16,0.04,0.44,0.41,0.15
180,0.77,0.22,0.01,0.44,0.46,0.1
190,0.6,0.27,0.13,0.45,0.41,0.14
200,0.78,0.19,0.03,0.45,0.43,0.12
210,0.66,0.21,0.13,0.57,0.32,0.11
220,0.78,0.18,0.04,0.42,0.51,0.07
230,0.8,0.13,0.07,0.37,0.46,0.17
240,0.78,0.16,0.06,0.39,0.46,0.15
250,0.78,0.16,0.06,0.44,0.47,0.09
260,0.8,0.17,0.03,0.41,0.39,0.2
270,0.78,0.19,0.03,0.36,0.46,0.18
280,0.82,0.12,0.06,0.5,0.39,0.11
290,0.82,0.13,0.05,0.44,0.44,0.12
300,0.77,0.19,0.04,0.36,0.53,0.11
310,0.81,0.15,0.04,0.32,0.64,0.04
320,0.69,0.23,0.08,0.38,0.57,0.05
330,0.71,0.18,0.11,0.49,0.4,0.11
340,0.7,0.22,0.08,0.35,0.53,0.12
350,0.76,0.16,0.08,0.4,0.42,0.18
360,0.77,0.17,0.06,0.48,0.43,0.09
370,0.67,0.29,0.04,0.47,0.45,0.08
380,0.7,0.23,0.07,0.56,0.29,0.15
390,0.85,0.13,0.02,0.47,0.43,0.1
400,0.75,0.21,0.04,0.47,0.4,0.13
410,0.77,0.19,0.04,0.45,0.44,0.11
420,0.76,0.16,0.08,0.41,0.4,0.19
430,0.82,0.16,0.02,0.41,0.47,0.12
440,0.8,0.15,0.05,0.47,0.39,0.14
450,0.71,0.21,0.08,0.47,0.38,0.15
460,0.77,0.2,0.03,0.45,0.45,0.1
470,0.81,0.13,0.06,0.39,0.48,0.13
480,0.7,0.24,0.06,0.5,0.39,0.11
490,0.56,0.3,0.14,0.43,0.48,0.09
500,0.57,0.28,0.15,0.48,0.42,0.1
510,0.57,0.28,0.15,0.45,0.45,0.1
520,0.66,0.21,0.13,0.53,0.36,0.11
530,0.66,0.25,0.09,0.38,0.49,0.13
540,0.54,0.3,0.16,0.42,0.5,0.08
550,0.56,0.25,0.19,0.47,0.39,0.14
560,0.56,0.28,0.16,0.44,0.44,0.12
570,0.56,0.23,0.21,0.46,0.45,0.09
580,0.83,0.15,0.02,0.38,0.51,0.11
590,0.77,0.2,0.03,0.44,0.38,0.18
600,0.73,0.18,0.09,0.4,0.49,0.11
610,0.85,0.12,0.03,0.44,0.45,0.11
620,0.79,0.15,0.06,0.5,0.38,0.12
630,0.77,0.2,0.03,0.43,0.46,0.11
640,0.76,0.18,0.06,0.4,0.49,0.11
650,0.86,0.09,0.05,0.49,0.44,0.07
660,0.81,0.14,0.05,0.44,0.45,0.11
670,0.71,0.24,0.05,0.48,0.44,0.08
680,0.74,0.19,0.07,0.48,0.4,0.12
690,0.73,0.22,0.05,0.39,0.43,0.18
700,0.87,0.1,0.03,0.37,0.51,0.12
710,0.59,0.2,0.21,0.41,0.48,0.11
720,0.63,0.21,0.16,0.42,0.45,0.13
730,0.56,0.27,0.17,0.37,0.51,0.12
740,0.65,0.21,0.14,0.46,0.44,0.1
750,0.49,0.34,0.17,0.38,0.48,0.14
760,0.61,0.23,0.16,0.38,0.48,0.14
770,0.62,0.28,0.1,0.42,0.49,0.09
780,0.68,0.22,0.1,0.41,0.43,0.16
790,0.6,0.24,0.16,0.35,0.43,0.22
800,0.76,0.22,0.02,0.41,0.49,0.1
810,0.85,0.11,0.04,0.45,0.45,0.1
820,0.81,0.15,0.04,0.41,0.44,0.15
830,0.81,0.15,0.04,0.46,0.38,0.16
840,0.74,0.19,0.07,0.41,0.37,0.22
850,0.79,0.17,0.04,0.49,0.35,0.16
860,0.76,0.19,0.05,0.37,0.55,0.08
870,0.64,0.31,0.05,0.47,0.35,0.18
880,0.62,0.2,0.18,0.47,0.39,0.14
890,0.65,0.19,0.16,0.42,0.41,0.17
900,0.74,0.2,0.06,0.41,0.42,0.17
910,0.71,0.18,0.11,0.41,0.44,0.15
920,0.59,0.18,0.23,0.35,0.51,0.14
930,0.62,0.26,0.12,0.37,0.48,0.15
940,0.64,0.22,0.14,0.45,0.4,0.15
950,0.69,0.16,0.15,0.44,0.44,0.12
960,0.72,0.18,0.1,0.44,0.44,0.12
970,0.83,0.15,0.02,0.46,0.44,0.1
980,0.78,0.2,0.02,0.45,0.37,0.18
990,0.79,0.18,0.03,0.34,0.51,0.15
1000,0.83,0.14,0.03,0.45,0.43,0.12
