Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.79,0.15,0.06,0.51,0.46,0.03
10,0.58,0.31,0.11,0.52,0.41,0.07
20,0.66,0.25,0.09,0.31,0.53,0.16
30,0.8,0.15,0.05,0.37,0.51,0.12
40,0.75,0.15,0.1,0.51,0.4,0.09
50,0.77,0.22,0.01,0.43,0.42,0.15
60,0.61,0.31,0.08,0.42,0.56,0.02
70,0.64,0.26,0.1,0.53,0.41,0.06
80,0.71,0.18,0.11,0.3,0.63,0.07
90,0.66,0.27,0.07,0.53,0.42,0.05
100,0.81,0.12,0.07,0.48,0.41,0.11
110,0.9,0.06,0.04,0.35,0.59,0.06
120,0.87,0.07,0.06,0.49,0.41,0.1
130,0.73,0.23,0.04,0.55,0.36,0.09
140,0.64,0.26,0.1,0.44,0.45,0.11
150,0.84,0.14,0.02,0.52,0.42,0.06
160,0.85,0.13,0.02,0.53,0.42,0.05
170,0.88,0.1,0.02,0.58,0.34,0.08
180,0.9,0.04,0.06,0.42,0.55,0.03
190,0.93,0.05,0.02,0.45,0.41,0.14
200,0.78,0.14,0.08,0.44,0.53,0.03
210,0.87,0.07,0.06,0.45,0.44,0.11
220,0.9,0.08,0.02,0.55,0.35,0.1
230,0.82,0.13,0.05,0.54,0.32,0.14
240,0.84,0.12,0.04,0.58,0.31,0.11
250,0.85,0.08,0.07,0.54,0.4,0.06
260,0.93,0.04,0.03,0.5,0.41,0.09
270,0.93,0.05,0.02,0.54,0.38,0.08
280,0.82,0.12,0.06,0.59,0.27,0.14
290,0.88,0.09,0.03,0.46,0.36,0.18
300,0.86,0.1,0.04,0.52,0.34,0.14
310,0.75,0.13,0.12,0.51,0.39,0.1
320,0.8,0.13,0.07,0.49,0.35,0.16
330,0.78,0.15,0.07,0.4,0.41,0.19
340,0.81,0.15,0.04,0.64,0.25,0.11
350,0.78,0.11,0.11,0.51,0.38,0.11
360,0.75,0.19,0.06,0.4,0.45,0.15
370,0.8,0.15,0.05,0.44,0.29,0.27
380,0.79,0.18,0.03,0.51,0.38,0.11
390,0.83,0.08,0.09,0.55,0.33,0.12
400,0.69,0.18,0.13,0.46,0.4,0.14
410,0.83,0.08,0.09,0.37,0.39,0.24
420,0.86,0.1,0.04,0.49,0.38,0.13
430,0.83,0.12,0.05,0.51,0.38,0.11
440,0.84,0.08,0.08,0.34,0.46,0.2
450,0.82,0.09,0.09,0.49,0.42,0.09
460,0.81,0.12,0.07,0.38,0.44,0.18
470,0.82,0.14,0.04,0.42,0.38,0.2
480,0.82,0.09,0.09,0.44,0.35,0.21
490,0.87,0.05,0.08,0.52,0.3,0.18
500,0.84,0.12,0.04,0.51,0.32,0.17
510,0.83,0.09,0.08,0.5,0.3,0.2
520,0.88,0.06,0.06,0.44,0.4,0.16
530,0.9,0.05,0.05,0.41,0.43,0.16
540,0.92,0.06,0.02,0.4,0.41,0.19
550,0.9,0.07,0.03,0.42,0.47,0.11
560,0.85,0.1,0.05,0.49,0.44,0.07
570,0.94,0.05,0.01,0.51,0.36,0.13
580,0.94,0.02,0.04,0.57,0.31,0.12
590,0.88,0.09,0.03,0.53,0.33,0.14
600,0.87,0.05,0.08,0.51,0.33,0.16
610,0.84,0.09,0.07,0.5,0.38,0.12
620,0.92,0.03,0.05,0.45,0.42,0.13
630,0.84,0.13,0.03,0.45,0.44,0.11
640,0.85,0.08,0.07,0.58,0.28,0.14
650,0.89,0.09,0.02,0.44,0.5,0.06
660,0.84,0.1,0.06,0.5,0.37,0.13
670,0.93,0.06,0.01,0.48,0.32,0.2
680,0.89,0.06,0.05,0.57,0.29,0.14
690,0.93,0.04,0.03,0.64,0.23,0.13
700,0.87,0.06,0.07,0.57,0.26,0.17
710,0.91,0.08,0.01,0.6,0.28,0.12
720,0.89,0.04,0.07,0.57,0.35,0.08
730,0.91,0.04,0.05,0.57,0.34,0.09
740,0.89,0.07,0.04,0.58,0.3,0.12
750,0.85,0.12,0.03,0.6,0.33,0.07
760,0.83,0.12,0.05,0.57,0.36,0.07
770,0.92,0.06,0.02,0.58,0.28,0.14
780,0.9,0.07,0.03,0.55,0.38,0.07
790,0.91,0.06,0.03,0.52,0.35,0.13
800,0.89,0.07,0.04,0.58,0.3,0.12
810,0.9,0.06,0.04,0.59,0.36,0.05
820,0.91,0.05,0.04,0.58,0.34,0.08
830,0.86,0.05,0.09,0.59,0.34,0.07
840,0.83,0.16,0.01,0.63,0.33,0.04
850,0.87,0.07,0.06,0.57,0.37,0.06
860,0.89,0.07,0.04,0.47,0.44,0.09
870,0.93,0.05,0.02,0.5,0.43,0.07
880,0.92,0.06,0.02,0.59,0.34,0.07
890,0.83,0.07,0.1,0.41,0.51,0.08
900,0.77,0.1,0.13,0.43,0.53,0.04
910,0.93,0.06,0.01,0.48,0.45,0.07
920,0.85,0.07,0.08,0.56,0.33,0.11
930,0.85,0.08,0.07,0.49,0.36,0.15
940,0.73,0.15,0.12,0.63,0.28,0.09
950,0.84,0.1,0.06,0.53,0.38,0.09
960,0.85,0.07,0.08,0.53,0.35,0.12
970,0.9,0.05,0.05,0.62,0.3,0.08
980,0.84,0.1,0.06,0.58,0.32,0.1
990,0.89,0.06,0.05,0.58,0.33,0.09
1000,0.88,0.08,0.04,0.61,0.25,0.14
