Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.76,0.18,0.06,0.42,0.53,0.05
10,0.82,0.07,0.11,0.37,0.52,0.11
20,0.64,0.24,0.12,0.42,0.38,0.2
30,0.69,0.26,0.05,0.42,0.48,0.1
40,0.7,0.14,0.16,0.34,0.59,0.07
50,0.79,0.13,0.08,0.44,0.52,0.04
60,0.76,0.17,0.07,0.41,0.43,0.16
70,0.83,0.11,0.06,0.46,0.42,0.12
80,0.76,0.19,0.05,0.44,0.48,0.08
90,0.75,0.1,0.15,0.35,0.57,0.08
100,0.86,0.09,0.05,0.43,0.47,0.1
110,0.8,0.11,0.09,0.42,0.55,0.03
120,0.74,0.18,0.08,0.46,0.46,0.08
130,0.82,0.15,0.03,0.59,0.39,0.02
140,0.82,0.1,0.08,0.54,0.39,0.07
150,0.87,0.11,0.02,0.43,0.45,0.12
160,0.8,0.13,0.07,0.5,0.43,0.07
170,0.83,0.11,0.06,0.48,0.45,0.07
180,0.84,0.08,0.08,0.52,0.41,0.07
190,0.83,0.07,0.1,0.41,0.55,0.04
200,0.85,0.1,0.05,0.5,0.43,0.07
210,0.81,0.13,0.06,0.62,0.35,0.03
220,0.88,0.07,0.05,0.5,0.43,0.07
230,0.81,0.08,0.11,0.47,0.45,0.08
240,0.85,0.09,0.06,0.48,0.46,0.06
250,0.8,0.11,0.09,0.47,0.44,0.09
260,0.83,0.11,0.06,0.41,0.55,0.04
270,0.72,0.25,0.03,0.45,0.49,0.06
280,0.75,0.15,0.1,0.5,0.42,0.08
290,0.67,0.26,0.07,0.5,0.41,0.09
300,0.73,0.18,0.09,0.51,0.41,0.08
310,0.79,0.08,0.13,0.49,0.48,0.03
320,0.88,0.06,0.06,0.53,0.42,0.05
330,0.8,0.1,0.1,0.55,0.4,0.05
340,0.83,0.07,0.1,0.5,0.46,0.04
350,0.88,0.08,0.04,0.52,0.44,0.04
360,0.85,0.06,0.09,0.47,0.5,0.03
370,0.76,0.17,0.07,0.5,0.41,0.09
380,0.89,0.03,0.08,0.51,0.42,0.07
390,0.71,0.1,0.19,0.5,0.44,0.06
400,0.87,0.08,0.05,0.42,0.54,0.04
410,0.75,0.14,0.11,0.4,0.5,0.1
420,0.76,0.16,0.08,0.45,0.5,0.05
430,0.74,0.12,0.14,0.51,0.44,0.05
440,0.81,0.13,0.06,0.51,0.47,0.02
450,0.67,0.21,0.12,0.46,0.4,0.14
460,0.72,0.18,0.1,0.29,0.66,0.05
470,0.85,0.09,0.06,0.38,0.5,0.12
480,0.84,0.11,0.05,0.44,0.51,0.05
490,0.83,0.07,0.1,0.4,0.48,0.12
500,0.81,0.03,0.16,0.52,0.4,0.08
510,0.71,0.13,0.16,0.48,0.42,0.1
520,0.79,0.12,0.09,0.44,0.44,0.12
530,0.89,0.05,0.06,0.46,0.46,0.08
540,0.81,0.11,0.08,0.42,0.53,0.05
550,0.9,0.05,0.05,0.57,0.32,0.11
560,0.84,0.1,0.06,0.47,0.45,0.08
570,0.76,0.09,0.15,0.51,0.41,0.08
580,0.86,0.02,0.12,0.5,0.34,0.16
590,0.82,0.08,0.1,0.49,0.43,0.08
600,0.85,0.07,0.08,0.47,0.41,0.12
610,0.84,0.08,0.08,0.48,0.4,0.12
620,0.91,0.05,0.04,0.56,0.33,0.11
630,0.84,0.09,0.07,0.5,0.34,0.16
640,0.85,0.05,0.1,0.41,0.52,0.07
650,0.84,0.1,0.06,0.52,0.43,0.05
660,0.93,0.04,0.03,0.48,0.45,0.07
670,0.94,0.01,0.05,0.47,0.46,0.07
680,0.97,0.03,0,0.45,0.46,0.09
690,0.91,0.03,0.06,0.41,0.5,0.09
700,0.88,0.07,0.05,0.5,0.46,0.04
710,0.93,0.04,0.03,0.53,0.41,0.06
720,0.91,0.02,0.07,0.56,0.39,0.05
730,0.87,0.05,0.08,0.57,0.4,0.03
740,0.82,0.12,0.06,0.49,0.47,0.04
750,0.83,0.11,0.06,0.58,0.38,0.04
760,0.81,0.07,0.12,0.55,0.38,0.07
770,0.81,0.08,0.11,0.64,0.3,0.06
780,0.84,0.1,0.06,0.56,0.42,0.02
790,0.78,0.12,0.1,0.52,0.41,0.07
800,0.78,0.11,0.11,0.47,0.43,0.1
810,0.77,0.09,0.14,0.5,0.45,0.05
820,0.8,0.11,0.09,0.46,0.46,0.08
830,0.83,0.08,0.09,0.54,0.37,0.09
840,0.85,0.11,0.04,0.59,0.34,0.07
850,0.8,0.12,0.08,0.55,0.35,0.1
860,0.88,0.09,0.03,0.65,0.31,0.04
870,0.76,0.11,0.13,0.61,0.34,0.05
880,0.81,0.11,0.08,0.51,0.39,0.1
890,0.9,0.06,0.04,0.49,0.43,0.08
900,0.85,0.07,0.08,0.6,0.36,0.04
910,0.8,0.11,0.09,0.57,0.38,0.05
920,0.93,0.07,0,0.55,0.36,0.09
930,0.84,0.08,0.08,0.56,0.33,0.11
940,0.83,0.11,0.06,0.56,0.37,0.07
950,0.8,0.11,0.09,0.57,0.36,0.07
960,0.9,0.06,0.04,0.57,0.38,0.05
970,0.8,0.11,0.09,0.49,0.41,0.1
980,0.87,0.04,0.09,0.53,0.36,0.11
990,0.8,0.13,0.07,0.6,0.27,0.13
1000,0.8,0.13,0.07,0.5,0.44,0.06
