Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.81,0.15,0.04,0.38,0.6,0.02
10,0.75,0.19,0.06,0.53,0.37,0.1
20,0.75,0.18,0.07,0.32,0.58,0.1
30,0.92,0.07,0.01,0.15,0.56,0.29
40,0.78,0.12,0.1,0.36,0.63,0.01
50,0.75,0.17,0.08,0.29,0.68,0.03
60,0.78,0.13,0.09,0.44,0.51,0.05
70,0.76,0.11,0.13,0.54,0.4,0.06
80,0.81,0.11,0.08,0.6,0.39,0.01
90,0.83,0.09,0.08,0.46,0.47,0.07
100,0.79,0.14,0.07,0.5,0.4,0.1
110,0.9,0.08,0.02,0.48,0.49,0.03
120,0.82,0.11,0.07,0.6,0.35,0.05
130,0.87,0.1,0.03,0.56,0.42,0.02
140,0.83,0.1,0.07,0.47,0.46,0.07
150,0.8,0.11,0.09,0.62,0.36,0.02
160,0.77,0.12,0.11,0.59,0.34,0.07
170,0.79,0.07,0.14,0.55,0.42,0.03
180,0.8,0.1,0.1,0.43,0.5,0.07
190,0.82,0.12,0.06,0.6,0.32,0.08
200,0.81,0.09,0.1,0.5,0.42,0.08
210,0.79,0.1,0.11,0.6,0.31,0.09
220,0.86,0.09,0.05,0.56,0.41,0.03
230,0.8,0.11,0.09,0.61,0.34,0.05
240,0.81,0.15,0.04,0.56,0.36,0.08
250,0.84,0.09,0.07,0.63,0.3,0.07
260,0.89,0.09,0.02,0.6,0.37,0.03
270,0.88,0.08,0.04,0.56,0.44,0
280,0.83,0.12,0.05,0.49,0.45,0.06
290,0.78,0.13,0.09,0.61,0.32,0.07
300,0.87,0.09,0.04,0.49,0.41,0.1
310,0.91,0.06,0.03,0.56,0.4,0.04
320,0.89,0.06,0.05,0.49,0.43,0.08
330,0.87,0.05,0.08,0.57,0.42,0.01
340,0.91,0.04,0.05,0.56,0.39,0.05
350,0.81,0.09,0.1,0.56,0.39,0.05
360,0.87,0.07,0.06,0.55,0.4,0.05
370,0.84,0.08,0.08,0.56,0.39,0.05
380,0.87,0.06,0.07,0.6,0.31,0.09
390,0.87,0.1,0.03,0.63,0.3,0.07
400,0.85,0.12,0.03,0.54,0.43,0.03
410,0.84,0.11,0.05,0.5,0.47,0.03
420,0.87,0.07,0.06,0.55,0.41,0.04
430,0.8,0.1,0.1,0.59,0.34,0.07
440,0.76,0.18,0.06,0.47,0.47,0.06
450,0.76,0.15,0.09,0.57,0.39,0.04
460,0.8,0.11,0.09,0.6,0.38,0.02
470,0.83,0.13,0.04,0.59,0.3,0.11
480,0.79,0.14,0.07,0.57,0.36,0.07
490,0.77,0.18,0.05,0.58,0.34,0.08
500,0.85,0.11,0.04,0.52,0.35,0.13
510,0.82,0.14,0.04,0.51,0.43,0.06
520,0.88,0.06,0.06,0.57,0.36,0.07
530,0.71,0.17,0.12,0.55,0.3,0.15
540,0.81,0.13,0.06,0.54,0.41,0.05
550,0.84,0.13,0.03,0.56,0.4,0.04
560,0.86,0.12,0.02,0.57,0.35,0.08
570,0.84,0.15,0.01,0.55,0.26,0.19
580,0.89,0.1,0.01,0.52,0.34,0.14
590,0.82,0.16,0.02,0.63,0.24,0.13
600,0.84,0.13,0.03,0.6,0.3,0.1
610,0.87,0.07,0.06,0.58,0.35,0.07
620,0.74,0.1,0.16,0.67,0.27,0.06
630,0.87,0.09,0.04,0.58,0.29,0.13
640,0.89,0.05,0.06,0.51,0.35,0.14
650,0.87,0.06,0.07,0.68,0.26,0.06
660,0.81,0.13,0.06,0.56,0.38,0.06
670,0.81,0.07,0.12,0.56,0.26,0.18
680,0.89,0.05,0.06,0.58,0.32,0.1
690,0.89,0.08,0.03,0.69,0.28,0.03
700,0.82,0.07,0.11,0.58,0.34,0.08
710,0.87,0.07,0.06,0.59,0.31,0.1
720,0.86,0.1,0.04,0.63,0.27,0.1
730,0.82,0.07,0.11,0.56,0.41,0.03
740,0.91,0.06,0.03,0.59,0.31,0.1
750,0.85,0.08,0.07,0.51,0.43,0.06
760,0.84,0.11,0.05,0.55,0.39,0.06
770,0.82,0.12,0.06,0.66,0.27,0.07
780,0.82,0.13,0.05,0.59,0.31,0.1
790,0.9,0.07,0.03,0.63,0.29,0.08
800,0.89,0.07,0.04,0.56,0.39,0.05
810,0.87,0.08,0.05,0.65,0.28,0.07
820,0.84,0.06,0.1,0.67,0.31,0.02
830,0.88,0.06,0.06,0.59,0.26,0.15
840,0.84,0.14,0.02,0.56,0.35,0.09
850,0.87,0.08,0.05,0.63,0.31,0.06
860,0.79,0.09,0.12,0.65,0.26,0.09
870,0.79,0.09,0.12,0.62,0.32,0.06
880,0.79,0.13,0.08,0.68,0.29,0.03
890,0.83,0.11,0.06,0.58,0.36,0.06
900,0.83,0.09,0.08,0.55,0.37,0.08
910,0.88,0.06,0.06,0.66,0.27,0.07
920,0.84,0.11,0.05,0.64,0.28,0.08
930,0.88,0.07,0.05,0.65,0.29,0.06
940,0.87,0.05,0.08,0.59,0.37,0.04
950,0.78,0.11,0.11,0.57,0.38,0.05
960,0.87,0.08,0.05,0.58,0.38,0.04
970,0.9,0.06,0.04,0.61,0.32,0.07
980,0.89,0.07,0.04,0.6,0.33,0.07
990,0.85,0.09,0.06,0.63,0.28,0.09
1000,0.85,0.08,0.07,0.65,0.29,0.06
