Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.7,0.23,0.07,0.58,0.37,0.05
10,0.73,0.2,0.07,0.26,0.54,0.2
20,0.77,0.15,0.08,0.05,0.67,0.28
30,0.86,0.11,0.03,0.3,0.52,0.18
40,0.87,0.13,0,0.44,0.38,0.18
50,0.85,0.06,0.09,0.53,0.45,0.02
60,0.8,0.15,0.05,0.53,0.42,0.05
70,0.93,0.06,0.01,0.43,0.54,0.03
80,0.75,0.14,0.11,0.46,0.45,0.09
90,0.92,0.03,0.05,0.64,0.32,0.04
100,0.77,0.15,0.08,0.52,0.36,0.12
110,0.85,0.1,0.05,0.53,0.43,0.04
120,0.82,0.14,0.04,0.51,0.45,0.04
130,0.78,0.13,0.09,0.49,0.44,0.07
140,0.82,0.12,0.06,0.4,0.52,0.08
150,0.77,0.11,0.12,0.51,0.44,0.05
160,0.83,0.13,0.04,0.48,0.4,0.12
170,0.7,0.24,0.06,0.54,0.34,0.12
180,0.77,0.09,0.14,0.47,0.42,0.11
190,0.77,0.11,0.12,0.46,0.42,0.12
200,0.76,0.17,0.07,0.56,0.35,0.09
210,0.88,0.1,0.02,0.54,0.39,0.07
220,0.88,0.11,0.01,0.6,0.3,0.1
230,0.91,0.06,0.03,0.57,0.34,0.09
240,0.78,0.14,0.08,0.6,0.31,0.09
250,0.82,0.11,0.07,0.64,0.33,0.03
260,0.9,0.07,0.03,0.55,0.38,0.07
270,0.73,0.15,0.12,0.5,0.42,0.08
280,0.82,0.13,0.05,0.65,0.25,0.1
290,0.75,0.15,0.1,0.53,0.4,0.07
300,0.77,0.17,0.06,0.59,0.29,0.12
310,0.77,0.1,0.13,0.65,0.3,0.05
320,0.83,0.09,0.08,0.64,0.24,0.12
330,0.85,0.09,0.06,0.62,0.33,0.05
340,0.79,0.13,0.08,0.67,0.3,0.03
350,0.83,0.12,0.05,0.58,0.35,0.07
360,0.87,0.07,0.06,0.55,0.38,0.07
370,0.79,0.14,0.07,0.51,0.37,0.12
380,0.79,0.11,0.1,0.57,0.38,0.05
390,0.84,0.11,0.05,0.64,0.31,0.05
400,0.77,0.1,0.13,0.59,0.31,0.1
410,0.84,0.1,0.06,0.55,0.3,0.15
420,0.86,0.13,0.01,0.51,0.41,0.08
430,0.79,0.11,0.1,0.62,0.25,0.13
440,0.81,0.15,0.04,0.59,0.25,0.16
450,0.8,0.14,0.06,0.6,0.32,0.08
460,0.75,0.16,0.09,0.61,0.3,0.09
470,0.75,0.19,0.06,0.67,0.24,0.09
480,0.85,0.09,0.06,0.54,0.37,0.09
490,0.81,0.13,0.06,0.63,0.27,0.1
500,0.91,0.06,0.03,0.48,0.42,0.1
510,0.82,0.12,0.06,0.56,0.31,0.13
520,0.83,0.08,0.09,0.6,0.35,0.05
530,0.92,0.03,0.05,0.61,0.36,0.03
540,0.82,0.09,0.09,0.59,0.3,0.11
550,0.78,0.1,0.12,0.52,0.38,0.1
560,0.88,0.06,0.06,0.64,0.28,0.08
570,0.81,0.1,0.09,0.49,0.33,0.18
580,0.83,0.09,0.08,0.58,0.33,0.09
590,0.89,0.05,0.06,0.55,0.38,0.07
600,0.82,0.11,0.07,0.66,0.27,0.07
610,0.86,0.07,0.07,0.56,0.39,0.05
620,0.88,0.06,0.06,0.61,0.27,0.12
630,0.89,0.03,0.08,0.73,0.23,0.04
640,0.88,0.08,0.04,0.59,0.33,0.08
650,0.86,0.09,0.05,0.65,0.28,0.07
660,0.8,0.11,0.09,0.58,0.36,0.06
670,0.84,0.06,0.1,0.53,0.36,0.11
680,0.87,0.09,0.04,0.66,0.27,0.07
690,0.88,0.07,0.05,0.54,0.33,0.13
700,0.82,0.12,0.06,0.58,0.37,0.05
710,0.81,0.1,0.09,0.6,0.37,0.03
720,0.88,0.08,0.04,0.6,0.33,0.07
730,0.88,0.09,0.03,0.67,0.28,0.05
740,0.81,0.11,0.08,0.7,0.28,0.02
750,0.82,0.13,0.05,0.63,0.34,0.03
760,0.83,0.13,0.04,0.6,0.28,0.12
770,0.82,0.1,0.08,0.54,0.32,0.14
780,0.89,0.06,0.05,0.63,0.32,0.05
790,0.86,0.09,0.05,0.65,0.29,0.06
800,0.87,0.11,0.02,0.54,0.38,0.08
810,0.85,0.12,0.03,0.63,0.32,0.05
820,0.85,0.07,0.08,0.68,0.27,0.05
830,0.87,0.1,0.03,0.57,0.37,0.06
840,0.84,0.11,0.05,0.61,0.29,0.1
850,0.91,0.07,0.02,0.59,0.36,0.05
860,0.81,0.13,0.06,0.57,0.39,0.04
870,0.85,0.1,0.05,0.52,0.41,0.07
880,0.85,0.11,0.04,0.64,0.33,0.03
890,0.84,0.1,0.06,0.58,0.35,0.07
900,0.84,0.08,0.08,0.59,0.35,0.06
910,0.92,0.06,0.02,0.63,0.31,0.06
920,0.9,0.08,0.02,0.64,0.26,0.1
930,0.84,0.11,0.05,0.51,0.4,0.09
940,0.9,0.07,0.03,0.57,0.28,0.15
950,0.81,0.14,0.05,0.62,0.32,0.06
960,0.93,0.07,0,0.51,0.36,0.13
970,0.9,0.06,0.04,0.5,0.31,0.19
980,0.88,0.09,0.03,0.62,0.31,0.07
990,0.88,0.08,0.04,0.52,0.36,0.12
1000,0.91,0.05,0.04,0.61,0.25,0.14
