Episodes,P1-Win,P1-Lose,P1-Draw,P2-Win,P2-Lose,P2-Draw
0,0.77,0.17,0.06,0.38,0.58,0.04
10,0.94,0.05,0.01,0.27,0.61,0.12
20,0.93,0.07,0,0.24,0.76,0
30,0.94,0.06,0,0.39,0.59,0.02
40,0.92,0.06,0.02,0.55,0.43,0.02
50,0.92,0.04,0.04,0.46,0.53,0.01
60,0.92,0.07,0.01,0.43,0.54,0.03
70,0.88,0.07,0.05,0.5,0.44,0.06
80,0.91,0.07,0.02,0.52,0.44,0.04
90,0.83,0.15,0.02,0.5,0.46,0.04
100,0.85,0.12,0.03,0.56,0.42,0.02
110,0.9,0.07,0.03,0.48,0.46,0.06
120,0.91,0.06,0.03,0.54,0.43,0.03
130,0.92,0.05,0.03,0.62,0.36,0.02
140,0.81,0.07,0.12,0.47,0.5,0.03
150,0.68,0.15,0.17,0.57,0.39,0.04
160,0.78,0.11,0.11,0.51,0.48,0.01
170,0.91,0.05,0.04,0.61,0.37,0.02
180,0.92,0.06,0.02,0.59,0.39,0.02
190,0.92,0.04,0.04,0.55,0.44,0.01
200,0.91,0.06,0.03,0.52,0.46,0.02
210,0.85,0.09,0.06,0.57,0.4,0.03
220,0.92,0.06,0.02,0.56,0.43,0.01
230,0.9,0.05,0.05,0.45,0.55,0
240,0.89,0.06,0.05,0.42,0.57,0.01
250,0.94,0.05,0.01,0.51,0.43,0.06
260,0.91,0.04,0.05,0.42,0.54,0.04
270,0.83,0.06,0.11,0.43,0.51,0.06
280,0.86,0.03,0.11,0.42,0.53,0.05
290,0.81,0.09,0.1,0.47,0.41,0.12
300,0.84,0.09,0.07,0.55,0.41,0.04
310,0.88,0.04,0.08,0.59,0.39,0.02
320,0.83,0.06,0.11,0.56,0.41,0.03
330,0.84,0.1,0.06,0.61,0.38,0.01
340,0.86,0.06,0.08,0.52,0.41,0.07
350,0.87,0.08,0.05,0.56,0.4,0.04
360,0.85,0.11,0.04,0.62,0.33,0.05
370,0.91,0.03,0.06,0.5,0.48,0.02
380,0.88,0.05,0.07,0.59,0.41,0
390,0.88,0.06,0.06,0.58,0.38,0.04
400,0.87,0.07,0.06,0.59,0.38,0.03
410,0.75,0.13,0.12,0.62,0.37,0.01
420,0.88,0.09,0.03,0.59,0.4,0.01
430,0.85,0.09,0.06,0.6,0.36,0.04
440,0.83,0.1,0.07,0.55,0.43,0.02
450,0.87,0.07,0.06,0.55,0.44,0.01
460,0.96,0.02,0.02,0.6,0.35,0.05
470,0.89,0.07,0.04,0.55,0.41,0.04
480,0.82,0.13,0.05,0.57,0.36,0.07
490,0.98,0.01,0.01,0.64,0.31,0.05
500,0.92,0.05,0.03,0.54,0.43,0.03
510,0.82,0.1,0.08,0.56,0.44,0
520,0.85,0.08,0.07,0.48,0.5,0.02
530,0.89,0.08,0.03,0.64,0.36,0
540,0.82,0.13,0.05,0.57,0.41,0.02
550,0.78,0.13,0.09,0.63,0.37,0
560,0.82,0.12,0.06,0.64,0.33,0.03
570,0.74,0.19,0.07,0.69,0.28,0.03
580,0.87,0.07,0.06,0.64,0.36,0
590,0.84,0.11,0.05,0.55,0.39,0.06
600,0.74,0.18,0.08,0.62,0.34,0.04
610,0.89,0.07,0.04,0.67,0.3,0.03
620,0.85,0.1,0.05,0.59,0.4,0.01
630,0.87,0.09,0.04,0.65,0.32,0.03
640,0.86,0.09,0.05,0.48,0.39,0.13
650,0.88,0.07,0.05,0.61,0.35,0.04
660,0.89,0.08,0.03,0.54,0.34,0.12
670,0.93,0.04,0.03,0.55,0.41,0.04
680,0.86,0.11,0.03,0.59,0.37,0.04
690,0.83,0.1,0.07,0.61,0.38,0.01
700,0.76,0.2,0.04,0.57,0.4,0.03
710,0.92,0.06,0.02,0.56,0.42,0.02
720,0.83,0.09,0.08,0.62,0.37,0.01
730,0.81,0.09,0.1,0.62,0.37,0.01
740,0.87,0.08,0.05,0.55,0.38,0.07
750,0.91,0.06,0.03,0.56,0.43,0.01
760,0.81,0.17,0.02,0.62,0.36,0.02
770,0.81,0.15,0.04,0.45,0.52,0.03
780,0.84,0.09,0.07,0.54,0.41,0.05
790,0.84,0.1,0.06,0.61,0.37,0.02
800,0.86,0.11,0.03,0.58,0.41,0.01
810,0.86,0.06,0.08,0.7,0.29,0.01
820,0.85,0.09,0.06,0.44,0.55,0.01
830,0.85,0.1,0.05,0.56,0.43,0.01
840,0.84,0.08,0.08,0.6,0.4,0
850,0.84,0.11,0.05,0.63,0.36,0.01
860,0.91,0.07,0.02,0.61,0.39,0
870,0.9,0.07,0.03,0.45,0.54,0.01
880,0.81,0.08,0.11,0.51,0.46,0.03
890,0.86,0.07,0.07,0.57,0.36,0.07
900,0.87,0.07,0.06,0.62,0.35,0.03
910,0.83,0.12,0.05,0.63,0.34,0.03
920,0.89,0.06,0.05,0.54,0.42,0.04
930,0.81,0.12,0.07,0.55,0.39,0.06
940,0.82,0.07,0.11,0.51,0.45,0.04
950,0.78,0.11,0.11,0.53,0.4,0.07
960,0.89,0.06,0.05,0.55,0.37,0.08
970,0.86,0.07,0.07,0.56,0.4,0.04
980,0.85,0.06,0.09,0.65,0.34,0.01
990,0.9,0.07,0.03,0.45,0.48,0.07
1000,0.84,0.1,0.06,0.45,0.48,0.07
